page 1	我又繳獲蘇軍大批武器裝備包括坦克上電台和瞄準鏡等珍寶島全貌三月十五日蘇軍入侵情況及所遺槍枝彈藥照片發表
page 2	人民日報社論指出在連年豐收基礎上春耕生產高潮已到來北京號召奪取新豐收以粉碎美帝蘇修反華陰謀鞏固國防支援世界革命
page 2	滬製成許多新電子設備
page 2	經濟新體制給蘇聯人民帶來災難蘇修公債推遲廿年還本十年售金26億美元救命一千萬人以上失業特權階層大發其財
page 2	議會有人要戈頓辭職澳洲總理醜聞案鬧大美使說戈頓曾催女到使館聲明與他無涉年輕女記者證實與戈頓在美使館飲夜酒
page 2	明星之女揭臭戈頓美出巨資禁止刊出中央情報局以一萬五千元收買該文版權
page 2	蘇聯人民吃二週苦蘇修叛徒定遭滅亡
page 2	第二批英傘兵登陸安圭拉安圭拉和安提瓜島民舉行盛大反英帝示威英國內輿論嘩然說是外交上的吉隆灘
page 2	第四次攻勢以來最猛烈一天民軍砲轟65處目標茱萊美基地嚴重破壞軍機受損尼克松將與邦克商談縮減南越美軍
page 2	英侵佔　拉　法艦開加勒比海大角星號往西印度羣島
page 2	美駐蘇新大使與尼克松密斟
page 2	美國反越戰組織將舉行抗議示威
page 2	美進步勞工黨負責人引毛主席語錄論建黨指出要摧毀美帝必須建設馬列主義的黨並應該加強對美國黑人解放鬥爭的領導
page 3	聯賽錦標歸屬已定護級形勢反受注意
page 3	又是出術護級時東方出師花墟圖拚電話搶分雙方首仗成和重逢戰果難料
page 3	何耀強明可出院腳傷尚需時療養何時復出目前仍難確定
page 3	本屆射球紀錄張陳何暫領前
page 3	曾洪動粗被逐案足總定周後研訊若予停賽南華勢受影響
page 3	港青將赴澳作練習比賽歸來後再入訓練營集訓
page 4	形勢空前大好中外人士更重視春季交易會下月中開幕港九華商請柬仍委託中總代為辦理
page 4	槍聲兩響轟動大角咀警員飛仔大戰飛仔出刀警員開槍追捕追逐數街飛仔逃入油蔴地小輪宿舍大批警員包圍搜索無結果
page 4	成藥在電視賣廣告醫學會長說要管制表示將以法例對付沒有科學根據者英醫生杯葛香港說因男女同工不同酬
page 4	女教師救護學生不料竟見血暈倒
page 4	美過氣將軍雷德福來港活動圖刮港龍
page 4	廿五條緊急法例港英被迫執行其中包括笑話連篇的所謂藏有攻擊性武器爆炸品及隨時入屋搜查等等
page 4	奧庇利街昨晚發生血案男子被斬三刀重傷擺賣引起爭執另兩人亦輕傷
page 4	冷空氣前鋒抵港氣溫今天下降連日大霧海空交通受阻
page 4	青山道昨有車禍兩車相撞傷四人
page 4	京士柏東村昨拆屋居民不滿當局拒絕緩適
page 4	獄中長期受折磨傷病近復發陳世傑未獲應有治療家屬促即釋放及醫理昨往見輔政司韓美洵要求迅速處理答覆
page 4	屋宇會權力何大任何房屋都要管港英昨公佈房屋修訂例
page 4	美展觀眾看到蘇修丟盔棄甲圖片無不稱快
page 5	廣託案證人昨日作供指出陳伯興建成大廈無錢還債曾要求承建公司減價否則宣佈破產另兩證人供述陳伯興置業公司按揭物業情形
page 5	雪中送炭乎陳伯興公司借四百萬匯豐畀夠佢六百萬
page 5	荃灣謀殺案疑兇解高院
page 5	工務局不理人死活硬要封小型碎石場
page 5	陳大同病逝定明日下午舉殯
page 5	三院新總理互選黎時煖當選主席
page 5	鳳凰公司同人迎袁德明榮歸
page 5	兒童填色畫冊出版尼克松何事訪西歐亦已發行
page 5	少男少女將上映
page 5	製衣業產品輸出今年將繼續增加林根成昨在年會中談展望
page 5	愛情不如意母前曾痛哭青年與女友相約服藥結果青年昏迷送院女友到院探他
page 5	澳門新馬路上港客劫港客行劫者聞槍聲跪地就擒
page 5	市政局視察員因貪污囚四月
page 5	汕頭進出口商會反對港燈收費法
page 5	似減實加受激烈反對下港燈迫得考慮調整收費但仍堅持現行收費率不變
page 6	自動關掣美觀安全華生新風扇開盤國貨公司與電器商多準備大量進貨新型吊扇更合港九新樓安裝
page 6	春茗宴客已近尾聲結婚喜筵佔數加大旺區大型酒樓生意比去年稍好一般酒樓茶室營業卻較為遜色
page 6	柬商訂購小額布料冬菇與五金製品亦扯購小量一般貨口仍少直接來單
page 6	西德　高利息
page 6	巴棉紗多到市價復下跌每包約跌十至十五元
page 6	日本商展會今在港舉行
page 6	西方糖產新估計英美糖商稍洩氣紐約原糖期貨轉下跌
page 6	K金起無力金底厚賣家有利
page 6	白金片復漲
page 6	美對棉織品貿易將要什麼新花樣
page 6	拋家昨又轉來股價多數回跌和記與英泥亦轉走下坡
page 6	出口押匯尚暢以成衣手套輸出較大宗多數輸往歐陸美國非洲
page 6	五種外匯價回升
page 6	清明節接近葵扇拆銷旺
page 6	美棉期貨回升
