page 2	歐洲外交戰的新形勢
page 3	美國務卿發表聲明痛斥日製傀儡陰謀嚴正表示美遠東立場不變英亦決不承認任何偽組織
page 3	日兵被迫作戰反戰情緒日濃綏西被俘日軍官談話
page 3	改進桂農產中央農產促進會特資助二十萬元
page 3	一片討汪聲駐外使節聯電聲斥上海民氣異常激昂
page 3	林主席斥汪廣播已灌成蠟片正大量翻製運各地播放
page 3	北平諸奸對汪冷淡
page 3	日圖再犯上思我軍正分路截擊中
page 3	汪黨在滬收買學生
page 3	粵省府重申禁煙決心六月底期決不展延 
page 3	昆明朝野歡宴南僑慰勞團員團員一致議決通電討汪
page 3	經濟合作居然有人對偽黨國旗亦視作禁響專營統銷
page 3	日本發表荒謬宣言
page 3	滬大晚報館發現縱火陰謀化學火種潛置澆版房幸發覺尚早未釀巨禍
page 3	戰時日本農村
page 3	貧困的農村經濟
page 3	英國輿論態度嚴正
page 4	對莫洛托夫演詞英國反響良好認蘇中立態度轉明朗粉碎希特勒拉攏企圖
page 4	無情毀滅
page 4	擴大戰爭
page 4	義竭力消除巴爾幹糾紛促成匈南兩國協調預防納粹從中圖利
page 4	吾人之敵
page 4	歐戰中義大利法西斯黨的演變羅馬航信
page 4	奎松呼籲改善菲經濟地位要求賦予締結商約權贊成重新檢討獨立案
page 4	葡日談判關於澳門問題
page 4	法政論家傳出義草和平計劃內容類似西強協定並謂不久將可公布
page 4	楊光泩赴菲各地考察中菲人民感情融洽菲人同情我國抗戰
page 4	九州大火毀屋一百五十家
page 4	美參院海委會主席斥日矇騙國聯委任統治島報告中所有敘述不符事實
page 4	法軍事會議海陸空要員皆出席
page 4	一貫的欺騙  
page 4	美國對日一瓢冷水
page 4	美整個艦隊集中太平洋美海長作如是主張並定今日乘艦出巡
page 4	為何美應對日禁運下
page 4	邱吉爾廣播加緊對德作戰戰爭範圍將不至擴大極願與蘇聯和平共處
page 4	弱小國家
page 4	人力物力 
page 4	生死鬥爭
page 4	英法兩國
page 5	南侵日軍夢想繁榮圖打通內河航線我反攻江會痛殲兇徒汾水江混戰斗門穩定
page 5	南海的一角廣州灣近態邊境武裝走私司空見慣文化事業頗有長足進展 
page 5	北江連日激戰我衝入螺岡奮勇掃蕩收穫戰果燕塘日軍發生叛變
page 5	粵省戰時金融鳥瞰
page 5	統一商運檢查減少運輸困難各地設立聯合檢查所
page 5	三廣東省銀行概況
page 5	四負經濟動員的使命
page 5	蘇州角直鎮日軍厭戰一士兵服毒自殺 
page 5	西南長途電話積極發展中昆筑一線業已正式營業重慶桂林不久亦可完成
page 5	桂柳全線組傷兵照料站
page 5	粵省軍民合作成績顯著動員民眾合力築工事普遍組織義務輸送隊
page 6	孫蔣孔三夫人昨晨聯袂由港飛渝積極推行傷兵之友運動本港各僑團已紛紛響應
page 6	徵求手續
page 6	徵求辦法
page 6	徵求競賽
page 6	本港名流發起以工代賑救濟難民與中國工業合作社合作向各界募捐港幣六萬元
page 6	減租運委會本月六日成立各界贊助人選問題解決昨舉行減運委員聯誼會
page 6	紀念兒童節今日開始獻旗廣惠祖國受難之兒童由各校學生負責進行 
page 6	香港的一日文藝生活出版社向本港各界徵文
page 6	本港當局擬建游泳池地點在荔枝角
page 6	華僑之光
page 6	港澳輪自今日起增加貨物運價煤價大漲生活程度亦高客票增價現正在磋商中
page 6	青年記者學會總會兩週年紀念港記者學會昨致電慶祝
page 6	百新書店發售犧牲半月書
page 6	歌詠比賽初賽獨唱初賽入選者駱鈴曹碧霞林松輝陳鐓安麥志飛羅志雄王惠鎔黃伯春卓國強伍誠信陳尚韜合唱初賽入選者知用中學香江中學嶺南附小珠江中學東方小學
page 6	會之組織
page 7	特別銀牌爭標戰東方奪得天下三比二南華南屈居第二名卅營炮兵獲乙組冠軍
page 7	吳用論戰 
page 7	本港對外貿易暹羅與東印度俱見增進
page 7	化學原料來源稀少價格步步上漲
page 7	大生杯排球昨日頒獎表演賽聯隊勝 
page 7	中華體育協進會召開執委會議議決提案多項修正章則
page 7	今日足球聯賽東方對抗九龍下午五時一刻在愉園
