page 2	社評日議會與所謂大政翼贊
page 3	威爾基氏傳將來華寇里今日由渝飛蓉美轟炸機一隊調往阿拉斯加
page 3	新加坡防務愈固澳當局嚴密警戒
page 3	我淪陷區內英僑亦奉令撤退菲律濱美海軍眷屬首批開始疏散返美
page 3	駐泰英使申明英泰關係完滿泰越休戰協定將滿期
page 3	英美荷會談日本極注視認為聯合之反日姿態已以荷印為中心展開
page 3	日壓迫越南供給米石大量越米由西貢運日
page 3	日報無聊誣揑英美
page 3	德國勢力潛入日本
page 3	侵略兇燄日見蔓延日欲與墨西哥為難松岡指墨壓迫日漁民並謂美墨有軍事協定
page 3	上海米價可望回跌
page 3	滬美兵調防
page 3	日在華紡織業缺乏原料前途甚感悲觀
page 3	汪黨一爪牙被擊中兩彈性命在旦夕
page 3	提倡滑翔機運動外交協會開座談會訓練班開課製造廠將建立
page 3	糧食會議開二次預備會
page 3	私運煙土犯在桂被槍决
page 3	晉南戰事激烈沁水陽城日軍進犯受創
page 3	蘆苞克復經過
page 3	最高法院院長李茇就職由蔣委員長監誓
page 3	滬杭路全線日強拉民伕
page 3	出錢勞軍陪都競賽大會參加萬餘人情緒熱烈
page 3	滬大學畢業生送後方服務教育部已核定
page 3	穆藕初將任農本局總經理
page 3	衛生署召集營養會議以謀改進國民營養
page 3	要聞簡報
page 3	滬寧路軌曾被炸毀
page 3	勸募戰債陪都組勸募隊
page 4	多瑙河冰流洶湧巴爾幹彤雲蔽天又傳德軍即將開保
page 4	希軍又奏捷俘擄義軍二千英重轟炸機隊猛襲義多德堪尼斯群島
page 4	波蘭亡國恨德軍不惜毀墳滅骨圖去波蘭歷史遺痕
page 4	西暴風雨船機損失甚多
page 4	美國名流主張糧食援英美國對抗戰中之民主國除為兵工廠應兼糧食庫
page 4	西廢王病危委出承繼人遜位太子唐約安
page 4	美方提出建議振濟歐洲難民胡佛擬定六項辦法英德政府正考慮中
page 4	英商務代表訪南美各國
page 4	法政府改組完竣對德談判將重開達蘭不久將再赴巴黎
page 4	中南半島之範圍與命名問題
page 4	德報著文自掌嘴巴
page 4	租借法案立法手續屆完成階段參院昨日開始討論預料該案必獲通過
page 4	英機轟炸德魯爾西部煤油倉機場中彈
page 4	霍金斯返華盛頓談訪英印象深信德國攻英終難得逞謁羅斯福總統報告經過
page 4	紐約義人反法西斯
page 4	蘇工業運輸業三年來之進步投資數額鉅大驚人無數企業應運而生
page 4	德國之餌
page 5	日軍圖犯厓門我猛烈截殲中
page 5	上海存米豐厚總數將近一百五十萬包當局穩定措置漸收效果
page 5	珠江水利局發展粵桂水利西北江工程加緊完成桂省已設立水文總站
page 5	桂南代表抵桂林向各長官獻旗李主任勗勉同胞振興實業
page 5	推廣節約儲蓄海外部等機關組聯合辦事處發動僑胞節儲總額三萬萬元
page 5	禁止出口物品共分八類財部飭各省遵照
page 5	粵南工合事業的進展下
page 6	第一批保衛團員今晨在警署宣誓宣誓後卽可作特別警察時間編配妥當卽行出動
page 6	林可勝博士籲請捐助中紅會醫約器材均盼源源接濟救護隊百餘遍駐各戰區
page 6	一元打比馬票已超過九十萬號富貴貧賤無不爭相購票集團購票者更多不勝數
page 6	移民局假期停發保證金
page 6	駐港美總領盼美籍婦孺撤退每週均有美國郵船靠港決定給美國籍民優先權
page 6	防空洞試驗扇形抽氣機
page 6	柴荒米貴聲中煤炭隨之漲價煤每擔約漲半元以上木炭亦達到每擔十元
page 6	電話公司上年溢利逾百萬
page 6	防空當局動員六千人調查全港戶口定於二十一日開始出發各人依格式紙填寫呈報
page 6	追念朱子橋發起人昨開會追悼大會日期籌委決定鄔志豪賻贈國幣一千元
page 6	華人代表提請港府根絕煙毒賭害非此不足肅清強徒匪盜後日立法局會議將提出
page 6	難童救濟會籌設難童教養院分在各地設立二十餘所本港方面擬募捐五萬元
page 6	婦女團體議決三八節紀念辦法地點加路連山南華球場何艾齡博士等擔任講演
page 6	粵救護會組直轄救護部隊遇事調遣應付非常需要經訓令港分會着手籌款
page 7	南華會遠征澳洲四月底將實現擬羅致各華隊精稅共組成軍領隊人選尚在考慮中
page 7	港網球錦標賽今年情況冷淡
page 7	青支會乒乓賽首夜孔聖會奏凱
page 7	排球運動在香港
page 7	三十年老球迷暢論港澳足球
page 7	協會田徑對抗下月舉行本週內開會議
page 7	春季賽馬影響股票市況靜寂昨日成交總值三萬一千餘元笠金鑛與電話公司定期派息
page 7	申匯再略好轉美圓價格續跌
page 7	四四金市先淡後靜
page 7	國幣趨漲最高價二二四五
page 7	華人游泳會旅行馬鞍山
