page 2	近衛的新體制聲明
page 3	我國密切注視越局重要領袖到滇準備龍主席
page 3	日機炸渝影片米高梅公司向中電接洽選購精彩部分運美放映
page 3	班禪遺體運返西藏事宜現仍在磋商中
page 3	日人對滬租界始終難忘懷新申報乘機提三要求
page 3	汪兆銘將發表二批通緝名單被列名者約達二百餘人
page 3	陳嘉庚赴湘
page 3	湘參議員應聘不日出發考察地方政治  
page 3	滬又一綁架案粵人鄺兆祁被綁往滬西馮執中不治在醫院斃命
page 3	滬大美晚報捐款救濟渝災民
page 3	自動請繳遺產稅馬保之為第一人
page 3	九一八九週年將屆文峰塔下話東北渝市東北名流的座談會
page 3	晉東勝利繼續擴大桂南我軍包圍龍州
page 3	日圖向美推銷農產
page 3	某戰區經委會在衡陽成立
page 3	東南歐各國經濟現勢三
page 3	渝平價販賣所今日開幕
page 3	粵省當局續發米貼並嚴禁耕牛出口
page 3	渝朝鮮革命團體紀念朝鮮亡國日 
page 3	西康臨參會第一屆大會開幕
page 3	大義滅親鮑文樾之同胞弟妹與鮑脫離家屬關係
page 3	張家口日憲兵逮捕英僑華人三十名同時被捕
page 3	贛浙間銓聚處後日辦公
page 3	蔣作賓在筑接見各機關首長
page 3	日機七十一架昨狂炸曲江德國教堂全部被毀
page 4	近衛文麿發表新體制聲明國運興替悉繫於斯陸軍表明並未參加
page 4	德經濟代表團抵達莫斯科德糧食部高級官員偕行商務協定將為談判根據 
page 4	羅匈雙方各執一辭
page 4	蘇羅邊界羅軍後撤
page 4	非戰公約成立十二週年赫爾發表聲明對外指斥侵略對內充實國防徵兵法案交眾院討論
page 4	日外交人員大事更調駐外之大公使人員被召回者達四十名
page 4	英德空襲依然激烈德機整夜盤旋英國上空柏林市中心有數處起火
page 4	義機飛襲蘇彝士運河在北端投彈數百枚阿比西尼亞京被炸
page 4	赫爾的聲明
page 4	又有通緝
page 4	華萊斯氏抨擊極權主義主張建立龐大強固國防
page 4	塔布衣夫人預測歐戰的進展德國圖英既遭遇困難現又冀圖佔取地中海 
page 4	拉丁美洲的隱憂五
page 4	美國軍團已安然駛返紐約
page 4	德元首晤義外相匈總理抵維也納德義羅匈四外長將舉行會議
page 5	日艦麕集海南　
page 5	日軍千餘突開抵前山翠微中山各區戰事轉寂
page 5	赤坎銀號夜遭械劫華成被劫廿餘萬
page 5	廣西教育研究所籌備數月已告成立中大員生百餘過桂返粵
page 5	粵驛站處訓練職員開辦站長司事訓練班
page 5	粵財廳高級職員秘書科長均內定財廳通令整飭捐稅
page 5	渝被炸災區設新運模範區市府劃定地點即可興工機關團體今日慰問災胞
page 5	滬善鐘路無線電料又被日人抄去一批價值一百五十萬元
page 5	蘇教育學院東台招生招教農兩系一年級生 
page 5	日機又轟炸浙東溪口衢縣均被投彈日艦砲轟海門沿岸
page 5	廣東的經濟戰財政支持著軍事的穩定
page 6	立法局昨日會議戰稅法兩則例過通十王殿築公廁維持原議修正啤酒稅免外貨競爭 
page 6	史美答覆普樂質問
page 6	十王殿側決建公厠
page 6	申請救濟學生合格名單揭曉津貼旅費及學費者共三十二人舟車費高漲旅費亦增加
page 6	中央振濟會撥款救濟惠陽災民
page 6	黃維則堂訴訟案被告黃紹根勝訴冼秉熹律師轉請砵打辯護原告之提訴注銷兼付堂費
page 6	港越輪船停航當局禁米出口目前存米足供六月之需未雨綢繆維持本港民食
page 6	中教電協港分會徵文
page 6	港百年紀念決定暫緩舉行
page 6	聯美航空公司計劃闢新航線由紐約經南美而至非洲業經遞呈華盛頓民航部 
page 6	張博文下月初離港赴西安
page 6	試放警報成績甚為圓滿
page 6	建公書法院成績展覽明日舉行
page 6	今年雨水總量料將創最高紀錄距過去紀錄僅差十吋在時間上尚有四個月
page 6	大學聯誼會昨舉行音樂會
page 6	津貼旅費者
page 6	津貼學費者
page 6	旅費略增加
page 6	啤酒稅率通過修正
page 6	願借款與英政府者可直接匯英財部和平奠定後三個月發還本港輔政司昨發表公布
page 7	五十米自由式吳年成績出色二十六秒八平等遠東紀錄昨晚鐘聲水藝會收穫豐富
page 7	南華水藝成績 
page 7	全滬游泳第一次賽成績
page 7	青支會友籃球下週開賽
page 7	夏令籃球激戰漢華先盛後衰延長時中美爾頓佔先一分高級僑星勝精武戰情亦烈 
page 7	中華體協主席發表書面談話對濫收會員有所解釋
page 7	中華體協會歡宴黃家駿
page 7	外匯牌價仍無變動美匯沉寂申匯略淡
page 7	滬外匯市越南時局影響昨日再度趨緊
page 7	股票市況不振買賣範圍益形狹窄
page 7	八九金市依然靜穩
page 7	國幣市況略趨下游
page 7	瀘羅泊盃雙打中華獲決賽權複賽中直落三淘汰英國林寶華改與梁寶奎搭擋
page 7	南華會足球場租戶接踵而來東方會甫於昨日簽字聖約瑟又在談判之中
page 7	體育的哲學三
page 7	華人中青南華三角游泳今晚在華人舉行
