page 2	社評從平沼到阿部
page 3	和平之門尚未關閉英閣決定對德覆文在合理情況下可以進行談判先解決但澤問題再談殖民地
page 3	希特勒親函達拉第拒絕法國方案但澤走廊必須重返德國凡爾賽條約亦應予修改
page 3	墨索里尼覆澳總理願謀世界和平德使謁義首相面呈要函羅斯福將有進一步舉動
page 3	蔣委員長談話以一定不變之方針應付瞬息萬變時局國際有利但絕不懈怠抗戰
page 3	英王親臨教堂祈禱世界和平德國人之錯誤觀念相信為一時之失態
page 3	平沼發表辭職原因
page 3	日內閣總辭職阿部信行將受命組閣傳內外政策將更始一新
page 3	阿部信行過去略歷
page 3	日方對義態度不變
page 3	蘇聯批准蘇德協定
page 3	滬金融界對日閣辭職均表示興奮
page 3	英國議會定今日開會張伯倫將有重要報告
page 3	浦東我軍大規模反攻Ｘ調兵進擾浦南
page 4	東江我軍續進增城附近發生激戰晉東南Ｘ軍集結沁縣長治附近殘Ｘ將肅清
page 4	美國外交政策基礎二
page 4	滬孤軍問題Ｘ屢提無理要求工部局決置不理
page 4	孔子遺教與民族前途續孔院長在紀念會上講演
page 4	桂新聞界紀念記者節一日晚開紀念會
page 4	清水河縣長喬全清殉難
page 4	北平反英將自消自滅
page 4	巡迴施教車在滇成績良好
page 4	Ｘ輪駛滬發現硫磺彈
page 4	唐繼虞靈柩本月底運抵昆明
page 4	同濟大學擬設文法學院
page 4	Ｘ機襲桂在邕寧等處投彈
page 4	緊張的歐洲
page 4	英商輪離地中海
page 4	英制定保安法律
page 4	英海部管理商輪
page 4	粵教育學院決改文理學院訓練中學師範師資
page 4	桂婦女進步多能唱七種救亡歌曲縣府可隨時召集聽訓
page 4	希特勒之豪賭
page 4	蘇日續有戰事
page 5	犯深圳Ｘ軍昨晨突然撤退南頭已成立偽組織
page 5	江會砲戰激烈Ｘ犯龍泉不逞
page 5	廣州市北游擊隊勇襲龍眼洞衝入Ｘ營力殺廿餘人焚燬廣增路聯安車站
page 5	Ｘ窺淡水無法進展
page 5	曼谷大火損失警方調查完竣華僑商廠被燬復業不易縱火疑犯先後捕獲七人
page 5	湘桂路上鐘樓舖的起火旅店
page 5	暹羅僑胞的苦難一
page 5	省立教育學院遷設粵北並改組文理學院
page 6	四華人代表昨召全港紳士會議自力保護華僑本身利益希望僑胞切勿庸人自擾
page 6	德僑奉令全體離港返國各外領亦正式準備撤僑退回預定船票者亦不少
page 6	港大理學院全部課程發表將來欲擔任科學教員者須得研究院教育系文憑
page 6	關德興徵募之救護車五輛昨舉行獻車禮九龍福昌車廠裝配完備由粵省賑會曾曉峯接收
page 6	各界賑聯會撥助澳救災會費用
page 6	怒沉百寶箱中央戲院今日起映
page 6	香港大學女生宿舍今日舉行落成禮港督將親臨主禮
page 6	水務局限制食水因接駁水管關係至九月一日恢復
page 6	記者節青記學會九一慶祝
page 6	本港各銀行擠提風潮和緩匯豐銀行並未限制提款警察當局派警維持秩序
page 6	留德同學會響應募集蚊賬成績募得國幣七千餘元
page 6	緊急授權法當局公布在港適用頌布統制航業法例
page 6	港惠交通恢復常態寶安小輪僅達蛇口
page 6	假想敵機來襲昨演習高射砲昨晨實彈射擊砲聲隆隆九龍船塢後日試放警報
page 6	人世間
page 6	電單車人村登記警察當局昨通告
page 7	南華足球在泗水二比二打和中華移師再戰選手隊淨勝五球昨晨轉征萬隆首對意尼隊
page 7	惠民杯網球決賽美國奏凱歌總結五比二氣走英國絲湯瑪到底不敵瑪博
page 7	七廿三大軍兼程入怡保
page 7	南遊日記
page 7	港滬埠際游泳賽停止舉行
page 7	港小童會水運今天開賽
page 7	九龍小球會新委員產生
page 7	台杯帶際決賽澳州隊告捷三比一打退南斯拉夫美卻令治賽選手產生
page 7	加拿大籃球隊由菲首途來港定明夜在中青會戰南華該隊在菲最後一戰敗北
page 7	棒球義賽週末開始
page 7	健兒行踪
page 7	電話室
page 7	歐局動盪不定港滙市起落無常昨日各外匯牌價縮後再回漲Ｘ內閣崩潰申匯市大見好轉
page 7	日圓跌價國幣高漲
page 7	八九金市依然活躍買戶仍多價復高漲
page 7	世界風雲幻變吾人應知所預防
page 7	歐局和戰尚未絕望股票微露生氣買戶眾多好友紛紛吸進各種股票價格亦漸回漲
