page 2	憲政實施問題的檢討
page 3	侵桂日軍已成弩末邕寧爭奪戰將展開我軍連日反攻欽縣甚為得手
page 3	中條山麓日軍一蹶不振一獨立聯隊幾全遭覆滅我乘勝猛進克重要據點
page 3	綏東我軍出擊冀西圍攻王快
page 3	嶺東縱橫行四
page 3	新牆九嶺沉寂蘇南我襲七寶
page 3	野村對外交路線尚徬徨未決邀請外交界元老商談
page 3	蔣夫人發起賣物會為戰士募寒衣
page 3	桂農林機關緊急處置法省府已頒布
page 3	魯戰地慰問團不日出發慰問軍民
page 3	北路慰勞團事畢返渝覆命各界熱烈歡迎
page 3	汪兆銘好夢難圓眾嘍囉悔不當初傳有人已向中央悔過
page 3	周逆佛海夢中囈語
page 3	桂抗日會電接近戰區各分會加緊救濟難胞傷兵
page 3	緬甸訪華團明日可抵重慶歡迎程序擬定
page 3	滬租界當局平抑米價嚴禁商人壟斷達者驅逐出境
page 3	滬法租界開放鐵門今日起先開一處以五日為試驗期
page 3	粵新縣制明年起實行
page 3	滬大新公司職員怠工要求增加薪額現正試行調處
page 3	侵略者的恐慌日本出生率逐年低減厚生省將作詳細研究
page 3	蓉市難童不虞凍餓當局遵委座令設法收容教養
page 3	英法蘇對我仍繼續援助胡大使在紐約演說
page 3	追悼李峙山渝各界昨舉行
page 3	美大使月底離平返滬
page 4	今日國聯大會將討論芬蘭申請案英法態度力持慎重我顧郭兩代表亦到會對中日衝突將發聲明
page 4	美不主張廢除英對德封鎖羅斯福曾研究歐局情報運載德貨日輪改期開出
page 4	法國詩人伏辛病逝世著有中國遊記一書
page 4	納粹的訃告生平以反共為職志臨終擬與敵人親額
page 4	英國沿岸地帶海空均有戰事德潛艇三艘被擊沉英掃雷計劃將完成
page 4	封鎖政策與潛艇水雷戰爭
page 4	德國的危機苟不媾和恐難逃赤化英名記者主協助荷比
page 4	美海軍部建造魚雷快艇
page 4	蘇軍進攻仍無進展大批瑞典義勇軍開芬助戰
page 4	西線戰訊德巡邏隊活躍
page 4	德國關員在南國過境被殺
page 4	美對蘇芬糾紛將不援用中立法對芬將作信用貸款瑞典籌募巨款援芬
page 4	國聯與蘇聯
page 4	汪光銘之夢
page 4	英王返國曾至西線考察六日
page 4	邱吉爾視察英倫北部
page 5	粵路南段戰事復緊日軍大擧犯源潭王子山一帶發生血戰源潭琶江口被慘炸損失甚重
page 5	汕市日偽橫行商民叫苦連天日謀統制貿易成立偽稅務署我便衣隊潛伏市內不時出擊
page 5	一區團隊進行改編吳飛就任新職
page 5	重慶所得稅成績甚佳本年可逾五百萬過分利得稅定明年開徵
page 5	粵省普遍舉辦各縣冬耕貸款指定地方款為各縣貸款基金嚴密防範工作人員營私舞弊
page 5	西康日記二十曾昭掄
page 5	粵臨時參議會粵北婦女界商討提案
page 5	全國華商紗廠戰後損失鉅重總值已達一萬萬元以上
page 6	港九教聯會徵募寒衣開始進行先發三聯收據以備領紀念章並請港九各區學校為分發處
page 6	慈善賣物會籌備工作大致就緒
page 6	港惠陽商會募得棉衣五千餘件
page 6	新界大澳深灣同鄉刼殺孤寡揭破賊黨面巾幼童被害母女同受重傷幸未致命
page 6	中國工業合作社之意義孫夫人昨晚用英語廣播講演之譯文
page 6	港府將覓地興建大會堂屬意聖約翰空場
page 6	學界消息
page 6	新華公司攝製新片招考國語演員
page 6	基督教學聯會國際音樂大會昨晚舉行各教會學校均參加並有各國代表參加演奏
page 6	太平劇團今明兩晚義演
page 6	四川出征軍人家屬生產工廠刻向各方徵募經費物品本港由何予珍女士代辦
page 6	世界書局九龍分局今日開幕
page 7	南華華將士用命三比一氣走海軍
page 7	中國青年體育之動向
page 7	甲組聯賽最近形勢
page 7	菲遊憶舊錄港星隊征菲之一頁六
page 7	孤島籃球新軍派隊出場義演籌賬棉衣幫忙抗戰英雄比賽日期將於日間公佈
page 7	國際杯球賽中華隊選人
page 7	籃球友誼賽長虹奏凱贏精武四球
page 7	本港膠鞋業外銷極活躍歐洲戰事未受若何影響今年出口已達六百餘萬
page 7	上海麵粉大量傾銷本港躍居進口量總數第一位
page 7	日本報紙在港銷場近來又漸見活躍
page 7	聖誕節行將來臨兒童玩具上市本年歐戰影響英貨來量稀少目前進口美國最多上海次之
