page 2	美國與遠東
page 3	北戰場我軍大獲勝連克正太兩側要地日軍在陸豐附近強行登陸
page 3	中央撥巨款救濟粵食糧四聯總處貸款發展粵省農產
page 3	美國女作家史沫特萊由渝經筑抵桂
page 3	全國各地紀念孔誕
page 3	滬法捕房副總巡被暴徒狙擊身雖中彈傷勢無礙
page 3	美國教會匯款來華救濟我國難民
page 3	林語堂談行都新印象最近將由港乘機赴美
page 3	發揮驛運精神增強抗戰力量驛運管理處長發表談話
page 3	統一院校招生錄取分發標準教育部主管人詳加闡述
page 3	閻錫山發起軍襪運動目的三十萬雙定九月底完成
page 3	滇省發展蠶桑五年內植桑二萬萬株
page 3	陸蔭初脫險由滬抵渝
page 3	制止恐怖事件滬當局集商傳各方將協同維持治安
page 3	即使日人不來攻我我們也要準備反攻陳誠將軍談抗建八月二十三日重慶航訊
page 3	中緬文協舉辦論文競賽特與仰光緬中文協合作鼓勵緬人研究中緬問題
page 3	抗戰困難愈多成功機會愈速
page 3	勝利已不在遠囤積必然吃虧
page 3	辭去後方職務全力用之軍事
page 3	卡爾由滬來港
page 3	孔祥熙目前無倦勤意
page 3	全國新聞界獻機運動桂林記者公會發起預定本年底完成 
page 3	日機飛桂肆虐被我擊落二架日空軍大隊長被我擊斃
page 4	美加聯防會議順利進行購買舊艦案亦將討論美日衝突將難於避免
page 4	蓋達撰文恫嚇埃政府如繼續助英將向之宣戰馬爾太島發生空戰
page 4	拉伐爾至巴黎晤德當局
page 4	美國參議院通過徵兵法案效力範圍包括菲律賓總統派軍赴南美將不受限制
page 4	拿翁珠寶為德軍所拾獲
page 4	美健太兵營特擬款二千六百萬
page 4	德國攻英尚有待空襲威脅將加緊
page 4	德機整夜騷擾倫敦
page 4	羅匈談判糾紛德出任斡旋談判有改在德國舉行說
page 4	愛向德國強硬抗議
page 4	瑞士要求尊重中立
page 4	美開始辦理外國僑民登記以防有危險性外僑德義等國力圖阻美援英
page 4	小林一三定期赴荷印石本充任隨員
page 4	又妬又怕
page 4	美通過徵兵案
page 4	日閣議通過近衛聲明定今日正式發表
page 4	英機飛德散發傳單
page 4	拉丁美洲的隱憂三
page 4	太平洋戰爭終不可避免
page 5	粵省府局部改組鄒琳鄭彥棻高信即就職陳驥接充四區行政專員毫券奉准每元作國幣七角行使
page 5	省政將有劃期進展
page 5	廣州灣海空防務加強越南當局傳將增派機艦駐防僑胞對中法邦交敦睦感興奮
page 5	余漢謀出巡前線返粵北
page 5	重慶點滴
page 5	銀壇佳話金郭唱和茶座賀詩
page 5	廿四廿五桂省遭濫炸桂林興安全縣柳州遭劫英美教堂醫院亦被炸毀
page 5	桂中學校長考績受獎者發表周天爵等二十八員分別晉級津貼記功
page 5	日軍又放煙幕所謂九月攻勢分由贛湘粵桂進犯某長官判斷其勢不可能 
page 5	西康日記一五七第八編九龍見聞
page 5	西北江行
page 5	日艦窺伺雷州半島徐聞海康加緊戒備日機又炸電白博賀
page 5	廿四血漬
page 5	廿五創痕
page 5	空襲會議
page 6	昨晨各僑教團體紀念孔誕及教師節兩教育會舉行恭祝大會各僑校各行商昨均放假
page 6	港九教聯紀念大會
page 6	黃菩清讀大會祝文
page 6	儀式簡單莊嚴肅穆
page 6	各大僑團慶祝聖誕
page 6	本港昨晚舉行燈火管制演習如臨大敵情形緊張逼真娛樂場營業較平時暢旺
page 6	港學振會開會紀念
page 6	港越航運昨忽中斷
page 6	安達生式防空棚當局擬在港製造每棚紙值百餘元
page 6	繁盛區大廈易主由冼秉熹律師辦理
page 6	衛生局華人幫辦數額增至十五名該局昨日例會已獲通過推五人審查清淨局預算
page 6	大陸膠廠發行所開幕
page 6	霍亂症續有發現肺癆症日益蔓延
page 6	金山輪昨入禁海一搭客染霍亂斃命
page 6	公眾假期
page 6	汛美機
page 6	中大服務團
page 6	滬英軍眷屬
page 6	粉嶺保育院職員赴桂經葵湧被劫一行十五人大部係婦孺行李及現款損失達萬元
page 6	美國女作家韓氏由渝來港談遷都說無稽重慶民眾精神未受打擊濫炸祗造成不便與騷擾
page 6	東區教師興辦義學
page 6	張瀾洲氏致開會詞
page 7	重要足球秩序昨日編排公布本屆埠際賽上海派隊來港一月廿五日起將連戰三天
page 7	記者同樂水運會籌備大致就緒全部節目精彩花樣繁多百米及格泳望踴躍報名
page 7	聖約瑟足球隊本屆實力加強
page 7	夏令籃球激戰南商敗於印警延長時間中始分高下戰況緊張相差僅一分
page 7	今夕游泳勵進對抗東方
page 7	美菲荷匯牌價不動英匯黯淡申匯靜寂
page 7	桐油經港出口美國佔居首席七個月內總值約三千萬元
page 7	荷印戰時工業正積極擴展中
page 7	股票市況尚稱穩靜成交數量依然不多
page 7	體育的哲學一
