page 2	祝羅斯福總統連任
page 3	羅斯福連任美總統大選揭曉勝利在握全國熱烈慶祝一致表示擁護國會改選 民主黨亦獲絕對多數
page 3	各地人民投票情形甚見踴躍
page 3	美國大選揭曉英人極感興奮
page 3	日人極形惶恐德國故作鎮定
page 3	北路希軍挺進義軍紛潰退德尚未有公開行動支撐義國英軍擴大在希根據地
page 3	義機竟炸南國城鎮 
page 3	義軍宣稱破希防線
page 3	美大選消息傳來我國熱烈歡迎王外長談話望美加緊協助
page 3	候選人一日動態一羅斯福
page 3	選舉投票開始羅氏一路領先
page 4	蔣委長令各地長官抗建大業不得稍懈嚴密注意日方動向勿受其愚贛北連日激戰我軍克萬壽宮
page 4	中村被槍擊案滬日軍大搜查出事地附近被封鎖甚久
page 4	梅思平傳將赴日本考察
page 4	湘榮譽將士重赴前線衡陽各界熱烈歡送
page 4	行政院會議任命洪蘭友黃伯度為社會部政常次長
page 4	李守信傳被日軍監視所部亦被縮編
page 4	杉山返東京後日軍政幹部重要會議討論蘇日談判問題及解決中國事變
page 4	陝北天災中央允撥款救濟
page 4	國府明令褒揚李清泉
page 4	蘇聯當局頒發勳章
page 4	貝當向美保證將不轉移屬地美國務卿赫爾表示將不致採取新舉動
page 4	林主席電賀蘇國慶
page 4	甘肅省當局注重植棉事業規定三年內推廣六十四萬畝
page 4	鄭師長遺骸運葬南岳忠烈祠
page 4	滬廉恥運動會電蔣委長祝捷
page 4	美援華大會定後日舉行
page 4	海外國大代表謁林主席致敬
page 4	傷兵獻金購機蔣委長傳諭嘉獎
page 4	須磨的幻想
page 4	多此一會
page 4	疏散令撤銷
page 4	滬法租界內法院形勢稍和緩我外部向法大使提交涉各法官亦表示嚴守立場
page 4	邱吉爾眾院報告英竭力增援希埃
page 4	湘榮譽軍人屯墾區籌備就緒規模極大
page 4	邕寧收復後秩序漸恢復中央社記者視察後報告
page 4	中農董事會開臨時會議加聘董事多人
page 5	粵桂臨時參議會分別提前開幕選舉二屆國民參政員外並議糧食經濟建設問題
page 5	粵臨參會請儲糧食倡印輔幣
page 5	桂臨參會注重發展國民經濟
page 5	粵省務會議通過驛運處組織章程曲岐線概算亦通過
page 5	陳驥代理粵第三政務團長
page 5	粵東北江設站招待港僑歸國護送收容均有辦法
page 5	澳工務局長毛經玉調任明日離澳轉赴葡國
page 5	西康日記二○一第九編九龍木裏途中
page 5	李伯振病逝陽江
page 5	萬載壯丁四人請纓
page 5	越澳航線十日正式通航法輪六艘派定往來越澳小廣東輪延至昨始返越
page 5	戴愧生陳慶雲募航空捐分赴北呂宋南美洲
page 5	西北攝影隊長應雲衛談蒙疆之旅不到西北不知祖國偉大
page 6	本港英籍婦孺強制疏散令撤銷英殖民大臣覆示港政府已疏散者不得返港法令仍有效
page 6	模型飛機比賽十日舉行上午十時至下午五時止經聘請摩士等任裁判員
page 6	中國航空協會捐永久獎
page 6	防空救護隊未足額須七千五百人始敷分配當局盼望市民踴躍參加
page 6	難民自助社增設門市部設九龍城原社址華南婦女節制分會所辦
page 6	華人游泳會水手黃國有竊槍自殺手槍為會員吳康鳴之物經濟壓迫蓄意自戕已久
page 6	港澳未及格中學教師須入進修班受訓中大師範學院負責主辦教部規定進修班辦法七項
page 6	當局收回大嶺田將建平民新村牛池灣曠地將建難民營收容露宿田隴間之難民
page 6	白雲故鄉明天正式放映
page 6	葵涌沿途出境犯死亡者多謝保明慨捐國幣五百元需款尚殷亟盼各界捐助
page 6	港英賑華會募捐委會結束募得六萬餘元羅文錦函謝各募捐委員英戰慰會發表週年報告
page 6	我銀行界等合組國貨服務社向海內外各地推銷國貨介紹原料為我僑胞服務
page 6	東院有人滿之患醫務當局特闢臨時醫院協助該院解決過剩難題
page 6	美洲新運會專員吳敏墀九日由美返港
page 7	罌花節足球義賽軍聯隊人選產生後衛穩健前鋒矯捷未可厚非足球總會今日開審犯規球員
page 7	華人游泳會舉辦健身班
page 7	南華乙組足球今日約戰軍醫
page 7	德權鼎賽本週秩序公佈
page 7	滬孤軍運動會情況熱烈士兵精神奮發謝團長慷慨陳辭
page 7	外匯牌價仍無變更美匯呆滯申匯穩定
page 7	國幣市況趨勢堅穩
page 7	股票市況堅靜買戶呆滯成交稀微
page 7	四四金市先靜後堅
page 7	與林沖論華隊三強
