page 2	英德的空戰與封鎖 
page 3	武漢日軍集結三萬我軍正嚴密戒備中浙海日艦續向海門一帶砲轟
page 3	桂省當局建立省倉藉以調劑民食
page 3	日機效顰德國出全力襲川前午昨晨肆虐不轟
page 3	越南當局對日態度轉積極增強越桂邊境防務
page 3	晉反侵略支會在興集舉行成立大會 
page 3	美學生代表在渝演講百分之九十五美人均對我抗戰表同情
page 3	為捨身衛國的將士向海內外同胞請命有錢出錢完成寒衣運動
page 3	澳洲與日本將互派公使
page 3	陳嘉庚等由貴陽赴桂
page 3	浙海日艦扣留德輪浙滬貿易恢復無望 
page 3	滬日軍尚未接防即出新花樣通知西區住戶停付房租謂將另設機關管理房產
page 3	褚輔成由渝抵蓉視察川禁煙成績
page 3	閩人陳國樑在滬被擊傷刺客二人當即逸去
page 3	日政府頒布節約法令人民生活大受限制
page 3	滬綁架案中途被警識破互擊槍傷多人
page 3	陝決心禁煙當眾焚毀所存公膏
page 3	英護航制度擬推行及中國各港口
page 3	朝鮮被捕英僑均獲釋放  
page 3	後方五省旅遊記二
page 3	財部高級人員將略有變動徐堪鄒琳均將調任新職顧翊群將赴渝任某要職
page 3	上週南北戰場我軍俱獲小勝
page 4	德國忽發表聲明對英全面封鎖美運輸艦照常通過英亦擴大對德封鎖區
page 4	地中海英艦隊曾砲擊里比亞
page 4	德夫古柏廣播英國準備完竣
page 4	威爾基發表演說評羅斯福政策贊成徵兵計劃及物質援英惟反對現政府之對內政策 
page 4	羅召開御前會議考慮匈要求覆牒將於今日送出羅已委出對保談判代表
page 4	德國對土正極力拉攏土有援希抵抗侵略說希再召集後備役入伍
page 4	美總統會見加總理討論美加國防問題
page 4	希臘被威脅
page 4	羅國之命運
page 4	白華德逝世生前為海軍問題權威
page 4	法宣佈採取指導經濟代替經濟自由主義
page 4	論歐洲封鎖戰
page 4	德義兩國協商加強經濟聯繫
page 5	南海大風暴前廣州灣當局備戰西營要隘設置防禦工事越兵出動巡邏保護治安
page 5	法艦駛到日艇夜遁
page 5	貨運情形限制仍嚴
page 5	發運入證變通辦法
page 5	粵青年團發動從軍運動九一八舉行運動週
page 5	石門坎剪影
page 5	浮墟橫徑我游擊隊打勝仗斗門形勢轉趨穩定中山快艇得駛澳門
page 5	瓊崖泥足日軍劃四駐兵區縮短防線
page 5	海外華僑捐粵振款七月份收一百餘萬
page 5	西康日記一四八第七編由梭坡到九龍
page 5	威寧設國立小學推進苗胞教育現正籌備年內開學石門坎苗區教會學校最高
page 6	教育部獎勵熱心興辦義學僑胞由部派員指導義學發展辦理良善者將給補助費
page 6	紀念八一三普益商會獻金成績揭曉小販超立社昨當眾開箱　
page 6	熱心人員贈章獎勵
page 6	英人請求停止疏散港府考慮答覆約十日內發表
page 6	接生婦重加訓練接生婦擬請變通
page 6	港陸軍當局將發表公告關於華北英軍撤退事
page 6	帝航積極拓展香港澳洲間航線附載星洲荷印等地空郵
page 6	電單車交通當局昨晨檢驗隨時徵用分配工作
page 6	學生振濟會昨開常委會議九一八舉行聯合紀念會策群義學決實行二部制
page 6	中山青年歡送吳飛吳氏將北上履新
page 6	廣州蔬菜瓜果大批源源運港昨晨經澳門運到千餘籮果菜市價日來漸趨低跌
page 6	世界語學會昨舉行畢業聯歡會
page 6	滇省當局訂定僑民墾殖規則僑港團體接到此項通知領地證以三年為期
page 6	人口推算本港約有百六十萬人根據用水量平均數核出疏散離港者二十五萬人
page 6	義款彙齊今日匯出
page 6	東華醫院
page 6	教育新例
page 6	戰稅檢查員
page 6	留日同學會
page 6	防空員 
page 6	華人游泳會
page 7	國際棒球比賽葡萄牙淘汰英國結果七比六戰局先鬆後緊
page 7	德權鼎賽昨日各隊戰績
page 7	中西水上競技四強大會戰本星期六在西青舉行
page 7	子飛杯小球毅弓獲冠軍
page 7	高級乒乓參加者共八隊
page 7	夏令籃球賽住聯克印警
page 7	球場花絮
page 7	我國對歐美貿易本年仍有增無減 
page 7	勵進游泳團再戰域多利
page 7	南華四次水藝現已開始報名
