page 2	社評現實的教訓
page 3	寇里報告一部揭露深信中國必獲勝利美國遠東政策因此更為堅定羅斯福或將擬成援華新計劃
page 3	松岡抵德德義報紙皆大放厥詞利用松岡作宣傳攻勢
page 3	促進美荷聯防荷兩部長訪菲荷日談判僵持芳澤突赴巴利
page 3	美紅會協助菲美僑疏散
page 3	日又一陰謀被荷印發現
page 3	中韓聯會代表獲悉日將南侵曾函美國務卿報告
page 3	閩呈請設立福州市政府
page 3	戰債勸募各方響應極熱烈婦女隊成績尤佳
page 3	李頓爵士撰文盛讚我國英勇日本實為侵略主義之作俑者中國早得援助亂不致蔓延
page 3	重慶通信
page 3	日本贈汪和製傀儡
page 3	滬缺乏汽油租界當局擬加統制
page 3	滬美僑會議反對增加日董
page 3	滬洋米來源租界當局已謀疏通
page 3	日汪暴徒行兇後滬銀行戒備嚴租界決維護兩法院安全
page 3	團結問題有新進步蔣委長邀宴周恩來等
page 3	潮陽城郊戰況猛烈我控制外圍加緊反攻贛北日軍死傷六千餘
page 3	蘇浙日軍漸不支晉東南我掃蕩中
page 3	蔣委員長撥款振濟粵南軍政當局亦正協力安輯
page 3	滬法界電車昨恢復行駛條件仍在協商中
page 4	南國傾身軸心後民眾極為憤激政府派兵赴各地鎮壓
page 4	對於蘇土協定美國表示滿意
page 4	軸心刻意鋪張
page 4	德擴大對英封鎖線包括冰島沿岸防美利用冰島為援英轉運站
page 4	話說當今英格蘭玖國際本是座大舞台二一九四零年歐洲稗史大觀
page 4	希熱烈慶祝獨立紀念雅典陽光照耀人民精神奮發
page 4	加羅爾將遷居智利智政府已同意
page 4	哈里法克斯闡明英和戰目標消滅精神政治經濟束縛確保安全預防慘劇重演
page 4	英撥新航空母艦參加地中海艦隊
page 4	美建商輪百三十七艘造船合同已簽署一年內將可完成
page 4	敘利亞形勢緊張阿學生反對統治
page 4	非洲義軍易帥圖作最後掙扎
page 4	李頓爵士之讜論
page 4	美宣布凍結南存美資金
page 4	德將遷都瑞士如是傳稱
page 5	江會日軍圖挽危局再度進犯雙水古井旅美四邑華僑匯款急振難胞粵省各界慰勞團已啓程出發
page 5	西康日記二五三第十三編永寧麗江途中
page 5	桂省中等教育一般現象可喜教部視察員唐惜芬談
page 5	粵發展職業教育利用公私院校設補習班各縣市籌設體育場
page 5	民族文化書院內部組織與近況介紹
page 5	粵省建設廳積極發展工業擴充原有工廠繼續完成新廠預算六月以前各廠均可出產
page 6	印刷業勞資糾紛解決新協定昨日簽訂會銜通告分別定期執行從比勞資合作共謀福利
page 6	兩陽工商會響應獻機運動籌美金三萬元購機一架港澳集款國幣二十萬元
page 6	移民局調查委會昨日繼續聽供證高伯贊述被委總代理經過今晨在立法局仍進行傳訊
page 6	限制用水令昨日取銷
page 6	肥料製造所工程告竣試用成績尚佳
page 6	注射預防霍亂藥劑當局無意強迫執行李樹芬談勿食生冷食物防霍亂針必須注射三次
page 6	防空處進行分配避難地點擬在每所樓宇設置木牌書明該樓居民避難濠洞
page 6	貨倉公司增建巨型新倉設備完善足稱遠東之冠昨開年會報告上年年結
page 6	嶺大同學歡迎鄺炳舜改四月六日舉行
page 6	九龍溜冰場公開義賽為新運會籌款
page 6	旅美華僑再捐鉅款振難總數超過二十萬元指定交中央振委會
page 6	秘魯對華僑撤銷禁止入境例
page 6	救濟四邑派定查放人員馬超後為查放主任委員吳鼎新為監放主任委員
page 6	中國電工企業公司將在港設分廠
page 6	星洲書商派員來港商印國內出版書籍當地限制入口供不應求書商維持營業籌劃補救
page 7	督憲杯足球複賽華聯戰陣發表交紿碩友落選門守用曾培福陣線比較完整尚盼大家努力
page 7	精神總動員與學運籌賑
page 7	乙組聯賽星島敗北
page 7	曾仲雲等三將今日未能赴菲徐達去電菲方報告一切東方首戰受影響
page 7	抨擊裁判措施案交下月月會討論
page 7	小球聯會新職員選出
page 7	澳男女籃球隊名單公布下月四日犯港
page 7	居民聯會籌辦游泳測驗攀山改期舉行
page 7	南商實力充沛半山力戰不敵十五比二十九相差一半友誼賽青支綠隊勝白隊
page 7	本週足球比賽節目星期六二十九日甲組聯賽下午四時半
page 7	五邑杯乒乓賽今日四場
page 7	外匯牌價俱無變更美匯沉靜申匯仍淡
page 7	股票市況堅穩昨日成交五萬九千餘元
page 7	國幣市況尚稱穩定
