page 2	拉伐爾與佛蘭亭
page 3	南晶東南戰事猛烈我軍兩路進攻獲勝粵漢路南段日兵車觸雷炸毀
page 3	工程師學會年會定今日閉幕下屆年會在筑舉行
page 3	華茶運蘇數量將激增
page 3	阿部抵日青木等同行
page 3	李濟深雷李宗仁祝捷
page 3	歸國僑胞藍東海在渝向泰國廣播
page 3	滇緬公路將鋪柏油路面
page 3	貝克在桂視察難民
page 3	監院巡察團抵湘訪問吏治民情
page 3	上海物價繼續騰漲罷工風潮層出不窮各公用事業又要漲價
page 3	廈大設工院教部已批准薩本梀過桂返閩
page 3	七十老翁賣田購機
page 3	果德縣民捐資興學
page 3	土耳其希臘與東地中海
page 3	日機又兩次襲滇我防範甚嚴損失甚微
page 3	我軍不斷出擊各線均有斬獲軍委會報告一週戰況
page 4	貝當以迅雷手腕改組法國內閣拉伐爾撤職後被捕佛蘭亭繼任外長職
page 4	荷蘭公主明日由加抵美美將予以款待
page 4	北非英軍猛進衝入義屬領土阿境希軍繼續推進中
page 4	美最新航空母艦秘密舉行下水禮
page 4	羅斯福巡視完畢今日返華盛頓對美海軍工作表示滿意
page 4	在英機轟炸下漢堡面目全非德國鐵路網亦受損甚重
page 4	蘇共產黨員須受軍訓
page 4	南非聯邦扣留日輪
page 4	泰政府宣布願和平解決準備舉行邊界委員會議
page 4	勞易喬治發表演說主張增加農產
page 4	英經濟代表團一行上阿根廷赴烏拉圭
page 4	羅馬尼亞油場大火
page 4	西班牙內閣連日開會內容未見宣布
page 4	愈炸愈暢通
page 4	阿部之言
page 4	德官方否認希墨會晤
page 4	美眾院當局主盡量援英英如失敗美須獨力應付世界
page 4	英美與荷印一
page 4	祝捷英王電中東英軍總司令
page 4	法新內閣舉行會議
page 4	英美觀察法國政潮
page 5	粵省政府發表獎懲令一批嘉獎搶救西潦出力人員羅翕祥等六員政務視導團一三兩團請獎懲者均照辦
page 5	粵桂黨軍機關要員調動蔣培英接任桂省監委唐灝青任韶警備司令
page 5	四邑動員民眾參加國民軍訓龔楚在新會某地設指揮所舉辦國民兵後備隊訓練班
page 5	南寧省立醫院奉命恢復張贊育任院長
page 5	越韓革命同志在桂酬酢反侵略會等歡宴
page 5	鎢江西的寶藏上
page 5	潮汕日軍懼我反攻汕頭督拆篷寮潮安設愛路隊
page 5	桂推動合作社認購節建儲蓄券頒發認購獎懲辦法
page 5	陸豐聯防隊擊斃著匪
page 6	本港米商向仰光辦米來港米商希望當局減低米稅白米黑市之風昨已稍戢
page 6	仰米每擔十一元餘
page 6	葉恭綽六十大慶昨晚舉行公宴
page 6	新總統輪捷臣號昨日抵港以載貨為主載客為其次今日駛菲繞好望角返美
page 6	星出境犯　
page 6	農植訓練所昨動土開學以上代振造就農村人才予缺席者以三日之時間
page 6	九龍商界請求延長歲末營業時間由尾禡起至年二十九晚每晚營業至十二時為止
page 6	世界語協會昨紀念柴門霍夫報告柴氏生平及創造經過並以世界語演出夜之歌
page 6	本港各銀號每逢禮拜日休業
page 6	華商織造總會新任董事選出十八日開首次聯席會議
page 6	移民局　留所址擇定
page 6	回教文研會推行識字運動編輯教義淺說
page 6	米商希望當局減稅
page 6	馬來亞禁泰米入口
page 6	崇正總會調查客屬同僑聘調查員十人開始工作舊會員登記徵求新會員
page 7	加山戰局緊張東方力克警察會文奎三元連中竟成百步穿楊結果四比二後來居上
page 7	球藝漫談
page 7	戰情縮寫
page 7	公開女子排球南華威震加山三比零仿林初遭敗績
page 7	我國棉紗外銷總值逾六千萬元
page 7	我國針織品外銷激增本年度十個月內出口逾六千萬元
page 7	愉園一場激戰星島小勝聖約瑟主將多人缺席後衛感受威脅結果三比二缺乏精彩
page 7	國際杯中華隊今夜選人
