page 2	社評歐局危機的兩面觀
page 3	我空軍揚威三灶島向Ｘ艦大舉轟炸予以重創犯汕尾Ｘ軍被我全部擊退
page 3	偉大的舉動各地偽軍反正殺Ｘ
page 3	軍民合作增加戰時生產
page 3	粵兩縣長即將定罪
page 3	蔣委員長通令全國各省市府撫卹陣亡將士家屬
page 3	汪逆又赴青說是看戲實在想登台中華日報又載汪謬文
page 3	英考慮維持法幣平準基金增至一千萬鎊上海物價飛漲居民紛遷內地
page 3	在淪蓉上空受傷的勇士上
page 3	滬偽偵探在租界綁架成都路口開槍互擊法租界又搜查民居
page 3	暹羅僑胞獻金情形踴躍陳守明電孔院長報告總數可達百萬元之數
page 3	Ｘ國稻田旱象已成情形極為嚴重
page 3	李烈鈞抵滇擇地小住養疴對各方馳問表示感謝滇軍政進步領導有方
page 3	大批文化人由滬前往華北決以筆尖對抗槍砲集團創作詩歌小說
page 3	汪逆的生平一個不吉利人物吳稚暉詳批八字
page 3	冀南Ｘ軍增援進犯受創
page 3	廣州Ｘ軍檢查行人
page 3	紅星報著論Ｘ財政枯竭內債增加達於極點戰費籌措極端困難
page 4	日本對英態度愈顯狂妄昨日三次會談結果日方宣傳已獲協調
page 4	安南王后觀見教皇受賜念珠一串
page 4	關於中國法幣昨日英文南華早報社評
page 4	法國敦勸英國對蘇再讓步使反侵略協定早日成立莫斯科談判日內將續開
page 4	中立法被擱置英法感失望費治夫人在眾院演說力促禁止軍日本
page 4	英波談判短期可成立德方對但澤問題宣傳願和平解決
page 4	英將協助土國增防韃靼納爾正在談判中之信用貸款為購貨問題傳發生困難
page 4	擁護張伯倫排斥邱吉爾一部分英眾議員發起
page 4	日方之煙幕
page 4	無恥之新記錄
page 4	駐法美使赴英
page 5	我軍放棄狗山獅山江會戰事轉趨沉寂各路嚴陣困Ｘ力行消耗游擊江會殘Ｘ力薄竟向李逆搬兵
page 5	張瑞貴部突擊廣州市內Ｘ偽終日惶惶石龍增城Ｘ軍撤退
page 5	桂農民銀行設戰時交易公店官商合股公營糧食
page 5	我神鷹隊增從炸Ｘ目擊記參謀處長說是我機翼上有黨徽翼上有黨徽我看得很清楚
page 5	台山加緊完成大窿洞墾殖區
page 5	周雍能昨接任粵僑務處長
page 5	石龍漢奸潛逃
page 5	梅縣車運恢復
page 6	本港汕尾交通斷絕珍珠輪被阻折返雞蛋價驟貴百分四十二廈門汕頭間Ｘ軍佈水雷
page 6	基督教會粵分會十四屆代表大會明日至廿六日在港舉行請羅天樂博士蒞會演講
page 6	惠陽商會等團體聯合歡迎黃葉開辦墾區增加抗戰生產喚起同僑努力救鄉救國
page 6	八一三義賣獻金九龍豬肉檯商人以豬肉勸捐兩日
page 6	南華大學遵照部分編定系別聘請教授購買儀器
page 6	佛山輪乘客談廣州市面蕭條除粮食外商品無人過問市面現仍使用我國法幣
page 6	葉淡波演說
page 6	婦女兵災會徵募蚊帳藥品捐贈江門前線抗戰將士藥物一批寄贈潮汕警備司令部
page 6	入口刊物報紙須具有華民署許可證
page 6	港僑救護團殉職隊員照章撫恤
page 6	果販義賣團今日收款共分六隊出發
page 6	本港沙面間電訊停頓因受廣州Ｘ軍統制
page 6	赴菲旅客預備防疫證書
page 6	改進半月刊蘇聯建設介紹專號一卷五期現已抵港
page 7	今日棒球有看頭友啤重逢美水兵
page 7	南華在棉第三戰打勝棉聯詳記德輝景祥廣森建殊勳
page 7	義勇隊游泳賽港督頒獎品
page 7	港公開水球第二週賽程昨排定
page 7	絲湯瑪勇克頑敵記上
page 7	上半時南華祖鞭先着
page 7	下半場棉聯再輸兩隻
page 7	美女壘球隊九月征菲過港時將表演
page 7	夏令足球賽今明有戰事
page 7	蘭哈菲遭否認英方大為不滿退出世界拳擊錦標委會康恩榮任輕重量級之王
page 7	德草地網球賽德人天下外選手遭淘汰
page 7	南遊日記
page 7	英美滙不定後回穩暹匯及申匯價漲其餘匯均縮申匯市先淡後穩銀行多拋出
page 7	國幣昨日回漲市民購進踴躍市價好轉上海外匯亦漲市況轉穩
page 7	八九金市創最高峯但收市時價稍下隆
page 7	股票市況清淡成交數量更見稀少總值不過五萬餘元
