page 2	社評何以防止市街地的壟斷
page 3	閻司令長官縱談保衛西北軍事鍛煉三十萬鐵軍打擊Ｘ人晉西又創Ｘ軍我克萬年堡
page 3	偽軍思家厭戰兩蒙民致書軍官全是斑血淚語
page 3	漢Ｘ譁變發生激烈衝突
page 3	津Ｘ要求引渡恐怖份子英政府已有決定
page 3	英國桂冠詩人梅斯斐爾談中國未風自倫敦
page 3	汪Ｘ進行收買滬文匯報編輯部同人拒絕合作僑胸電中央請予通緝
page 3	香翰屏兼游擊隊主任
page 3	津Ｘ軍營被焚損失慘重
page 3	唐桂林真是一個奇女子過慣了行伍生活中央社曹聚仁
page 3	鼓浪嶼問題Ｘ態度轉強硬對增加日籍職員提出最後之要求
page 3	Ｘ在寧召開參謀官會議對我軍採取攻勢後頗存畏懼戒備之心
page 3	法大使昨由滬轉海防
page 3	方治赴渝
page 3	回教堂被炸國際和平運動會電各國分會注意
page 3	Ｘ閥對美濫提抗議一面誣衊中國一面向美道歉
page 3	蘇北洪水業已疏溶入海
page 3	青年論文競賽共收到稿件五百餘篇評定成績取十五名
page 3	冀Ｘ兵車觸地雷炸燬官兵盡沉溺
page 3	光榮戰績馮登高以一當百阻Ｘ軍大隊進犯
page 4	蘇覆文送達倫敦英政府研究中法總理達拉第演說稱決維護和平抵抗侵略
page 4	希特勒演說向英法恫嚇竭力為德國辯護反妄責英法挑釁
page 4	蘇納將任西內閣總理瑪德里城人民十六名被槍決
page 4	道義整軍運動舉行一週年紀念羅斯福致文祝賀
page 4	美大選問題羅斯福參加與否尚未定共和黨實力似略遜一籌
page 4	但澤國社黨將舉行巡行戈培爾亦將參加
page 4	蘇聯外交政策三歷樵譯
page 4	英王即將抵美美準備歡迎赫爾將親自出京迎迓
page 4	在蘇聯最高會議中莫洛托夫演詞全文一
page 4	打撈替狄斯號工作仍無進展海部將向議會提報告書
page 4	英空軍強大質量優越空防嚴密德義兩國決難一逞
page 4	Ｘ對歐政策又有新決定一變再變可見彷徨無主平沼昨午進宮報告一切
page 4	德圖在經濟上控制南斯拉夫兩國代表在科倫談判德竟向南提五項要求
page 4	德公司十六家自願慨捐鉅欵資助我留德清寒學生現正與陳大使接洽中
page 4	波羅的海上蘇海軍演習海軍要人均參加
page 4	教皇努力和平圖召集五強會議解決國際間問題
page 4	日人無理認英武官為間諜
page 4	Ｘ閥的抵賴本領
page 4	希特勒的話
page 5	Ｘ偽無力進擾仍在三江一帶相持四邑戰事膠着輪渡已試航中山擴充實力鼓勵民眾投効
page 5	粵賑濟會撥三萬元救濟某區難民
page 5	高明縣長抗Ｘ獲獎粵省府通令褒揚
page 5	粵當局推進精神總動員韶關舉行二次月會
page 5	廣東臨時參議會首次大會概觀充滿精誠融和相矢同舟共濟一
page 5	粵參議會請政府公佈獻金及防空捐款數目未便公佈者須送會查核請懲三水中山縣長原案披露
page 5	廣州灣大捕漢奸中印六人一網成擒解寸金橋為我截獲
page 5	香翰屏抵前線指揮游擊
page 5	我空軍大炸石灘Ｘ機迎戰均被擊潰斃Ｘ百餘安然返防
page 5	粵參會發表宣言表明兩點共矢忠誠在委員長領導下與Ｘ搏鬥發動民力共同完成建省建國之大業
page 6	利源東街昨午搶案警探搶匪開槍互擊一探重傷一賊斃命一賊被捕流彈橫飛途人四名受傷
page 6	防空報普及防空常識定十三日發行
page 6	中區血案側寫不祥的利源東街三年前的事重演
page 6	港九教育界紀念教師節分在娛樂等三戲院舉行吳鐵城將出席致訓詞
page 6	婦女新運會籌設難童夜學現正在港尋覓適當地點課程擬照平民夜校章程
page 7	歐洲帶台杯網球德國獲得決賽權英連戰皆北三比零被淘汰南比之役陷入苦鬭狀態中
page 7	南華遠征第二戰再克河內選手依樣畫葫蘆又是六比零
page 7	白巨人拉薩慘敗黑拳手路易稱王
page 7	荷匯續漲越匯略縮英美匯市均穩靜申匯穩定華商銀行買賣較多
page 7	送別足球季
page 7	蔡惠全稱雄米杜息
page 7	足球總會昨日開會商討港滬埠際事宜
page 7	一筆球賬
page 7	派息期近股票漲勢益厲屈臣氏等股成交最多買胃暢旺存戶多居奇
page 7	八九金市仍趨下游買賣不多價再微降
