page 1	社評國際潮流與中國
page 2	馬帥奉召離華返美將向白宮報告中國局勢定今晨啟程蔣主席昨設宴餞行
page 2	美對遠東政策將徹底加以檢討華府官方之意見
page 2	黃河堵口問題
page 2	交換改組政府意見張群昨晤左舜生等
page 2	馬帥離華以後軍調部將如何
page 2	關於大連港美政府照會蘇聯認為大連應在中國管理下開放國際貿易並希望短期內恢復中長路交通美方同時亦照會我國政府
page 2	中共的看法
page 2	美軍強姦女生案美軍方面調查處理中已指定人員組軍法審委會
page 2	胡適談話
page 2	參政員任期延長名額增加四十四人國防會中常會聯席會議決定
page 2	各地學生抗議
page 2	徐州外圍吃緊淮陰沭陽間仍激戰晉西共軍進攻蒲縣大寧
page 2	豫參議會反對延期堵口
page 2	國家總預算國防會審議委會昨開會研究參政會審議之報告
page 2	中航昨派機飛青島輸罹難乘客善後
page 2	內蒙代表請願昨向政院提出四項要求
page 2	雷啟霖家屬在甯夏被捕
page 2	民盟二中全會討論組織問題
page 2	漢市各報著論批評飛機失事
page 3	美第餘十屆國會行開幕禮杜魯門致首次咨文保持足額海陸軍作為外交政策後盾提出罅罷工計劃要求維持高稅率
page 3	范登堡評咨文不贊成對勞工問題建議歡迎畀予私營企業自由
page 3	美兩黨議員全說要合作
page 3	對杜魯門咨文反響
page 3	在美八十屆國會席上杜魯門演詞全文
page 3	蘇聯企求和平史達林贊成與西方國家合作拉斯基談訪蘇觀感
page 3	四外次會議一部代表派定
page 3	巴魯治辭職後一般人猜測美國與蘇聯談判原子能問題之戰術或將軟化
page 3	薩爾地位將由四外長決定
page 3	在華日人遣送竣事麥帥總部宣布
page 3	澁谷事件半年來的總報告續日警槍殺台僑的前後經過與最近發展
page 3	繆戴視察已畢八日飛返巴黎
page 3	德境美軍司令由克萊中將升任
page 3	英沙漠部隊開往巴勒斯坦
page 3	蒙哥馬利抵莫斯科發表英蘇親善理論
page 3	英國需要鋼鐵擬就七年計畫
page 3	越南戰事仍將持續繆戴揚言並非一定需要談判援軍趕到法司令部準備進攻
page 3	河內海防間公路已打通
page 3	分治巴勒斯坦英擬畫為兩個國家採取嚴厲措施制止恐怖運動
page 3	復員及無職軍官佐當局另訂收訓安置辦法
page 4	職工要求增加底薪滬商會請社局駁斥
page 4	關於戲劇化婚禮女主角來函伸訴
page 4	覬覦美軍軍跨兩次偷竊被捕蔡洪生等四獨犯送地檢處
page 4	中美醫院糾紛解決
page 4	滬盜案　起七日內二十二起
page 4	總工會函地檢處請嚴懲美水手
page 4	十二月份火災損失十四億餘
page 4	在隻水老鼠偷香烟被捕
page 4	大學籃球聯賽南通敗挫同德女子組交大體專同獲勝
page 4	工作競賽十日起舉行一週中紡等九廠參加
page 4	趙班斧回局視事
page 4	魏元光出國考察美國工業數育
page 4	晨友盃籃球賽V隊戰華南六時起乙組二場
page 4	熱心人捐款助振本報已代轉送
page 4	施發寒衣正誠社今日舉辦
