page 2	社評以奮鬥紀念九一八
page 3	蘇紅軍突開入波境聲明保護少數民族對於歐戰仍願維持中立態度波戰事益緊德企圖誘波投降
page 3	波拒絕蘇通牒抵抗侵入紅軍
page 3	蘇果助德攻波東歐將起大戰
page 3	守軍拒絕投降華沙慘遭轟炸德方宣傳又佔領數城
page 3	日軍事考察團被邀赴德觀戰寺內大角由義往柏林
page 3	西線砲戰劇烈德國反攻不逞達拉第親赴前線視察
page 3	英擊沉德潛艇數字之高出於意料德國為謀應付英國計正日夜開工趕造潛艇
page 3	內部不穩加深德難忍受長期戰爭柏林航空部竟被炸毀捷克境內實行大搜捕
page 3	蘇日停戰協定與我毫無影響蘇聯正對我擴大援助美遠東政策將更積極
page 3	法國殖民地動員人力物力數量遠過上次歐戰
page 4	四次參政會進行中蔣議長開會詞認識目前重要關頭把握重點迎頭趕上
page 4	何部長廣播
page 4	東北是我們的九一八第八週年紀念感言
page 4	壺關連日激戰長治仍在我軍包圍中
page 4	青省府主席整軍恤民蔣委員長覆電嘉勉
page 4	波蘭與蘇聯
page 4	又得意忘形
page 4	滬中美日報被迫停刊三星期
page 4	蔣夫人發起徵募棉衣各地紛紛響應
page 4	反侵略分會徵求會員運動
page 5	Ｘ軍攻勢銳減中山戰局和緩大王頭一帶仍有Ｘ軍盤踞我設督戰官誓死守土抗戰
page 5	今後之廣東教育
page 5	合浦縣府積極墾荒令各鄉鎮切實辦理
page 5	南頭深圳Ｘ軍增防鐵路我軍仍居主動地位游擊隊勇士夜襲蔡屋圍
page 5	粵募款撫卹朱惺公遺族
page 5	曲江奉行新政各區長兼自衛圖大隊長小學校長兼政治指導員
page 5	電白縣加緊戰時準備籌設醫院儲鹽備荒必要時擬遷移縣治
page 5	南海三水游擊隊聯合襲擊馬口焚燬維持會殲Ｘ數十人
page 6	九一八八週年各僑團沉痛紀念僑校學生實行節約獻金商店社團今日均下半旗
page 6	中國文協成立發揚光大祖國固有文化通過工作提案選出理事
page 6	孤島天堂觀後
page 6	昨晨永樂西街永茂油莊被焚時在制水約候十數分鐘捐失甚鉅起火原因不明
page 6	統制物價未見大效竟有商人拒發貨單坡柴每元僅購四十五斤九龍居民擬組織合作社
page 6	孤島天堂之一幕
page 6	香港周圍島嶼的價值
page 7	昨日北圻足球隊四比四戰和東方
page 7	徑賽訓練法
page 7	加倫圖雙拳稱霸諾瓦敗走費城十四回合後卽倒地不興
page 7	九一八排球義賽香港戰廣東頭場南粵影人對仿林昨日廣州保羅均告捷
page 7	林山大戰絲湯瑪打敗仗
page 7	夏令籃球賽大中得利擊退仿中隊
page 7	國產糖在港銷場漸佔重要地位爪哇糖價上漲影響銷路日糖自去年起已告絕跡
page 7	我國酒類在港銷路暢旺過去七月內總值五十五萬元洋酒進口大減　價亦漸高漲
page 7	過去一週間股票市況初蓬勃後呆滯歐局動燙買戶多存觀望各種股票價格漲後回降
