page 2	社評再論上海游資問題
page 3	英美蘇商密切合作霍金斯再謁史達林倫敦華盛頓亦有重要商談
page 3	蘇德戰事愈白熱化納粹攻勢又遭重挫德機襲列寧格勒不逞
page 3	英機轟炸芬港口德運輪艦受重創波羅的海蘇機極活躍
page 3	埃及內閣辭職仍由錫萊重組新閣親英派沙德黨參政
page 3	挪威民眾不甘屈服屢破壞德軍交通線
page 3	蘇波締結協定美國表示滿意波政府閣員多人辭職
page 3	多佛海峽轉晴英機又趨活躍曾炸沉德航輪四艘
page 3	緬政府下令封存我資金
page 3	美駐冰島公使派麥克魏首任總統已向參院提出
page 3	美如對日作戰可使用新加坡駐美英海軍武官談
page 3	滬匯豐銀行公布實施凍結令辦法
page 3	伊朗採取行動維持國內治安表示願禁止納粹活動
page 3	美副總統華萊斯演說反侵略陣線已連貫兩洋光明來臨較所期為尤速
page 3	孟席斯演講蘇聯之戰即吾人之職
page 3	美政府訓練南美飛行員
page 3	秘魯軍隊進佔赤國邊鎮戰事同時宣布停止
page 3	美政府設置經濟國防局加強對軸心經濟作戰副總統華萊斯任局長
page 3	英土貿易談判已告結束印貨數宗將運土
page 4	泰內閣開緊急會議討論時局對策日竟向泰借款一千萬
page 4	龍田丸開入美港一部貨物被扣留巴拿馬對日貿易取消
page 4	日向美道歉杜丟拉損失負責賠償韋爾斯已表示接納
page 4	日檢查電訊格魯提抗議
page 4	越南泰國緬甸和星加坡一
page 4	蔣委員長重視糧產動員各地婦女耕種
page 4	納粹各要人私蓄自南美移存瑞士
page 4	滬南賭窟不堪敲榨而停閉
page 4	緬甸空軍實力增強
page 4	中菲航空即將實現
page 4	納粹造謠傳史達林子被捕塔斯社已矛否認
page 4	贛鄂戰事猛烈敵軍侵擾均被我擊退華北華中敵軍抽調殊繁忙
page 4	廣州灣安謐敵要求接收海關及警權侵越南敵軍圖攻犯粵桂
page 4	特種儲蓄券昨在渝開獎
page 4	漢奸醜態強迫滬市民慶祝愛國志士投彈警告
page 4	日統制交通外人權益更趨黯淡
page 4	陳介大使一行抵美
page 4	李駿英國府明令褒揚
page 4	田賦徵實全國省份遵令實施可得三千五百萬石
page 4	滬日兵被殺
page 4	美發意測驗我贊成援英
page 4	敵軍抽調
page 4	努力一碗飯運動
page 5	雲南行營龍主任對時局發表談話日本冒險侵略野心漫無止境英美應積極行動勿徒事空談
page 5	南路形勢趨緊我鞏衛沿海防務陽江廉江遂溪迭遭轟炸
page 5	中山我軍反攻一度衝入江會
page 5	粵骨粉廠十月開工
page 5	大批英國空軍增防新加坡曾在北非參與多次戰役馬來亞空防已日趨鞏固
page 5	廣州四中學在連縣設聯中
page 5	沿海佈置防守軍事
page 6	港府凍結資金令下商業匯款暫停頓七月卅前購外匯者例外個人攜款離港不加限制
page 6	砲台工兵華人隊昨慶祝五十年紀念港督陸軍懷念舉行檢閱晚間慶祝餐會冠蓋雲集
page 6	第二屆學業競試港昨舉行覆試考試國文及外國文兩科國文題為釋生活之目的與生命之意義
page 6	官米局發售特種米
page 6	一碗飯運動第一日進行頗為順利羅文錦司徒永覺夫人籲請各界援助我傷難
page 6	外聯舉辦
page 6	廣州灣尚安謐昨有輪三艘由該處來港載來豬牛牲口二千餘頭
page 6	僑港台僑籌組建設台山協會
page 6	滬日主實施禁運不致影響港工商業傳滬紗已馳禁港紗回跌港輸內地布疋多用滬紗
page 6	特務警察昨開始辦公應徵者頗踴躍特警職務輔助警察工作警察調充正規軍說不確
page 6	公記麵粉研究所購債四萬餘各界募債仍熱烈
page 7	棒球聯賽精采戰中華再逢美兵下午三時在九龍漆咸道球場是戰關係錦標深盼中華努力
page 7	星東隊六球員被邀留澳洲計星島東方隊各占半數胡麗天談全體均願留澳
page 7	青泳團約戰華人隊定六日對抗
page 7	鐵城杯籃球賽吐倫迎抗中青昨夜居聯新青先後獲勝
page 7	星東三戰全澳聯五比二復前仇第二戰澳隊粗野不幸遭毒手截至六月底止星東十戰九勝
page 7	股票市況靜寂昨日成交總值四萬餘元
page 7	申匯市況依然靜寂美圓價格繼續下跌
