page 2	社評讀蔣委員長告同胞書
page 3	豫鄂我軍繼續推進天門被圍Ｘ勢已成弩末反攻新會連克重要據點
page 3	全國生產會議發表宣言說明今後經濟政策以民生主義為依歸
page 3	懷來我軍活躍八路軍重創Ｘ軍
page 3	我英勇空軍初炸南昌Ｘ陣記
page 3	劉文輝主席談西康軍政近況金鑛局正擴大淘金去年產量增至萬兩
page 3	黔驢技窮Ｘ人大造謠言
page 3	同情之聲中國協會主席談話深望英國積極援華
page 3	兩路不安Ｘ僅敢白晝通車
page 3	桐柏美教堂被Ｘ機炸毀
page 3	華北偽幣多處不能使用
page 3	我機出動飛往岳陽偵察在滬杭路炸Ｘ
page 3	英美艦雲集閩海鼓浪嶼形勢緊張鼓島工部局召集會議對日方要求拒絕承認
page 3	桂省黨部調整全部機構
page 3	蘇北我軍迫近漣水縣城
page 3	旅華美僑同情我國抗戰捐贈存款慰勞
page 3	雷鳴遠飛渝謁蔣委長
page 3	偽滿邊境日軍人數增加
page 4	蘇聯所提建議英原則上接受內閣外委會批准覆文法國將從中努力斡旋
page 4	英徵兵法案七月一日實施檢察長主張授權政府對國外英僑亦施訓練
page 4	海峽殖民地總督將留任一年俾應付遠東時局
page 4	瑪德里巡行定十九日舉行比大使遞國書
page 4	德義兩首揆巡視西部邊防德國西格佛萊特防線規模宏大正在趕築中
page 4	義窮兵黷武債台高築官方公布外債總額即達二萬三百萬元
page 4	演習德艦駛返原防
page 4	英王抵加拿大朝野人士熱烈歡迎總理金氏發表演說
page 4	通過大渡河續西康踏入記
page 4	Ｘ對歐局政策仍舉棋不定明日開五相會議傳將有重要決議
page 4	於斌主教在美備受歡迎費城官民開會招待宣傳抗戰獲得同情
page 4	中英文化協會在渝舉行年會卡爾讚揚國人堅持忍耐認中英邦交必日臻密切
page 4	蘇海軍演習現已完畢服役期限延長海岸防務亦臻十分鞏固
page 4	法波國防部長在巴黎談話教皇否認對但澤提建議
page 4	法外長龐萊接見西使對履行法西協定磋商妥善之辦法
page 4	希保糾紛龐萊接見希使希望對保讓步
page 4	美國會對我態度友好妨礙我抗戰法案決不致有所通過
page 4	滬Ｘ的慣技倆散放謠言擾亂人心
page 4	生產會議宣言
page 4	英蘇關係進展
page 5	會城江門爭奪劇烈江佛路Ｘ敗退篁莊鶴山邊境激戰Ｘ未得手石岐當局宣布現狀尚安
page 5	鶯哥嘴河面三Ｘ艦砲轟小欖連發七砲市中心落三彈毀屋六家死三人傷五人
page 5	Ｘ艦逞兇轟擊市區
page 5	死傷甚多Ｘ艦未去
page 5	汕頭又趨緊張保育會搶救難童負責公育減免父母痛苦警察實施市街戰術演習
page 5	粵教廳籌設中區臨中
page 5	劉侯武過汕北上工作蟻光炎氏同行
page 5	救亡空氣滿韶關各界團體紛紛北移動員民眾注重訓練
page 5	魏思誠談浙贛交通南昌雖失尚無困難將在浙東修手車路
page 5	各地簡訊曲江裁緝私處
page 6	渝市被難同胞需要救濟藥品許世英電本港各善團請捐助金雞納霜等物
page 6	英賑華分會進行沿門勸捐募捐隊共分為十一隊昨日出發成績極可觀
page 6	嶺南大學校長李應林今日赴美接受奧柏林大學學位並商議發展嶺大計劃
page 6	衛生局取締腐爛果品派員曉喻無知小販
page 6	新會商會五批賑米昨已運出
page 6	高等難民享樂本港奢侈稅激增實收較預算相差甚多
page 6	德赴日代表希索輪赴日
page 6	防空特別班須具普通防空常識
page 6	長洲送人艇發生謀財害命案三賊黨藉僱艇海中行劫蛋女被扼斃艇婆被擊傷
page 6	去年泳場名人麥偉明昨日出獄生於本港並未遞解出境有問其何往者默然不答
page 6	加拿大華僑關懷祖國再捐第五路軍元
page 6	省賑會教員登記報名人數過多明日抽籤聘用
page 6	球賽入塲券發現假票南華球塲門前昨捕少年一人
page 6	歐陽予倩壽辰影劇歌詠義演寓祝壽于救國意義重大壽禮交賑聯會賑濟難民
page 6	中國婦女會賣花成績上月共五千餘元
page 6	昇昌輪復航未能實現
page 6	洪流劇團即將來港公演
page 6	前駐漢蘇領台拉巴林昨抵港
page 7	惠堂突出士氣振奮南華卒獲旭和杯再戰克海軍完成包辦偉業結果四比一演出有聲有色
page 7	中法台杯網球今日開始角逐貝脫拉比利沙又告出場
page 7	菲島台杯選手昨日過港表演戰和徐家兄弟小勝德高兩人今天下午尚有比賽四場
