page 2	如何改進兵役的實施
page 3	Ｘ侵入海南島南部英法密商應付步驟我軍在山岳地帶持久作戰英報促英法美勿置身事外
page 3	英法兩國正交換意見中
page 3	顧毓琇談游擊區教育在淪陷的十三省中教育機構逐漸建立
page 3	豫南我軍告捷潢川等縣相繼克復Ｘ兵死傷達七十萬
page 3	注視日本史特萊波齊發表偉論
page 3	海南島問題本報渝版社評
page 3	Ｘ機降落鄂中機師六人乘船圖逃經我守軍尾追擊斃
page 3	梁寒操任行營政治部主任
page 3	冀中Ｘ軍續由獻縣南犯
page 3	漢法租界發生新糾紛Ｘ揚言再度封鎖
page 3	行政院會議表彰湘耆紳鄒炳蔚改組察哈爾省政府
page 3	漢奸不易為傅逆筱庵被監視
page 3	黃河災區日廣皖北災情慘重振委會撥款救濟
page 3	美人計Ｘ派女尼赴印勸誘甘地袒日
page 3	滬毒販三人被人開槍擊斃
page 3	新運週年紀念漢奸當眾展覽
page 4	英國眾議院熱烈討論華事關心中緬交通問題
page 4	墨索里尼將宣布對法要求自然的欲望無止境英法對弗僅原則上承認
page 4	赫爾拒絕召開國際裁軍會議按目前局勢不宜出此巴相建議增國防空軍
page 4	西政府稱抗戰到底
page 4	菲明大諾島安插猶太難民移殖後成為菲島公民奎松致函艾維安委會
page 4	尼加拉瓜撞車慘劇客車機車相撞受傷者被焚斃
page 4	美海軍演習氣勢雄壯機艦分佈費時達一週參加人員共計有六萬
page 4	巴勒士丁會議猶人發表宣言不欲治阿人亦不受治希望阿猶能澈底瞭解
page 4	我國科學家顏敦儉英不列顛博物院邀請作研究工作
page 4	直布羅陀總督抵摩洛哥
page 4	法致日照會全文駁斥所謂東亞新秩序現行條約絕不容變更
page 4	齊亞諾二十五日赴波
page 4	英國出口貿易重要性與國防相等孟哲斯特商會會長宣言
page 4	法向美訂購輕轟炸機格林馬丁式百餘架
page 4	德國巨艦俾士麥號下水希特勒作簡短之演說重建海軍保德國安全
page 4	巴爾幹各國將開會議延長巴爾幹協約檢討與鄰邦關係
page 4	行刺拉資犯格林斯班
page 4	Ｘ軍與歐局呼應
page 5	抗戰軍興後趕築西南西北鐵路交部先擬完成五大幹線貫通西南西北且有國際通道三處
page 5	無聊舉動Ｘ艦砲擊唐家灣
page 5	湘黔鐵路株湘一段
page 5	擬完成西南鐵路網
page 5	然後再建西北各路
page 5	澳門人口每日出入萬餘人
page 5	西南行營限制發電
page 5	九江Ｘ兵出擾南順我別働隊襲佛山巷戰二時斃Ｘ甚衆
page 5	警廳長昨召銀業界談商澳銀毫風潮解決各代表贊成新舊銀毫一律通用銀幣換港幣出入貼水相差甚鉅
page 5	鶴山沙坪慘炸後死傷共達一百七十餘人
page 5	雜話曲江下
page 6	我國土產輸出仍集中本港出口駐港貿易委會負責人詳談目前我茶鎢桐油出口情形
page 6	港年宵市場暢旺除夕元旦人日爆竹不禁食水巴士纜車利便市民
page 6	東華三院昨選出新總理廿七人周兆伍報告中醫存廢問題
page 6	農曆新年航署辦公時間十九全日休息二十廿一辦公
page 6	托特闡明衛生當局防範肺病步驟分三點答譚雅士質問昨日舉行衛生局會議
page 7	菲律賓埠際足球隊昨晨已乘輪抵港一行十六人隊員中多數為大學生港代表隊今日再戰港聯隊
page 7	記者公會主辦排球義賽十八日開始舉行香港中國新聞記者公會
page 8	外匯牌價荷略漲其餘匯價仍不動英匯略趨緊美匯依然靜寂申匯市況先略緊後稍淡靜
page 8	本港股票市昨日仍極沉寂全日成交不過三萬餘元
page 8	八九金市仍乏生氣價較前漲二仙二五
page 8	米市回鬆
page 8	英金續跌英銀近落遠漲
