page 2	社評法幣匯價變動感言
page 3	湘北我軍再取攻勢羊樓司附近激戰中
page 3	仍照原定政策維持法幣基礎外匯變動不影響整個經濟財部發言人之談話
page 3	漢糾紛解決日方稱法當局屈服已向偽方表示道歉
page 3	廣州慘劇Ｘ軍屠殺市民被害者百餘眾
page 3	桂郵政總局將由南寧遷桂林
page 3	華北Ｘ軍強迫移民關外東北偽組織徵積蓄稅人民傾家蕩產者極多
page 3	日本經濟枯竭續
page 3	喬淨植在綏領導民眾奮勇殺Ｘ殉職
page 3	滬法租界又被搜查同胞三人被捕
page 3	以上第二版社評
page 3	抗戰兩週紀念旅德僑胞宣言聲討汪逆背叛黨國對於漢奸不應姑息
page 3	美艦隊司令新舊交代哈特即將視事
page 3	消息報卓論我愈戰愈強福公司經理在英演說謂新中國積極完成中
page 3	颶風又將襲滬海關懸出警告信號
page 3	蘇聯強硬對日退回日抗議並表示拒絕考慮
page 3	毛彥文抵桂視察慈幼院院務
page 3	重慶各報下月復刊聯合版現照常發行
page 3	重慶與東京這裏充滿着樂觀生氣那裏遍處是厭戰墮落外報主筆之印象
page 3	我正規軍開抵滬郊東戰場戰事猛烈進行Ｘ艦運傷兵屍灰返國
page 4	有田克萊琪昨日二次會談雙方意見仍難接近預定明日繼續舉行
page 4	對德國野心波提新警告但澤決不容侵佔英波仍繼續談話
page 4	本屆國會期中中立法修正無望羅斯福決定中止努力議員主廢止美日商約
page 4	黑海氾濫村落盡成澤國溺斃四十餘人
page 4	弗朗哥傳將赴義報聘
page 4	貝奈斯由美抵英將轉往莫斯科
page 4	南泰羅爾事件德義相持不下特里斯脫港問題傳已獲妥協辦法
page 4	國空軍再度飛往法國對長征波蘭一舉航空部在考慮中
page 4	莫斯科談話報告英內閣討論中將再向西慈發新訓令
page 4	歐洲間諜戰英美法交換情報密切合作反間諜
page 4	對外貿易不振Ｘ作最後掙扎架床疊屋擬另設貿易省
page 4	柏林羅馬市長被邀赴日
page 4	國聯同志會第二十三屆年會改在日內瓦舉行
page 4	傳保總理將聘英法
page 4	美國將為南美國家造艦畢德門起草之原案參院週杪可望通過
page 4	維斯杜拉河上的盧溝橋
page 4	日方之所謂進步
page 4	蘇聯退回抗議
page 4	所望於美國
page 4	起火日輪沉沒海中溺斃船員一人餘人均皆獲救
page 5	我生力軍出動反攻江門連克要地狗山斃Ｘ甚眾俘Ｘ軍官二員Ｘ艦游攻中會沿海亂轟民房
page 5	香翰屏加強游擊隊力量指導守動學三原則鄧曇熊略視察防務
page 5	莞城夜襲記下
page 5	派員視察沿海防務
page 5	鄉民奮起助軍殺Ｘ
page 5	粵省務會組公路工程視察組設全省四路督催區
page 5	桂林行營槍決逃員江有發韋世賢二人
page 5	合浦舉辦暑訓
page 6	商會籌賑會發起八一三獻金運動定期組織委會負責辦理林培生認獻二千元首倡
page 6	海外惠僑捐資廿萬闢東江墾殖區黃伯才返國主持昨抵港將回鄉視察懇區即實現
page 6	菲律濱播送音樂下午六時後可接收
page 6	女子公寓今晚在利舞台演出
page 6	國民政府商標註冊王蘊玉會計師代辦
page 6	庚款留英考試定期在港舉行嶺大學生劉鈐等獲獎金受免費獎學金者十五名
page 6	滑稽女探皇后平安今日起映
page 6	漫畫木刻預展會今明兩日堅道廿號遴選蘇聯藝展出品
page 6	春睡畫展各界要求延期一日不收門券歡迎參觀
page 6	九龍青年會夏令兒童會救濟貧苦失學兒童
page 7	香港足球總會定廿四召開會議開始選舉本屆秘書及各項小組委員田立發對碩友遊歷頗關懷
page 7	域多利游泳會取消港滬埠際賽
page 7	游水之意外及救生
page 7	華人游泳會帆布艇賽定三十日舉行
page 7	德權鼎小球賽半島慘敗同義淨勝五球
page 7	拳壇風雲錄喬路易九月出戰巴士達諾瓦改戰法爾在醞釀中
page 7	赫赫社乒乓勝負各參半
page 7	排球義演日期有更改
page 7	東南西北
page 7	希墨林再門奴索爾
page 7	申暹匯牌價再漲其餘滙價復趨縮英美匯市況初趨緊後回穩申匯市略淡銀行仍多拋出
page 7	八九金續趨堅挺買戶多價格稍漲
page 7	股票市淡且靜買戶既少給價又低廉半日成交不及十萬元
page 7	金價微跌銀價不動
