page 2	日本經濟的窘狀
page 3	南路我軍續克據點欽縣殘日猶圖掙扎鄂西我軍進擊迫近宜昌城郊
page 3	傳美教士全家在滇被盜遇害美領館派員赴霑益調查
page 3	由滬來港者人數增多免受移民律限制
page 3	魏爾德在夢鄉受人豢養濫發謬論上海豈能隨意改變
page 3	今日中山先生誕辰全國各地同申慶祝
page 3	滬法租界法院成停頓狀態開庭竟無人到情形淒涼律師深明大義拒不出庭
page 3	清華同學會招待美大使
page 3	滬綁匪一批解法院審訊
page 3	戴院長抵印
page 3	一個打擊汪設中央銀行議遭日本軍事當局反對
page 3	泰越糾紛繼續不斷發生
page 3	美撤僑輪一艘由日駛夏威夷一艘抵滬今晨北上
page 3	三角國防計劃下日對越加緊壓迫傳月底將迫簽新商約再進一步攫奪甘蘭灣
page 3	興集徵募寒衣
page 3	張部長赴豫作三數日視察 
page 3	歐戰特約通訊大時代的巴黎二
page 3	合眾社記者滇緬路視察記全路運輸仍暢通無阻景物佳美使身心舒適
page 4	蘇外長將抵德里賓特羅甫親至但澤迎候柏林方面殷切期待
page 4	羅國地震範圍廣闊莫斯科等地亦波動預料地震仍將繼續發生
page 4	畢德門氏逝世中美一致惋惜蔣委長電胡大使代表弔唁羅斯福總統特電慰畢夫人
page 4	英國下半旗追悼張伯倫各報多以殉道者目之政治友敵均撰文稱頌
page 4	英機飛炸蘇德會談地點以表示空軍實力雄厚
page 4	日本皇后平安抵英
page 4	紐約中國日報備受各方獎勵
page 4	非洲屬地紊亂法將謀取對策傳不日召開殖民地會議自由法軍佔領嘉本首都
page 4	拉佛爾僕僕征塵由巴黎返維希曾與戈林商經濟合作談判尚未到最後階段
page 4	日本慶祝開國紀念
page 4	國父誕辰
page 4	德日的訴願
page 4	荷印的汽油資源與日本二
page 4	澳洲水雷案已證明為德艦所放
page 4	義軍大批增援前線對希臘將採新攻勢
page 5	收復邕寧升旗典禮民眾數千隆重舉行張發奎鄧龍光入城受歡迎桂臨參會四次大會討論善後
page 5	越澳正式通航華連利輪即抵澳載有大量白米雞蛋轉港
page 5	桂防空節表演降落傘
page 5	江會我軍夜襲新魁滘
page 5	發國難財者鑑桂某工廠職員利用公款營私事機不密夫婦四人服毒自殺
page 5	陳驥整頓挺進縱隊實行經濟游擊戰
page 5	浙邊移民赴閩墾植八項辦法正磋商中
page 5	韶關簡訊
page 5	刺蟻光炎案泰大理院宣判仍照高庭原判執行兩兇手監禁十八年
page 5	西康日記二○四第九編九龍木裏途中
page 5	滇黔川陝豫鄂六省考察之感想論華僑投資建國之必要
page 6	念日國父誕辰紀念本港各界聯合紀念大會晨九時在娛樂戲院舉行
page 6	疏散各國婦女港府已作準備軍人妻子及自願疏散者填寫表格呈報管理當局
page 6	美籍華僑準備遵令返美紛紛辦理手續定購船位四邑交通阻梗頗受影響
page 6	南僑慰勞團代表張百基由渝抵港曾蒙委座召見垂詢觀感並囑詳擬計劃開發經濟
page 6	和平紀念日未舉行官式紀念
page 6	胡蝶女士謠傳在滬難產實則安居本港
page 6	英警目柏架返港談日本糧食受統制
page 6	金陵舞廳昨晚義舞郭振成捐一百元
page 6	中文小學實行兩部制度適應當前環境限期試辦事前須呈請教育司核准
page 6	大學聯誼會昨舉行代表大會每校選一人組改選委會特請美術專家設計會徽
page 6	女童軍會定期舉行年會
page 6	澳門馬票○四三四六號頭票在港售出
page 6	出境犯
page 6	對英獻金
page 6	估價官署
page 6	化裝品
page 6	前日晨日機三架轟炸鯊魚涌客貨沙灘上計共落彈五枚各客商趕速搬運貨物
page 6	檀香山飛剪昨日抵港載來美郵代表協助疏散美僑
page 6	有組織的乞丐
page 7	軍聯隊心餘力絀港聯輕取三球馮景祥鍾勇森演出八面玲瓏記者對球證一比一和平解決
page 7	球藝概論
page 7	前奏曲
page 7	本年九個月內國產外銷概況出口總值逾十四萬萬元各方需求增加價格飛漲
page 7	上海足球現狀東華領袖群倫法商一蹶不振屈居殿軍
