page 1	社評新行政院組成
page 2	魯境戰事南移徐州緊張大汶口鉅野等地激戰中豫中國軍退出許昌臨穎禹縣承德近郊一度沉寂大戰復起
page 2	進出口貿易新辦法霍寶樹昨提出報告說明何種案件適用新結匯辦法何種辦法繼續有效或應行取消
page 2	自力更生的重建資本鄉土復員論之六上篇
page 2	外匯傳將掛高力求接近黑市上海市場漲風又起
page 2	中澳協定明天實施
page 2	青年黨拒絕入閣國民黨中央商對策雷震說問題日內解決不了失家驊仍不願就教育部長
page 2	上海募特捐本月十日前呈報認繳數額
page 2	有什麽秘密立委想要改善待遇昨晨開會不許旁聽記者認為違法提出抗議
page 2	司徒雷登訪王世杰
page 2	南京許多野狗將被集體處死
page 2	布列特要去日本
page 2	監委五日集會七日下午互選正副院長國民黨推于右任長監院
page 2	九龍城事件還是沒解決時昭　答記者問
page 2	贛江水退
page 2	約大學生保衛學校抵抗美國人及教會的壓力一致反對解散學校的陰謀
page 2	學生畫的漫畫滬市府拿來展覽邀許多機關首長去參觀
page 2	台暴風警報昨宣布解除
page 2	高雄地價高漲因為那裏可能成自由港
page 2	舊恨新仇何時了斜陽芳草餘哀武大紀念六一死難同學北大鳴鍾為被殺害的人致哀
page 2	反對水電任意加價穗市參駐會派代表調查參議員決定籌款修建會址
page 2	日本座談會交大昨舉行
page 2	堀內干城之後又來了馬爾丁
page 2	黃旭初抵京
page 2	副總指揮居然被俘事情發生在閩粵邊境
page 2	反對扶植日本政府說也在注意
page 2	萊普漢明天離舊金山史迪爾曼代表團一起來華代表團班底組成名單宣布
page 2	廣州特庭仍苦無屋沒錢租房成立不了庭長符世蘭說他很着急
page 2	獎券已開彩房屋未落成
page 2	穗幼童常被拐騙警察局頗感棘手詹朝陽的侄孫也被拐走拐匪兩名落網小孩在港
page 3	北韓與南韓各走各的路分別加緊籌備成立政府北韓宣布將舉行民主選舉霍奇函南韓議會指示政策
page 3	三國堅持特港還義再促蘇聯表示態度
page 3	訪僑記峨嵋軍艦的南洋航行
page 3	英蘇貿易問題英欲與蘇商討曾建議派代表團赴蘇
page 3	日警將增兩萬政府擬妥法案即呈國會
page 3	西德前途決定六國會議閉幕
page 3	美一共黨領袖被捕並將流放
page 3	美國會度暑期十九日起休會
page 3	遠東經濟會議尼赫魯致開幕詞
page 3	美軍費增增減減眾院撥款委會略予削減批准數目六十五億美元
page 3	許曼內閣風雨飄搖議會剛通過經濟計劃信任案政府面臨另一教育補助難題
page 3	英貸法千萬鎊協助採購英鎊區貨物
page 3	阿猶均已同意停戰猶人又指阿軍不守諾言
page 3	英廢死刑之議上院即可投票決定
page 3	杜魯門赴各地演講鐵路工會要阻礙他
page 3	長江中游的人與水戰
page 3	暹越邊境四省鑾披汶不爭了據說並非為求法承認
page 3	喀斯貝里八項諾言宣布新政府的施政計劃
page 3	暹王被邀返國年底加冕登位
page 3	五層樓跌下未死不算驚險五千尺跌下還生才是奇蹟
page 3	美水災區擴大杜魯門急動員搶救疏散哥河下流居民
page 3	暹僑教問題據說日內可有答覆
page 3	星洲華工流血二百樹膠工人拒被解雇與警察衝突死傷十餘人
page 3	菲總統再表示親善說要否決勞工菲化法案
page 3	我赴菲兩戰艦當局竟要檢查
page 4	佔領時期債務法例立法局昨首讀通過代理財政司奇勒詳細說明理由
page 4	鑒於英國的戰後重負對於英國贈予本港表示滿意立法局昨通過蘭士度提案
page 4	戰時供應局的欠款港府聲明清償情形
page 4	海事處布告敷設海底電線
page 4	中華廠商會昨開聯席會議
page 4	鄭谷京行兇時據說有些酒意昨審時醫生出庭證供
page 4	街童會五日賣花
page 4	華商總會選票兩天發出一半高院今日審理選舉爭執趙耀華昨拒絕提名
page 4	火車票有人炒賣勸吃金山橙播音已絕響
page 4	廖亞利孖打庭上宣布徐繼莊見過宣鐵吾談及中國自由黨事滬高級警官羅靜芳昨出庭作證
page 4	出門吹哨子家中被賊竊
page 4	反對扶植日本大會組織草案昨已擬定召開大會須待華民政司批准
page 4	下體藏金男女昨在法庭認罪兩女童交兒童法院
page 4	新機動三輪車昨在市街試駛成績尚完滿但速率不足
page 4	華界白石洲不安靜駐軍被襲一死三傷
page 5	英鎊貶值謠傳下黃金美匯均盤硬商場傳貶值百分之廿五確否待證
page 5	緬甸禁金出口金市依然平穩
page 5	指定銀行建議改善結匯證使用辦法不分區域准許自由通用驗貨部份應歸海關負責
page 5	四月份星馬椰油以香港購買最多總計一千五百餘噸值百六十餘萬叻幣
page 5	僑匯小組會議研究執行技術
page 5	香港貨在仰光仰光特約通訊
page 5	南京銀根緊金價隨著降
page 5	黃金市場晨靜午挺
page 5	申省匯退潮股票買賣旺貢紙昨陷盤局匯豐銀行再升
page 5	繳過結匯押金的仍照舊辦法辦理否則按新結匯辦法辦理
page 5	政府當局正計劃改革幣制但否認鑄造銀元新聞局長董顯光如是說
page 5	穗市銀根仍鬆匯率多在平算以上國幣黃金價稍回升
page 5	以英鎊結算的英日貿易香港除外因為英鎊由港流出
page 5	日貨推銷種類繁滿足本港需要稀膠帶玻璃銷路極差鋼條星鐵沒有盤口
page 5	廣州市五月份票據交換統計總額四千三百萬億差額二千一百萬億
page 5	緬禁魷魚入口民匯漲至五盾仰光布價一致上升
page 5	東北流通券行使兌換辦法財政部五月底公布施行
page 5	滬米回紗布上揚穗出口物資再漲
page 5	渝桐油豬鬃價格均挺秀桐油增百分之三十豬鬃增百分之十二
page 5	中央銀行派林維英去穗指導實施結匯事宜並帶結匯證書南來
page 6	團體綱球賽中華會大捷今天續有甲組五場
page 6	港體協會修章芻議
page 6	光華大學今天校慶
page 6	我世運籃球隊月中赴滬比賽對手已約定仁餘汕隊
page 6	我世運足球隊擬在吧城招兵
page 6	公開籃球賽青年黑貓同奏凱記者勝南華西報
page 6	美國網球巨星上
page 6	教育部發表全國聾啞學校統計
page 6	夏令杯球賽足隊勝班隊
page 6	東北臨大校扯已在平郊覓定
page 6	中大香港同學歡迎吳康
page 6	小球戰訊
page 6	瀋陽古物分批內運明清檔案保存景山
page 6	中央大學分地招考
page 6	旅港九中校友籌組校友會
page 7	瓊島樂東宣告解圍縣長馳援戰死城下卸任縣長被擄迄無消
page 7	出殯途中遇劫棺木亦被綁票紫金一場奇特的搶案
page 7	開平首任議長辭職為演戲開賭事曾受抨擊在議會中被人一攻就垮
page 7	縣長教英文秘書教國文一校僅有教員三人瓊島昌江中學如此
page 7	風聲鶴唳悲劇一場以為共軍來襲兩個稅吏摔傷
page 7	啞女元言有愛生兒被換死嬰怪劇一幕哄動東莞
page 7	控告參議員法院不起訴
page 7	英王華誕日澳督將來港
page 7	曲江警察縫制服發行獎券來籌款
page 7	哥哥賣身錢自衛隊攔路要去
page 7	龍雲夫人發表畫面談話極力辯明其夫不是鉅富說龍雲財產不過戰前百萬耳為人省吃儉用公私都很清白
page 7	一種別開生面的儀式台北市為斃死動物招魂紀念碑前小學生代表誦讀弔辭動物園裏舉行愛護動物運動週
page 7	開平麻瘋漢橫行艇家們組織了抗姦會赤坎婦女倡組防瘋團
