page 2	社評日本今後的動向
page 3	荷印繼續對日打擊宣佈廢除石油協定英美荷當局商討制日步驟
page 3	上海謠言仍熾外匯市場波動未已日方宣布禁八種貨物出口
page 3	日本輪船暫准駛美
page 3	日本如此報復宣布凍結英美貿易
page 3	麥克亞述任遠東軍司令美菲一致擁護認麥氏為最理想人選諾克斯氏又發表激昂演說
page 3	英帝國各地對存我資金用意與美國相同係徇我政府之請
page 3	印度凍結日本資金
page 3	緬甸積極警戒嚴防日本侵略泰晤士報論緬甸形勢
page 3	日軍侵入南圻登陸者已達四萬人
page 4	保軍集結土邊德土關係突見緊張蘇德戰事無顯著發展
page 4	西班牙忘恩負義英不再予以接濟
page 4	英戰時生產眾院開始舉行辯論邱吉爾氏出席致辭
page 4	余漢謀氏談話軍民糧食獲解決辦法我軍正準備大舉反攻
page 4	我神鷹隊出動擊落敵機多架壁山上空曾展開激戰領袖撥款救䘏蓉被炸災黎
page 4	宜昌東北敵蠢動經我軍分途阻擊豫贛湘殘敵竄犯受創
page 4	華南戰場的今昔
page 4	倫敦中國銀行歡迎願大使邀英名流作陪
page 4	歐洲各國物價飛漲衣服尤貴
page 4	秘魯與赤道國戰事斷續進行停戰談判仍在舉行中
page 4	艾登外長聲明英決作戰到底非摧毀希特勒決無和平
page 4	泰總理兼任海陸空軍元帥泰代表團離星返國盛讚星洲防衛效能
page 4	各地經濟調查完畢平準委會開始工作
page 4	高爾將軍抵大馬色商組新政府
page 4	蓋達囈語
page 4	德義使領離渝使館正式封閉
page 4	日在津拉夫運赴關外築工事
page 4	美眾院通過擴充軍備法案總數達八十萬萬元將再送參議院審核
page 4	緬甸官員蒞華觀光
page 4	英芬絕交
page 5	田賦改徵實物後粵糧食可獲解決預計全省徵穀可達六百萬擔調節運輸問題辦法正研究中
page 5	駐韶憲兵團破獲盜用軍車營私案主犯為桂林江南統監部科長案情重大將由軍法審判
page 5	中國教育大勢二
page 5	滬對外貿易出超創造新紀錄上半年共達六萬萬餘元滬美貿易尤有驚人發展
page 5	中茶公司在桂設儲運處
page 5	諸暨血債民眾死傷千五百人民房被毀近一萬間財物損失逾二千萬
page 5	粵參員陳明淑覆車殞命陸宗琪亦受重傷
page 5	敵方霸佔滬甬航運
page 5	桂省榮軍抵韶慰勞傷愈同袍
page 5	贛省製造淺水木船第一期擬造五十艘
page 5	桂定下月起撤銷禁酒令
page 6	港府昨晚廣播宣布不凍結港華人資金凍結日資三辦法已公布
page 6	港督府加強防衛力量加派衝鋒隊八人
page 6	港滬間商務勢有停頓之虞渣甸太古照常航行港滬總統輪則駛滬與否未定
page 6	美名記者福爾曼觀察日不敢再南進無膽向英美荷聯軍挑釁但太平洋大戰恐難避免
page 6	港澳輪班次日內不受限制史美昨日談話
page 6	糶米會繼續努力進行平抑米價籌辦赤米廉價售與居民售賣白飯籌備漸具體化
page 6	蔣委員長親題共通校訓僑委會已頒發到港倡禮義廉恥以振校風並附訓令勗勉全國學生
page 6	教師討論會討論演講活躍
page 6	海外部舉辦時事廣播
page 6	馬思聰夫婦昨晨返港將舉行演奏會
page 6	大華盛會南開校友聚餐
page 6	街市攤位租值調整衛生局昨開會
page 6	高福申義舉千元購一碗飯
page 6	港府下月四日起取銷繳保入境辦法澳入境事務局下月撤銷對請領證者將縝密調查
page 6	素食售花共得七千餘元
page 7	域多利游泳會遴選義泳代表克錢臣安特臣等為種子隊員華會將予西男隊以嚴重威脅
page 7	孤島體育談
page 7	小球聯會選出征澳代表
page 7	第二次全澳試賽星東戰敗記四比二星東會以二比一占先吳祺祥在下半時打傷受影響
page 7	勵進團對港大展期舉行
page 7	夏令籃球戰團結勝育賢
page 7	居聯水藝會項目公布陳策蒞場主禮
page 7	韶關總裁杯賽
page 7	鐵城杯籃球賽星島逢戰南華
page 7	申匯市況昨日仍淡英匯沉寂美元下降
page 7	國幣市況依然不振
page 7	四四金市慘淡
page 7	股票市況逆轉昨持票人多願削價拋出成交總值僅得八千餘元
