page 1	憲政與政黨
page 2	反對討論中國問題我不參加三國商談官方發表聲明重申立場
page 2	參駐會通過議案請政府表示立場王世杰報告政府態度
page 2	美外交政策王世傑的看法
page 2	論政府改組後的經濟政策
page 2	日本賠償問題
page 2	民盟舉行中常會商討時局並將發表文件
page 2	立法院開會情形甘乃光應邀出席報告主張參加外長會之提案撤銷
page 2	蘇京在開會外交部忙碌有關部門徹夜辦公
page 2	英人的觀感認為莫洛托夫鑄成大錯已使國際調停發生困難
page 2	張君勱發表意見主張我派代表參加討論
page 2	各地表示
page 2	三中全會今開幕訓政結束前之重要會議
page 2	台灣各地漸趨平靖葛敬恩飛京代陳儀述職
page 2	自費留學按舊匯率立法院通過建議案
page 2	艾格頓等赴京商討黃河復堤救濟問題
page 2	呼籲保障人權民社黨發表聲明
page 2	魯戰重心移泰安附近長春外圍又醞釀大戰
page 2	冀中共軍圖再攻滿城
page 2	赴日記者團改今日返國
page 2	柯克昨由京返青島曾商海軍如何應付青戰局
page 2	接收大連瀋陽連日準備
page 2	東北兵役會議今起在瀋舉行
page 2	李大明等返滬
page 3	討論肅清納粹問題英蘇外長續有激辯蘇允小國參加協商和約
page 3	美菲基地協定昨在菲京簽字
page 3	莫斯科會議第四日
page 3	菲人不滿麥克納特
page 3	朝鮮美蘇混合委會最近可能恢復工作美蘇兩軍司令交換函件
page 3	人犯移墾紀實
page 3	拆缷日艦美方報告已拆八萬餘噸
page 3	美欲援助韓匈政府官員已在草擬計畫日後或將包括中義在內
page 3	日皇宮一部份將供大眾游覽
page 3	緬甸制憲議會決定四月間成立
page 3	援助希土美國會開始研討美擬配備希軍十萬保護邊疆
page 3	美報界評論杜魯門演說
page 3	貸款援助希土提議將使世界迫近戰爭華萊士謂美國當前遭遇危機
page 3	禁止奧建新的軍事設備英美代表反對法蘇提案
page 3	邱吉爾歡迎美總統新政策
page 3	美參院通過保留預備役兵額理由為世界形勢危殆
page 3	日本賠償問題麥克阿瑟提出折衷方案旨在迅速進行日本復興
page 3	永嘉將設市
page 3	蘇聯議會代表團抵英作親善訪問
page 3	薛篤弼返漢定今赴豫視察合龍工程
page 3	吳縣參會定今成立
page 3	上海縣長易人
page 4	飛機票今日起發售票價調整命令即可送達
page 4	女教師失蹤前後家屬述被綁架經過
page 4	軍用機一架失事墜落北郊機身全燬駕駛員三人已殞命
page 4	浦東揚子兩電廠定購發電機運到
page 4	復旦護權會通過罷課決議
page 4	靜安區最清潔
page 4	社會福利工作會議定本月廿四日開始舉行分難民遣送等七組討論
page 4	結婚日新娘失蹤媒人願返還茶禮兩造和解歡然而散
page 4	中英足球友誼賽東華昨克英海軍英海軍球藝水準甚高二比一上場各中一球
page 4	筆墨業職工要求差額金
page 4	火油公司職工要求改善待遇
page 4	戲報誨淫社局呈報請檢查
