page 2	英義談話的前瞻
page 3	晉西連捷克復蒲縣吉縣大寧鄉寧均告收復湘贛邊Ｘ圖打通粵漢路
page 3	恐怖的武漢搶劫案不斷發生日方巳窮於應付
page 3	吳鼎昌日內離渝赴滇
page 3	汪兆銘主和瓊各界憤慨僑胞亦一致聲討
page 3	國際步驟如一致蘇聯可出兵援華孫院長昨對記者談話
page 3	新牆河北岸十二月二十日元禮寄自長沙
page 3	救濟難民美小麥運抵滬
page 3	西南經建會不久即可成立
page 3	地政學會年會定四月間舉行
page 3	贛動員婦女成立戰時民訓婦女隊
page 3	Ｘ在浦東徵工強迫築軍用路
page 3	許世英抵渝昨往謁孔院長
page 3	詹森抵英沿途一帆風順
page 3	怡和拖船在長江中遇盜
page 3	冀東區內我游擊隊活動
page 3	行政院會議經部常次何廉辭職石友三任察省主席
page 3	Ｘ機飛渝轟炸在郊外投彈多枚
page 3	遠東問題英美採平行政策支持我幣制反對破壞郭大使訪哈里法克斯
page 4	英揆啟程赴義今日晤法當局會談秩序業經擬定義方準備熱烈歡迎
page 4	調處西戰問題
page 4	西戰雙方互有進展國聯調查西叛軍濫炸英要求釋放被扣領事
page 4	英鋼鐵大王王冠易主諾曼多一頭銜
page 4	法外長將赴日內瓦會晤英外相
page 4	印度聯邦憲法甘地起草業已完竣政界認有政治意義
page 4	羅斯福將咨國會撥巨欵添造飛機陸軍第一線逾五千架航空顧問會重視設計
page 4	抗戰的威海衛一個概括的報告
page 4	赫爾警告侵略國西半球聯合捍衛領土汎美會成就共有三項
page 4	日對美牒有田將在國會作問接之答覆
page 4	法國南部義僑集會反對國內割土要求
page 4	英法兩大使謁美總統拒絕宣佈所商問題等候赫爾返京晤談
page 4	諾曼沙赫特會商國際金融問題
page 4	撲朔迷離之德義密約英每日捷報刊載人民報認為捏造
page 4	澳洲造機兼顧紐西蘭新加坡
page 4	Ｘ新內閣次官十二人辭職警視總監被更換
page 4	一月上旬日對外貿易入超一千三百餘萬
page 4	捷匈邊界設中立地區捷軍撤退並交換俘虜捷波邊界又發生糾紛
page 4	法拒絕修改日敘商約敘利亞拒日商入境
page 4	澳國防部長飛星加坡視察新海軍根據地
page 4	德美衝突可能性增加德國詞鋒轉向英美欲在南美伸張勢力
page 4	美京的外交活動
page 4	西南經濟建設
page 4	抗戰的模範
page 5	西南國際大動脈滇緬敘昆兩路開工龍主席親自主持破土禮兩路預定兩年半可完成
page 5	金山輪今晨八時晉省葡輪明日開航
page 5	Ｘ炸新會在城東投彈七枚
page 5	Ｘ機慘炸石岐電燈局傷二婦人公路車亦遭Ｘ掃射
page 5	莫希德解桂林蔣由軍事法庭訊辦
page 5	粵教廳令各校禁擅停課飭應遷移安全地區
page 5	廣州Ｘ軍鬧糧慌濫發軍用票強迫行使奪我糧食
page 5	戰時粵糧問題
page 5	Ｘ騎再度進犯陳村沙灣罹浩刦富貴樓中砲死十餘人各墟民房被燒燬頗慘
page 5	瓊崖軍校招生
page 5	新會米價飛漲
page 6	出席五中全會港中委動身赴渝推定數人留港協賑難民中央共撥賑欵四十萬元
page 6	當局對增稅問題決審慎施行新稅決避免增加貧民負擔委員會今日舉行二次會議
page 6	印救護團長雅道返渝團員將赴陝工作
page 6	港九年來捕鼠運動共百五十萬頭鼠疫亦告絕跡
page 6	廣州到香港外國記者約翰遜昨在扶輪會演講
page 6	防空當局辦防空訓練班定十三日開始
page 6	大英銀行歸併渣打銀行
page 6	新界難民遷移擬十四日前結束後備難民營擇定文錦渡錦田營徵求椰壳五千個
page 6	各辦賑聯會會議補助各團體賑款决定交調查組審核辦理
page 7	聞名世界短跑怪傑歐文思財運亨通轉入職業選手後已獲得十三萬美金
page 7	今晚女子籃球賽培道對抗西南華僑戰港大保羅遇南華
page 7	英屬南菲洲棒球白熱化
page 7	抗戰期間小學體育的重要性
page 7	勃琪麥谷推行網球有功榮獲南國勳章
page 7	學界體育會發起一元還債運動
page 7	上海國際救濟會舉辦足球義賽李惠堂有意赴滬參加
page 7	三校排球義賽籌得一千九百餘元日前嶺南保羅培英
page 7	公開越野跑
page 7	美菲荷瑞匯價稍縮英匯沉寂美匯微緊申匯市況微緊但靜
page 7	八九金市略形堅挺較前漲一毛二仙半
page 7	股票市仍屬沉寂成交數量依然不多
page 7	上海外匯市況仍靜但穩
page 7	上海海關發表去年全國貿易各貨進出口增減情形
