page 1	今日的華僑問題
page 2	翁文灝李惟果昨視事新閣大部名單即發表雷震在滬曾與民青年兩黨洽商王雲五任財政部長似成定局
page 2	承德近郊大戰揭幕增援國軍越古北口推進魯中泰安豫南確山激戰
page 2	四日船違法捕魚我海軍捉到一艘
page 2	反對美國扶植日本滬大學生展開宣傳上海警局成立特種刑事處
page 2	台兩堤完工民眾出力政府供料
page 2	浙絲業復蘇長蘆鹽增產
page 2	各地救濟院補助費社會部已分別匯發廣東及廣州市各得廿八億元
page 2	美駐大連領事昨乘蘇輪赴任
page 2	東北國代請願要求確保長春
page 2	萊普漢定期來華建設視察組專家多人同行
page 2	倫敦通信和平夢
page 2	行局內匯率明天調整
page 2	故宮寶藏明起在京展覽
page 2	英大使夫婦離蓉抵渝
page 2	為便利必要時運兵廣韶西路開工興築中央撥款二千五百億元粵漢北段茶庵嶺險遭破壞
page 2	廣九運費調整頭等減價二三等加價
page 2	陳立夫後日首途飛美
page 2	俞鴻鈞抵滬訪晤張嘉璈
page 2	聯教專家行程
page 2	金女大協大定七月招生
page 2	布列特返京
page 2	日本虐待華工外部訓令調查
page 2	拼卻自由給我飯碗重慶扒掱一百五十多人集合警局門前要求入獄
page 2	十四屆世運會七月廿九開幕
page 2	世運足球隊在巴城大捷五比一勝安汶隊
page 2	張群在蓉在王陵基宴席上致詞強調川康渝必須團結
page 2	廣州綏署將成立轄區五省及一市待政院組成後即可明令公布宋子文昨對記者談美援問題
page 2	贛湘贛京公路全線恢復通車
page 2	粵海關緝獲粉絲百餘包
page 2	廣州禁舞問題宋子文說這不過是小事上海如辦得好不妨照辦
page 3	美拒與蘇談判原因安在馬歇爾說蘇聯沒有誠意又說西歐國家將因而懷疑美國眾議員米勒指責政府規避談判
page 3	華萊士斥反共法案這將是對美國人權的宣戰書法案如通過第三黨決不遵守
page 3	法案即使施行美共也不接受福斯特在參院司法會致辭
page 3	黑名單美檢察長提出第二批
page 3	維持和平避免戰爭聯合國不該擯棄蘇聯威爾斯讜論
page 3	當前的農村經濟下
page 3	美國軍火無孔不入又有一批將運伊朗
page 3	霍夫曼謁杜魯門報告援外計畫推行情形
page 3	蘇對東德政策蘇柯洛夫斯基提出諾言保證不會只有一黨存在柏林四國管制會議空氣惡劣
page 3	馬歇爾赴溫哥華
page 3	邱吉爾大罵工黨實行國營計劃完全失敗昂首闊步卻要美國餵食
page 3	魯爾工人怒吼反對起用前納粹工業家五十萬人投票決定罷工
page 3	法閣又起風波許曼要自由開除公務員社共兩黨一致表示反對國會即將舉行信任投票
page 3	米蘭農場工人十萬人大罷工
page 3	波保友好條約雙方開始談判狄米特洛夫抵華沙
page 3	聯合國入會問題國際法庭發表意見
page 3	暹羅政府蠻橫無理華僑學校陷於絕境卅萬華僑兒童無書可讀
page 3	史末資辭職後南非趨向孤立民族黨可能退出聯邦還要把印度人趕出去
page 3	李承晚上台只有靠美國金揚榮在美談話
page 3	強迫猶阿停戰美國支援蘇聯議中英主張採取緩和方式
page 3	以色列成立國軍耶路撤冷舊城猶太軍投降
page 3	拒打領帶歸罪共黨襲擊官邸為了生活
page 3	聯合國調停人柏納杜特抵埃
page 4	反對扶植日本工業六團體昨開籌備會決定在六月十二召集大會
page 4	健康週論文獎譚嘉士昨頒發
page 4	廢鋼鐵禁出口
page 4	租務處的內容兩塊錢只能換來失望
page 4	舊警輪一艘海事處標賣
page 4	偷圖章騙白米判獄七月米店夥伴被控接贓
page 4	庫務司昨發表去年十月財政
page 4	警士捉小販開槍傷路人
page 4	工務局管工被控尅扣司機
page 4	新界赤間發生槍戰兩名華警力敵五人一九二四號警當場殉職一九○七號警計擒三賊
page 4	警察多人搜索青山
page 4	街邊開賭騙女人金戒 
page 4	司機心慌連撞三車
page 4	生果攤藏械彈疑案又一女子無罪省釋
page 4	丈夫無錢孕婦行騙生產之後又偷鄰居法庭判入獄兩星期獄滿出境
page 4	遞煙給肥婆蘇何庚元不認罪
page 4	壯男幼女同居案兩媒人也被控一個媒人說幼女是出於自願
page 4	廣九車站內男子懷械被控自認是中國軍人
page 4	女青年會托兒所下月內可以開幕上次募捐收入四萬餘元
page 5	傳說實行銀本位情勢上決無可能幣制改革醞釀中惟成熟尚早
page 5	第四季觸雷進口商三十二家重獲配額
page 5	自六月一日起五都市發行國庫券發行折扣由各銀行自行決定庫券面額分千萬至十億五種
page 5	棉織業聯營公司運港棉職物品實際賠累頗多旨在獲得進口原料不管有無外銷受主
page 5	財部發言人聲明實施關稅減讓對我利多害少
page 5	復興廣東糖業話今昔二
page 5	穗市銀根鬆匯率多在平算以上
page 5	金市呈疲勢傳菲金被抄六千兩
page 5	一週金市述評價格依然看好
page 5	市價步跌買氣尚盛
page 5	廣州配米議價決定每擔五百二十萬
page 5	輸入原料規定種類
page 5	外匯政策商談中原則決定變更方式尚在研究
page 5	荷印幣制談判已獲初步協定將發行通用之聯邦金幣印尼與尼加幣比率提高
page 5	港府公債抽籤還本
page 5	去年各國存金共三七○憶美元以美蘇增加最多
page 5	港府公布魚鮮價格
page 5	滬米麵回紗布微揚穗物價降哥士的挺汕米價跌食油紗漲
page 5	銀根鬆濫暗息降證券交割用本票
page 6	甲組籃球有惡戰南華嘉山鬥黑貓乙組兩場諒亦有可觀昨戰因雨改期今日看天行事
page 6	滬舉行中體聯運會民立女中雙喜臨門男子總分粵東得初級組首席省立上中榮獲高級總分冠軍
page 6	昨天賽馬冒雨舉行快活谷裏擠滿觀眾騎士變成醬鴨搏得嘻哈大笑末場搖彩首獎三萬七千餘元
page 6	中山大學理工學生要求實習費問題待校方明天答覆以無期罷課作堅持抗議
page 6	本報免費贈送全運成績紀錄
page 6	公開中西羽球賽各組冠軍完全解決前夕由格萊夫人頒獎
page 6	夏令杯小足球賽今天起角逐比賽日程昨編定
page 6	世運代表入營假日集體活動
page 6	傑志足球隊準備南遊
page 6	暹華選手昨返暹羅
page 6	古代文物展覽會卅日起在京舉行
page 6	機械工業夜校發出招生公告
page 6	梁玉傑將舉行義賽
page 6	東北學生甄審竣事三千七百餘人合格
page 6	中國童軍總會改組地方機構將派員赴各省市視察香港理事會短期組成
page 7	九龍工人宿舍劫案疑犯逃到潮陽被捉四千元港幣早被用光了
page 7	嶺東蛙鬥何多潮陽又有一起雙方廝殺了一整天
page 7	中新台赤交界處大衿口一場海戰海盜三十餘人被擊斃登陸艇機動帆船被虜
page 7	與砲樓偕亡河源黃村的共軍十餘人縱火自焚
page 7	葡國革新紀念澳門慶祝一番
page 7	為了吃飯纔請願滬舞潮案公審第一日受審舞女庭上哭哭啼啼旁聽的人也灑同情之淚
page 7	普寧湯蓮鄉長遊街之後被殺
page 7	六億元三隻錶贖出了兩個人
page 7	德鄰工礦學院八步籌備成立
page 7	國大代表携金還鄉過漢口時不幸被竊僅金飾所值即逾四十億
