page 2	日本對鎖天津英租界
page 3	日本封鎖天津租界外王發表重要談話英法協商將取報復手段美甚關切表明反對封鎖
page 3	英人攝影亦被雪困住Ｘ方捕去
page 3	戰事失利遷怒英國
page 3	汪兆銘登台不過一個傀儡政治勢力早已消滅上海大陸報之批評
page 3	鄂臨時參議會對議員名單國民政府明令公布
page 3	蚌埠封鎖Ｘ糧秣缺乏米麥漲價
page 3	全國文協組戰地訪問團定期由渝出發
page 3	印緬友誼值得爭取本報記者滇緬視察記一
page 3	孔院長廣播告全國民眾堅忍抗戰自力更生
page 3	桂省調整農業機構在六縣立區農場
page 3	漢女青年會戰時服務團一隊入桂工作
page 3	中毒傀儡大部已無生望
page 3	湖北各界慶祝鄂豫大捷
page 3	浙海匪首王聖根被捕
page 3	粵中學生下月畢業考試教廳派員監督
page 3	桂參議會聘定顧問三人
page 3	海南島激戰中傳Ｘ國將對湘北作戰
page 3	西藏設壇祝福蔣委員長
page 4	英財相在眾院稱我幣制極鞏固法幣跌價信用未減基金實力業已加強
page 4	德慾壑難填又有新險謀將強佔斯洛伐克斯飛機三架逃波
page 4	德萬噸巡艦又成一艘七月一日下水
page 4	澳陸軍要員抵英考察將作長時期勾留
page 4	從航空工業說到日本空軍力量四純青
page 4	英王偕后抵加拿大邊境大陸遊程即將告終
page 4	波經濟代表團啟程赴英
page 4	敘利亞政潮愈演愈烈由於內閣辭職政制將受影響
page 4	英法波對但澤交雪表宣言並擬向德提建議主修正該市地位
page 4	史德隆抵莫斯科將謁蘇外長莫洛托大蘇報抨擊波海各小國
page 4	西要人多反對加入德義軍盟西軍事團在羅馬討論弗朗哥定九月底訪義
page 4	英美原料交換談判順利史丹萊在眾院報告
page 4	美駐日大使格魯返國與當局商遠東局勢
page 4	國府命令褒揚謝維屏
page 4	英領事法庭開審丁克勒案英大使私寓戒備甚嚴滬反英運動達於頂點
page 4	亡羊補牢
page 4	如何廣播
page 5	瓊崖捷音犯儋縣Ｘ損兵折將洛基中伏被殲約翰一聯隊文昌我軍四咯阻Ｘ進擾
page 5	Ｘ攻四邑不下轉擾中山三九區我軍迎戰Ｘ終不逞
page 5	粵省行籌設重慶衡陽分行
page 5	韓江水漲潮安被淹各專門下水柵
page 5	澄海施行戒嚴
page 5	戰雲籠罩的中山沿海視察記二徐進
page 6	華商總會圖書館繼續辦理昨日會員大會一致通過推出監選員舉新職員
page 6	獻劍領袖七月中旬出發刻正徵求代表自費參加獻劍後隨出發慰勞將士
page 6	盂蘭節日英賑華分會舉辦法事籌欵廣延道侶假座名園舉行印發募捐小冊廣為勸募
page 6	大地影創刊號昨日出版
page 6	港府在北角建築中央貨倉預定在八個月內竣工各官署之貨倉將廢除
page 6	監選員
page 6	養中女學捐製短衣三千一百二十六套
page 6	由港赴澳搭客須有防疫證明澳當局通告各港澳輪由本月十九日起執行
page 6	周雍能接任粵僑務處長
page 6	林西河堂舉行國民公約宣誓
page 6	抗戰影展今日在青年舉行
page 6	撫䘏肋探尹文遺族捐欵者甚為踴躍
page 6	利源街劫案昨再提堂劉文珠將改控罪名
page 6	中國年鏗第四本已出自版
page 6	中國童子軍戰時服務團今日出發赴韶關昨晚舉行授旗禮
page 7	西貢僑胞來論南經隊失敗原因錯排陣線南圻甲再度逞能楚材晉用楊水益徒勞無功
page 7	南圻球藝確屬不凡
page 7	軍師失算怨聲載道
page 7	天生榮照最為出色
page 7	港滬埠際游泳賽本年在滬舉行香港人力財力均感困難能否按時北上尚有問題
page 7	美國一英里賽跑芬斯克壓倒三雄克銀漢慘敗屈居第三名
page 7	英國田徑賽採用起器
page 7	德賽車名愛失事傷重致死
page 7	申匯續漲餘均不動英美匯市況沉寂申匯市況再略淡買賣仍不多
page 7	天津情勢緊張股票更乏生氣我這售外匯間接亦受影響
