page 2	北歐戰局突展開 
page 3	歐戰野火延及北歐德軍突侵佔丹麥挪威亦捲入洪流挪對德宣戰英法急起援助德艦隊出動北海波濤萬丈
page 3	挪京遷往哈馬德軍已在數處登陸沿海挪砲隊抵抗中
page 3	英德空戰德機襲斯卡拍灣結果被擊落兩架 
page 3	德國軍艦結集英潛艇極活躍
page 3	美國頗為震驚注視時局開展
page 3	在德軍發動前挪曾抗議布雷
page 3	火奴魯魯火山爆發田莊與住宅區尚未受到影響
page 3	張伯倫聲明決全力援挪英國海軍已奉命出動與挪威站在同一戰線
page 3	瑞典下令動員加緊防禦布署
page 3	英法援助挪威準備必要軍事措置挪威近海傳已開戰
page 4	桂南日軍亂竄甘墟附近在激戰中
page 4	汪兆銘抵張家口叩見當地日軍當局謝意余漢謀等通電討汪
page 4	日本名士編著反戰小冊暴露日國內黑暗情形在華日兵多受其感動
page 4	孫蔣孔三夫人在渝慰問傷兵蔣夫人向傷兵致辭慰問
page 4	滇省積極造林劃四大林區分類種植各種植物
page 4	英駐東南歐使節開重要會議討論加強對德封鎖
page 4	法現內閣將向兩院要求舉行信任投票
page 4	提高工作效率中央舉行有意義競賽
page 4	新華日報桂林版停止發行
page 4	桂滇電話定今日開放
page 4	桂新縣制下月一日實施
page 4	蘇沿偽滿邊境築防禦工事滬日人已予證實
page 4	朝鮮義勇軍隊部奉命遷渝
page 4	滬美總領洛克哈特繼任 
page 4	法國繼續逮捕共產黨人
page 4	日憲兵隊長在信陽厭戰自殺
page 4	粵省建設廳長由黃元彬繼任行政院例會已通過
page 4	德夫古柏由美返英 
page 4	換湯不換藥滬偽市府日顧問現改稱聯絡官
page 4	歷史奇蹟
page 4	青出於藍
page 4	美六大宗教領袖同情我國抗戰籲請全美牧師擁護對日禁運 
page 4	滬盜案迭出
page 4	關於憲草經過及其內容的說明二
page 4	參政會八次會議決重要案件駐會委員推出廿八人
page 5	廣州日軍受創我空軍襲擊建功投彈四十餘枚毀建築物甚多新會日軍被殲三百餘
page 5	省行積極推進農村貸款貸款區已達五十縣
page 5	粵省煙毒民廳發出佈告限六月底禁絕
page 5	浙東戰局轉趨穩定寧紹秩序復常態
page 5	今年南非日蝕我將派員前往視察
page 5	中電新片東亞之光郭沫若作插曲
page 5	廣東的合作事業
page 5	一廣東合作事業簡史  
page 5	二開展占時經濟建設
page 5	三籌辦機關部隊消費社 
page 5	四設立合作人員訓練班
page 5	五中工會推進工業合作
page 5	京滬線上偽軍反正無錫近郊日軍被痛擊
page 5	毀家紓難南非老僑胞劉浮初赤誠愛國罄其積蓄捐助軍餉
page 5	加入營業均須承保
page 5	鄉民小販無以為生
page 5	營業冷落情景悽慘 
page 5	滬偽中央市場營業慘淡榨取剝削苛刻萬分菜販不願前往批購
page 5	六粵省合作社統計
page 6	本港陸軍幹部今日大規模演習海軍當局昨派軍艦協助假想敵機空襲投下毒彈
page 6	軍艦砲轟香港南岸
page 6	總部公布演習情形
page 6	測驗空襲防毒工作
page 6	港惠間小輪昨日仍照常來往南頭深圳前晚一度虛驚奸宄造謠秩序旋即恢復
page 6	商會積極進行徵求傷兵之友定明日召集各行商會議徵求委會組織大綱擬定
page 6	商會通函 
page 6	徵求標準
page 6	結束日期
page 6	明晚燈火管制市民應及早準備當局希望市民與政府合作空地燃火柴即將處以罰金  
page 6	元培圖書館籌委會函請中華教育文化基金委會撥助港幣十萬元為建築之用
page 6	雞籠環等地高射砲壘已築竣火藥庫十餘座深藏山中本港防禦工事大部完成
page 6	九龍區小學舉行學藝比賽會共分論文書法等五項報名參加學校甚為踴躍
page 6	組織大綱
page 6	姚錦新女士鋼琴獨奏會二十四日晚九時半在半島玫瑰廳舉行
page 6	市政衛生局限制開設熟食小店修正食品則例第五章附例立法局批准後即實行取締
page 6	港惠交通未受影響  
page 6	南頭深圳前夕虛驚
page 7	麗華杯足球決賽華聯戰陣產生十四在愉園香港會場  
page 7	韶關環市跑陳洪彬冠軍
page 7	約瑟潰不成軍雛鳳輕取兩球
page 7	體協會選出卅人迎戰菲中籃球隊
page 7	歐戰範圍恐將擴大港外匯市況驟緊申匯市況昨日略見好轉
page 7	八九金市驟趨活躍人心趨好價格大漲
page 7	股票市況穩定昨成交十二萬餘元
page 7	歐局影響國幣價漲
page 7	九龍學籃比賽今午開鑼共有戰事三場
page 7	今日球城南香之戰改期
page 7	送船別記
page 7	南華游泳場定十四開放
