page 2	社評太平洋之八一三
page 3	八一三四週年蔣委長勗勉國民奮全力爭取勝利日本崩潰末日之徵兆已見吾人已負保衛太平洋責任
page 3	美兩洋艦隊提早兩年完成一九四四年準備可完成建艦工程現達巔峰狀態
page 3	英首相邱吉爾已返抵倫敦曾出席議會報告事項
page 3	澳駐美公使論英美合作項美如剪刀之兩刃必須合作衝破困難
page 3	維希無恥媚日美國深表憎惡美對維希關係不絕如縷
page 3	旅美僑胞募款振濟祖國難民美電影明星踴躍參加
page 3	南侵日軍動靜日海陸軍完成佔領南圻法輪入西貢港須領日方執照
page 3	維希閣議結束魏剛返抵北非
page 3	日本即使退出軸心美日關係仍難改善赫爾國務卿嚴正表示克萊琪大使又訪豐田
page 3	澳洲已具決心阻止日本南進
page 3	泰總理聲明不畏懼侵畧決抵抗至最後一人
page 4	鳥克蘭激戰中深入德軍已被堵截中部蘇軍反攻獲勝
page 4	英蘇空軍合作輪流轟炸柏林
page 4	成都上空激戰我神鷹隊出動揚威敵機一架被我擊落
page 4	平準會積極工作法幣匯率將轉穩中宣部王部長發表談話
page 4	蘇德戰略論閃電戰之抵禦方法
page 4	以血還血以死報死斯拉夫民族團結之呼聲
page 4	張沖病逝領袖派員主持喪禮
page 4	鄂西我軍又獲勝敵三路南犯不逞被我殲滅達千五百人
page 4	我河防固若金湯敵渡河自尋絕路黃河前線陣地視察記
page 4	豫自衛團司令郭泰興殉職臨難不苟正氣昭然豫軍管區轉請撫卹
page 4	各民主國勝利中國復興成功上海遍處字標語
page 4	陝省府委員舉行宣誓禮張繼監誓致訓
page 4	旅新疆英僑暫不擬他往
page 4	余俊賢飛澳調查該地華僑教育
page 4	蔣委長電唁泰戈爾家屬
page 4	高淩百氏歡宴田伯烈田氏即由星赴荷印
page 4	赫爾的談話
page 4	維希的悲哀
page 4	美儲大宗食糧以應戰後急需並起草國際穀倉計劃
page 4	陪都外交協會歡宴拉第摩在警報下舉行
page 5	粵省各路大軍將展開反攻軍事修築內地公路疏散戰區婦孺訓練武裝民眾加強後方實力
page 5	金佛山移墾區尚待力克困難積極開墾全山藥材出產九十餘種
page 5	泰國華僑南渡概說上
page 5	粵省計劃提高教育人員待遇社教經費亦將酌量增加
page 5	桂林遭空襲後施行緊急救濟充實防空消防救護設備分發振款訪查遺孤善後
page 5	廣西大學校長高陽接任本屆大學先修班仍委托西大代辦
page 5	小學教員子女入學免費教部訂定補充辦法
page 5	戰區高中學生參加戰時工作教育部制定服務辦法
page 5	職業學校由省市府給予補助費
page 6	今日紀念八一三港僑熱烈獻金義賣團體學校今晨舉行集會
page 6	羅富國師資學院昨日筆試第二日考數學及甲乙組歷史
page 6	港府奉到英訓令鞏固戰時經濟輔政司昨謂當局已進行限制入口及徵所得稅等
page 6	限制汽車進口全年只許百三十八輛舊車買賣須申請核准
page 6	明日紀念空軍節陳慶雲等出席演講
page 6	港府業已批准發售米飯計劃售菜形尚佳繼續舉辦公平糶米會昨日開例會
page 6	中華廠商聯會舉辦秋季會員懇親大會各廠分贈獎品拈鬮索獎定期在本月三十日舉行
page 6	衛生局設小組會重行考慮小販案經委定嘉利等九人負責探求新方法代取締措施
page 6	遣送難民返鄉籌備漸次就緒自願還鄉難民有數千人籌辦經費甚鉅達十萬元
page 6	航行南洋輪船改油灰色以適合遠東局面需要
page 7	港滬籃球中堅分子擬舉辦埠際賽港將集合夏籃精銳組成勁旅第一屆決在香港舉行
page 7	樂斯杯有激戰新青勝居聯四十四比卅八場面緊湊初級金銀挫育賢
page 7	星東隊已整歸鞭籌組足球義賽星東聯隊對南華南遊隊是戰如實現將哄動全港
page 7	華人游泳會今日獻金
page 7	鍾聲泳場今晚音樂演奏
page 7	全馬網球大決戰錦標得失談許承基如入無人之境陳其安偏遭厄運
page 7	水陽光與康健
page 7	鐵城杯南華戰吐倫民大對中青
page 7	卓雄杯精采戰東山迎抗震寰昨日馬祿臣摩托均告捷
page 7	股票市況穩定昨日成交總值六萬餘元
page 7	國幣市況較為堅穩最高價格一五九強
page 7	外匯牌價申匯續漲美匯英匯依然沉寂
