page 2	社評培養中國之新血液
page 3	紅軍完全控制黑海納粹潛艇無法活動史達林線全部仍繼續血戰中傳莫斯科遭轟炸損失頗重大
page 3	英國鼓舞歐洲人民反抗納粹武力統治V字軍運動具深遠意義
page 3	美國大西洋艦隊
page 3	軸心國兩巨頭傳將舉行會晤地點仍在伯倫納關隘
page 3	義財長發表滑稽聲明謖歐陸黃金外流證明黃金非必要
page 3	霍金斯會見伍爾頓討論美糧運英問題
page 3	玻里維亞德公使被因從事秘密工作
page 3	蘇德戰爭
page 3	德西部城市被炸損失慘重愛城及蒙斯特精華盡喪德國航運亦受嚴重打擊
page 3	維希內閣向德獻媚布休上台與此有關美大使曾晤見貝當
page 3	納粹走卒趾高氣揚安東尼斯科演說
page 3	中東英空軍屢予義重創
page 3	敘利亞之役海軍死傷人數陣亡二百餘人受傷約達千人
page 4	郭外長發表談話盼美禁油運日近衛瓣閣僅過渡性質日準備完竣必將行動
page 4	英泰晤士報都論日徬徨歧途南進北進均難得逞
page 4	重光返日回任否尚未決定
page 4	日輪前途黯淡巴拿馬運河限制篡嚴
page 4	德參事等過桂經滇轉越
page 4	海外部續辦黨務幹訓班
page 4	馬丁博士逝世米蘇里學院失一良師中國新聞界失一好友
page 4	昔日天堂今成地獄日偽在蘇州清鄉居民均陷於絕境
page 4	美醫藥援華會撥款設立醫院
page 4	史達林防線
page 4	美議員促政府監視日本行動
page 4	桂調整縣區
page 4	中央期望共黨反省希望其停止攻擊襲友軍而並無將加懲處之意
page 4	滬舞廳槍擊案兩舞客受傷歹徒勒索款項
page 4	汪偽建軍的內幕
page 4	贛向四行借款興辦農田水利
page 4	越督返河內西貢方面傳與時局有關
page 4	美節減奢侈品集中國防生產汽車冰箱生產將減半
page 4	希墨又將會晤
page 4	蘇南我軍反掃蕩閩江敵進犯未逞敵自承四年來被殲百六十萬
page 4	川滑翔分會在蓉成立將闢滑翔機場
page 4	寧波糧慌餓死者眾
page 5	粵省下月舉行全省行政會議根據參會提案從詳討論實施研究新制田賦徵物各項問題
page 5	教育部決定部聘教授辦法保障各院優良教授獎勵學術研究之興趣
page 5	粵省籌設蠶絲改良場農部省府撥鉅款開辦
page 5	國粹與國學六
page 5	明年預算
page 5	粵對外貿易迅速發展桐油桂類加緊出口
page 5	第四年抗戰經過三
page 6	港海陸空軍大演習動員五萬人參加昨日開始分在港九進行各級長官親臨指揮作戰
page 6	華商總會改選新值理明午發表董仲偉洗秉熹對記者談此次商會改選各種意見
page 6	今晚燈火管制八時零九分開始港九巴士渡輪繼續行駛演習三日嚴禁燈火外露
page 6	平糶委會廉價售菜市民菜農均獲利益司徒永覺對記者談話旺角菜攤廿四日開辦
page 6	華僑文聯會昨會員大會下屆職員選出
page 6	殘廢軍民療養院募捐今日招待紳商港督羅富國將出席致辭林可勝報告該院之概況
page 6	楊雲史先生臨終又一遺作題雲霄一羽圖有序
page 6	少年夏令營參加者已逾百人
page 6	美空軍人員過港者漸少
page 6	特務警察開始徵募
page 6	審計專員在港公畢業已離港赴星在港印象良好
page 6	跑馬地山村道舞女宿舍被刼一舞女抗拒頭部被擊傷刼匪七八人多屬滬籍者
page 6	中華中學昨舉行畢業典禮
page 6	教師暑期討論會今日開始地點在聖保羅女校
page 7	棒球聯賽出冷門香港竟勝美兵七比四岷甸奴大呼倒霉林業易幟投奔香港演出不壞
page 7	內鋒的技巧六
page 7	體壇尖事記傳南華六球將投奔光華體協會月底即召開年會
page 7	青年棒球團編隊訓練甲乙組共三隊
page 7	星東隊四戰全澳二比五敗北統計十五場內有一場無消息勝十一次敗三次
page 7	星洲甲組足球賽工兵不敵華人零比三淨輸三球
page 7	樂斯杯賽民大勝警察初級育賢贏商務
