page 2	社評爭取太平洋上的主動
page 3	美設遠東空軍司令伯勒登已過檀赴菲華盛頓傳美日談話略有進步
page 3	湘北大捷洋記本報特派記者自衡陽寄
page 3	科學與人類進步文灝在中央電台廣播
page 3	禁止凍結款項移作期貨買賣美財部命令已開始生效
page 3	粵敵後民眾請纓殺敵由李彥良率領
page 3	劉師舜使加將正式任命
page 3	日本政治論客清水主張加緊軸心關係
page 3	假戲真做東京防空演習死傷六十餘人
page 3	我反攻沙市得手岑河口近郊激戰
page 3	實行土地政策中樞擬設立新機構
page 3	滬日商銀行作投機失敗
page 3	閩嚴禁釀酒存酒限期登記給證後始准售
page 3	荷印日僑捲土重來
page 3	鞏固經濟基礎將為九中全會主要議題
page 3	豫臨參會圓滿閉幕
page 3	郵資加價下月實行
page 3	敵機五架飛贛肆虐
page 3	泰國否認軍隊集中
page 4	美參院外委會通過擴大武裝商船羅斯福總統發表演說美不容威脅不避犧牲
page 4	納粹屠殺行社為激起美國公債美總統談話予以痛斥英相亦發出響應聲明
page 4	希特勒接見齊亞諾傳將簽署經濟協定
page 4	美巡洋艦又一艘下水速度快捷裝甲優良
page 4	美國海軍日談美國海軍太平洋艦隊抽調的影響
page 4	德侵蘇運輸船屢遭英艦襲擊英以海軍配備運往蘇聯
page 4	義那波里港續遭英機猛炸被投下烈性彈數千噸的黎波里港亦被猛炸
page 4	北非義軍困處一隅墨索里尼之非洲帝國已陷於全面包圍威脅中
page 4	頓河流域激戰德圖奪取工業區中路德軍攻勢已被阻
page 4	英土關係緊密大批英機運抵土國
page 4	卡科夫工業區盡毀城內成為火海一片
page 4	今日美海軍節美總統發表演說
page 4	蘇京防線右翼陣地蘇軍反攻形勢好轉
page 4	美國竭力搜捕納粹工作人員
page 4	美英譴責納粹暴行
page 5	悲慘壯烈可歌可泣湘陰城空前血戰曹營官兵全部皆成仁暴敵燒殺滿城成灰燼
page 5	盤踞江門敵軍全部退出市郊改守豬頭山北街等處中山敵軍又增千餘人
page 5	馬來亞不懼威脅陸空軍實力足禦強敵大批平射砲運抵星洲
page 5	暴日佔領越南真相華僑呈獻一片赤誠擁護領袖抗戰到底敵人的凶殘泯滅不了華僑忠貞的氣節三
page 5	密勒氏報撰文揭開江寧黑幕主要財政收入竟賴綁票勒索名為清鄉情形較前更見惡劣
page 5	南路各縣加強防空陳樞接任防空區指揮
page 5	合欽靈邊境加強剿匪工作三縣召開會議商討一切欽廉完備區積極佈置防務
page 5	滬甬間貨運日方統制益嚴如旅客攜帶統制貨物沒收之後並嚴加處罰
page 5	中茶公司派員直接收購粵茶鶴山茶質優良可望暢銷歐美粵北菸葉豐收價格尚稱穩定
page 5	省立雷州師範發生學潮經過校長被軟禁造成嚴重局面縣府派隊彈壓現已趨和緩
page 5	在日方驅使下華北作反蘇活動天津白俄僑民被迫遊行
page 6	美輪航行遠東如常南美國家輪船航行遠東巴拿馬國輪昨駛抵本港
page 6	在巴士車站上
page 6	港灣當局籌商恢復牲口運港當局尚未採取其他措施輔政司昨日對記者談話
page 6	彌敦酒店偽劫案原來串同行劫
page 6	被禁出口棉紗價值逾千萬元聞係準備貯備大量棉紗
page 6	三國金融專家連日舉行聚會對穩定法幣作縝密研究擬對法定匯率有所更動
page 6	長洲水雷脫索爆炸幸未肇事居民虛驚
page 6	義勇軍開始集中訓練
page 6	食衛生米運動有關人士表示亟應發動全港學生參加宣傳工作
page 6	記者黃石公昨晨逝世身後甚為蕭條
page 6	貨艇三艘在三門關被兩賊船攔途截劫計損失貨物十七萬餘元艇伴被驅逐於一荒島上
page 6	南洋考察團參加人數不多商會無人報名
page 6	五屆國貨展覽會決定年底舉行在半島酒店對面空地廠商請求參加者踴躍
page 6	防空救護隊加緊演習
page 7	快活谷足球劇戰星島輕取水兵五比一佛爺出色坤勝亦活躍海軍後防脆弱卒遭慘敗
page 7	甲組聯賽形勢
page 7	獻機籃球慈善賽新青民大獲勝後晚仍有兩場戰事當更激烈四強中民大實力最雄
page 7	南華棒球名手伍振華昨逝世
page 7	南華游藝部歌詠班展期
page 7	澳門樣際籃球賽紀中力克廣中廿四比十七戰情激烈頭場廣大廣勝知用乙
page 7	海關總稅司發表上半年全國各關進出口貨稅收進口三萬四千七百餘萬金出口五萬八千六百餘萬元
page 7	澳門足球聯賽警察戰和無畏
