page 2	紀念八一四空軍節
page 3	龍州附近戰事轉烈我軍猛攻克復上金殘餘日軍向龍州寧明潰退
page 3	為著建軍要求五點
page 3	各地團體慰勞空軍
page 3	桂公務員准予緩役並得免繳緩役金
page 3	龍雲表示對於越南問題遵從中央意旨
page 3	上海租界前途形勢愈趨嚴重美亞洲艦隊司令定今日抵滬防軍會議定明日舉行 
page 3	平津英軍明日來港 
page 3	法日對越南問題賡續談判中日加緊壓迫法恐將讓步越當局允恢復滇越商運
page 3	泰人民要示收復失地將向越南提出
page 3	滿洲國外僑被捕
page 3	滬汪宅前炸彈爆發
page 3	開發西南森林三機關合營木材公司成立
page 3	中正大學政治訪問團在贛東南考察竣事 
page 3	八一三三週年滬平安度過兩租界戒備極嚴密
page 3	綏蒙政會加強人事機構
page 3	桂教廳創辦童軍教練班定十九日開幕
page 3	日方鼓吹接防英軍
page 3	美軍司令提出建議
page 3	希望僑胞貢獻財力 
page 3	今日空軍節三週年全國各地熱烈慶祝航委會發表告同胞及僑胞書
page 3	這三年來空軍成績
page 4	英德空戰規模愈大德方轟炸目標注意軍港機場傳義大利飛機師亦參加作戰
page 4	吐火式英機力拒德方進襲
page 4	德機不斷襲英人員損失奇重 
page 4	倍立廈演說主訓練新軍在戰略上採取攻勢戰爭始能圓滿結束
page 4	阿根廷驅逐納粹首領出境德國駐烏露圭公使否認該人與德有關
page 4	非義軍分五路進攻圖奪取英索馬利蘭傳西班牙已準備參戰
page 4	澳閣員遇難因飛機失事撞斃
page 4	蘇報支持保領土要求匈羅談判將正式開始
page 4	蘇聯海陸軍統一指揮權廢除政治委員制度另置副指揮官負責
page 4	日本內閣改組情報機關合併外陸海內原有機關擴充現時內閣之情報部 
page 4	托紀亞被刺義向希抗議
page 4	英帝國會議十月在印舉行本港被邀參加
page 4	　自招
page 4	英德空戰
page 4	日本提倡國策結婚殯葬儀式亦有限定
page 4	美蘇當局批准商約現行商約繼續生效
page 4	蘇請各國撤退愛立拉使領館
page 4	一批記者橫渡太平洋乘加利福尼亞飛剪號
page 4	羅斯福考慮售艦予英建議惟未得議會同意前將不至有任何行動 
page 4	英機高空轟炸德法境內油廠
page 4	德在法國沿岸建無數大機場
page 5	航委會等提倡民間滑翔飛行運動中國滑翔協會組成蓉渝昆分會各種計劃均在會核中即可公布
page 5	組織計劃
page 5	陳嘉庚峨嵋寄書報告西北行觀感
page 5	訓練計劃
page 5	訓練幹部
page 5	戰區經委會桂辦事處後日左右正式成立內設三科分掌職務
page 5	大小淋島日軍發砲大涌口民房被毀茅寮百餘盡成焦土
page 5	兩廣鹽運處禁鹽摻砂陶守真任粵東局長
page 6	八一三三周年港僑昨隆重紀念兩紀念會情形異常嚴肅獻金運動成績極為可觀
page 6	僑團學校紀念大會
page 6	港學振會開會紀念
page 6	全港僑胞踴躍獻金
page 6	九龍獻金奉金停止
page 6	全體舞女藍衣伴舞
page 6	擦鞋童子收穫驚人 
page 6	八一四空軍節青年團體開會紀念
page 6	惠陽商會籌振邑屬水災推出募捐委員分頭勸募兩日來已捐得二萬餘元
page 6	南開校友歡送張彭春今晚在大華飯店
page 6	斯義桂葉懷德今晚廣播獨唱三闋橫笛兩曲
page 6	少年夏令營今日結束昨日紀念八一三 
page 6	衛生局會議不足法定人數流會
page 6	港回教徒追悼難胞
page 6	婦女售花成績良好
page 6	嶺大農學院著手內遷圖書儀器首批九日起運職員學生亦已準備啟程
page 7	全馬網球錦標賽許承基風頭獨健獲二項冠軍一項亞軍英台杯名將雙打逞能
page 7	英分區足球賽月底開始已有六十八隊參加
page 7	國際棒球賽星期六葡萄牙對不列顛星期日中國戰美國
page 7	南華整頓陣容實力未見削弱坦克車黃美順東山再起東方曾仲雲亦被邀參加
page 7	夏令籃球精武不敵同義東方擊敗民大
page 7	情報一束
page 7	港圓外匯牌價略漲美匯穩靜英匯黯淡
page 7	國幣市況先穩後淡
page 7	股票續略好轉昨日成交七萬餘元
page 7	八九金市轉趨鬆弛
page 7	東方遠征追記 
page 7	兩賽簡評
page 7	南華水藝會成績美滿收入義款共二百餘元
page 7	中青南華華人三角游泳競技今晚舉行第二次比賽
page 7	歷屆盟主男子單打
