page 2	如何作育新民
page 3	桂南日軍大部撤退三塘附近尚未肅清再度竄擾浙東日軍敗退蕭山
page 3	平郊我軍活躍門頭溝已收復
page 3	綏西繼續掃蕩豫北進迫博愛
page 3	蕭山城外殘日肅清閩南偽軍全部投誠
page 3	昆明行營積極籌備中
page 3	中樞首長電賀達賴坐床盛典
page 3	南洋僑胞電桂祝捷並匯款二萬元勞軍
page 3	平偽組織濫發紙幣偽鈔價值慘跌
page 3	日軍反戰焚燬皖北軍械庫
page 3	我軍事當局斥日方讕言軍事慘敗造謠掩飾無中生有徒資笑柄
page 3	兒童工作團由湘抵桂轉赴前線
page 3	聊以自慰日軍侵擾湘省不逞想出自騙騙人辦法
page 3	粵贛皖閩邊區行政聯繫問題已擬定辦法呈中央核行粵省當局努力復興戰區
page 3	天文珍象西南天空五星聯珠彩色繽紛蔚為奇觀
page 3	行都各界舉行敬老祝壽會新運紀念第三日
page 3	中美文協成立週年紀念在渝舉行慶祝
page 3	滬偽市長職群醜逐鹿傳傅逆將被排擠
page 3	新生活運動現階段的中心任務
page 3	大洪山麓我續告捷直薄隨縣圍攻京山
page 4	蘇軍進迫維堡莫斯科對戰事樂觀芬召二期預備役入伍
page 4	兩重壓迫下瑞典處境難德潛艇屢襲擊商輪英法嚴行搜查禁品
page 4	協約國海軍巡邏北歐海面嚴防德艦利用中立海海戰中挪輪損失慘重
page 4	近東謠諑繁興傳蘇發動反土運動英決助伊鞏固國防
page 4	土又地震死傷五十餘人
page 4	美議會繼續研究美日關係問題參議員主採強硬態度否則日更將橫行無忌
page 4	美國海軍四度擴充將予日以極大威脅
page 4	美眾院銀委會討論信用貸款案各項修正案將提付表決
page 4	南大西洋德艦又圖異動準備襲擊商輪 
page 4	日本議會奇聞特多議員破口大罵米內面紅耳赤
page 4	日本想誇大歐局
page 4	英報論日本危機
page 4	歐戰爆發後英國援華現狀劍橋一月二十九日航信
page 4	日人自殺遇救跳火山未遂
page 4	日眾院通過預算案現已送貴族院審議日六市反對增稅案
page 4	日本政治危機軍閥官僚勾結把持國際地位完全孤立
page 4	義大利準備歡迎韋爾斯齊亞諾將親自迎迓韋氏訪義後即赴德
page 5	日圖犯三埠野心未戢雙水口戰事又起大沙再被侵擾我軍正堵截中容奇情形混亂偽軍紛起反正
page 5	浙東戰局檢討日軍虛張聲勢行動龜步化希圖藉此刺激國內民心
page 5	南僑回國慰勞團重申組織意義此行經費決不動用賑款外聞散播浮言不足為信
page 5	在戰略上
page 5	在政治上
page 5	行都慰勞團抵粵慰勞情形贈送司令官繡旗十餘面分發將士慰勞金四萬餘元
page 5	慰問受傷將士
page 5	滬西各賭窟將遷往南市花會聽筒亦將復活
page 5	和平縣種植山禾充裕戰時民食
page 5	粵衛生處增設南路辦事處籌備人員離韶出發
page 5	蘇州城內米慌嚴重米店相繼停業人民勢將斷炊 
page 5	贈旗余李司令
page 5	西康日記五八
page 5	日人企圖
page 5	戰事經過
page 6	東華三院新總理昨日就職羅旭龢氏監誓並致訓辭新任主席發表院務新猷
page 6	新任總理宣誓就職
page 6	李耀祥氏致答謝辭
page 6	新任總理八項新猷
page 6	關良畫展昨日開幕會期四天
page 6	義庄義務亟須整理
page 6	華商總會昨開值理月會關於星洲禁港貨入口事港當局謂尚無弛禁辦法
page 6	中國文協歌詠比賽下月三十一日舉行
page 6	組籌款部勸募善款
page 6	接臣新輪昨日進水將來行駛中國沿岸
page 6	中英文協今日開會請盧忠恕碩士演講
page 6	太平劇團洪承疇千古恨連夕空前擁擠
page 6	高級工業學校首屆畢業生發表優等六名及格生三名定五月底舉行畢業典禮
page 6	陳列品極為珍貴
page 6	李應林代表致謝
page 6	簡又文報告經過
page 6	葉恭綽致開會辭 
page 6	粵文物展昨日開幕葉恭綽主席吳鐵城剪綵國難期間此會意義深長
page 6	羅旭龢監誓致訓辭
page 7	港足球總會定期派隊報聘西貢磨拳擦掌四月底出發
page 7	青支學界籃球四月一日揭幕
page 7	花世運委會向世界呼籲
page 7	滬初級杯球賽物歸原主優游榮獲冠軍
page 7	教長陳立夫談體育主要意義
page 7	渝體協會昨開成立會
page 7	銀聯籃球賽到最後關頭
page 7	海外體壇
page 7	美菲荷匯牌價回漲英美匯市況堅挺申匯市況仍淡銀行頗多拋出
page 7	春季賽馬期後股票市況活躍香港電燈公司買胃暢旺全日成交達二十二萬元
page 7	八九金市昨日略有交易
page 7	二三事
page 7	跑的藝術幾個田賽的項目
