page 1	社評近節關看僑匯
page 2	新閣人事尚在商討中顧孟餘有任副院長說外交交通兩部首長不更動翁文灝續與民青兩黨商洽
page 2	立院舉行特種審查委會修改組織法問題無結論立會參加小組委會辦法決定
page 2	會場秩序很亂許多人站起來大舉辯論有的舉了手又說不算了
page 2	監委報到廿八日開始
page 2	由幾個國際學術會議談起
page 2	吳國楨拋磚引玉以五億元作為特捐他說這錢是他太太開畫展所得
page 2	張群飛蓉將延期返京
page 2	中共的新機構傳將成立華北解放區
page 2	日漁船橫行無忌舟山群島東北又發現一艘農林部請外部向盟總抗議
page 2	鄭州附近續戰平漢路上國軍疾進長春近郊酣戰未已
page 2	法學院不分系經費不得減少教部電浙大等三大學
page 2	山東大學水產系教部准設研究所
page 2	兩大學招生辦法中大在十一處舉行武大在六處舉行
page 2	司徒昨飛屏東今天遊日月潭
page 2	美國擬好援華協定即交中國政府研究簽字萊普漢定六月四日離美美參院外外委會通過中美商約
page 2	慶昌輪失蹤從青島開新浦杳無音訊
page 2	蔣夫人將赴曼谷
page 2	檢討軍政經濟穗行轅座談會開始各單位負責人出席宋子文昨天午後離滬
page 2	羊城緊張一幕檢查汽車險演武劇保警隊與憲兵嚴陣對峙黃鎮球親自出馬纔解決
page 2	穗市參會駐　會李樸生報告地政
page 2	南海九南洲圍日前被水沖毀
page 2	維持廣州工業資委會電覆民意機關謂可配售鋼鐵等原料
page 3	聖地問題英美同床異夢美決將以鉅款貸助猶人軍火禁運中東令亦可能解除貝文三晤美使力圖調協歧見
page 3	停戰期限未屆阿人加緊猛攻企圖打下耶路撒冷再說
page 3	關於美蘇間歧見問題塔斯社答覆美國聲明
page 3	阿人停火有條件聯合國接到一國答覆
page 3	美向埃敘抗議封銷海上交通
page 3	義南關係待轉好兩國有外交接觸義呼籲四強協助劃疆界
page 3	蘇將與猶交換使節英請法勿承認以色列國
page 3	聖地調解專員抵巴黎轉聖城
page 3	美國援土物資已近十億美元
page 3	芬蘭政潮惡化人民民主黨組行動委會堅持政府應有左翼分子
page 3	英國財政部規定不准共黨任要職
page 3	美發表各國共黨名錄五百餘人被稱為職業外交家
page 3	邱吉爾何許人也戰爭販子乎偉大人物乎四國駐柏林首長一場爭辦
page 3	哥倫比亞大學設東亞研究所
page 3	孿生的姊妹打噎而死達爾文日記在英拍賣
page 3	日掠奪我國財物一部分即將歸還
page 3	日各在野政黨展開倒閣運動
page 3	日人到處拉生意巴基斯坦亦入彀
page 3	日一共黨被判刑罪名是對天皇不敬
page 3	史塔生競選演說如當選總統當反蘇反共
page 3	日人拼命吸收外資已得到七億餘美元
