page 2	中國工程教育問題下
page 3	我空軍飛桂南揚威擊落日驅逐機三架轟炸邕寧附近日軍予以重創粵北戰訊沉寂桂南繼續掃蕩中
page 3	晉東南上黨區戰事猛烈進展
page 3	滬英總領通知越界築路僑民勿向偽方納稅該項談判迄無結果飯館食客二人被捕
page 3	蔣委長電泰總理請保護我僑胞往來電文昨全部發表
page 3	滬一米商被控超越限價判拘役十五天
page 3	英輪駛閩被日方阻止進口
page 3	蒙古我軍克廠汗拉廟巴王林王曾協助夾攻日鳥盟根據地被廓清
page 3	贛北戰場巡視記上
page 3	農村貸款改由四行總處增設一處辦理農本局僅管理倉庫
page 3	財政部改定輔幣成色重量並加鑄二分一種定明年元旦發行
page 3	日機散發反戰傳單
page 3	粵財廳整頓稅收廢除苛雜五百種明年元旦起實行
page 3	綏遠一年來各方均猛進軍民合作抗戰力量加強蒙政明年起將有新措施
page 3	美女作家項美麗抵渝將晉謁蔣夫人
page 3	皖省黨部中央決定改組執委業已派定
page 3	中國運輸公司元旦成立陳延炯任總經理
page 3	粵各機關組戰時服務會動員公務員赴前方工作
page 3	滇越公路中央協款匯到一部明年四五月可完成
page 3	滬盜風日熾法租界鬧市竟白晝行劫
page 3	美學生代表
page 3	恐龍化石卞美年在滇祿豐續有珍貴的發現
page 3	美國大豆輸出激增
page 3	振委會員長許世英發表談話本年救濟用款二千餘萬努力在後方開闢墾殖區
page 3	我空軍飛桂南揚威擊落日驅逐機三架轟炸邕寧附近日軍予以重創粵北戰訊沉寂桂南繼續掃蕩中
page 3	晉東南上黨區戰事猛烈進展
page 3	滬英總領通知越界築路僑民勿向偽方納稅該項談判迄無結果飯館食客二人被捕
page 3	蔣委長電泰總理請保護我僑胞往來電文昨全部發表
page 3	滬一米商被控超越限價判拘役十五天
page 3	英輪駛閩被日方阻止進口
page 3	蒙古我軍克廠汗拉廟巴王林王曾協助夾攻日烏盟根據地被廓清
page 3	渝本年金融商業一般狀況良好新銀行來年將續增加五金與布疋獲利最豐
page 3	贛北戰場巡視記上
page 3	農村貨款改由四行總處增設一處辦理農本局僅管理倉庫
page 3	財政部改定輔幣成色重量並加鑄二分一種定明年元旦發行
page 3	日機散發反戰傳單
page 3	綏遠一年來各方均猛進軍民合作抗戰力量加強蒙政明年起將有新措施
page 3	美女作家項美麗抵渝將晉謁蔣夫人
page 3	皖省黨部中央決定改組執委業已派定
page 3	粵財廳整頓稅收廢除苛雜五百種明年元旦起實行
page 3	中國運輸公司元旦成立陳延烱任總經理
page 3	粵各機關組戰時服務會動員公務員赴前方工作
page 3	滇越公路中央協款匯到一部明年四五月可完成
page 3	滬盜風日熾法租界鬧市竟白書行劫
page 3	美學生代表幕禮之在黔廣播
page 3	恐龍化石卞美年在滇祿豐續有珍貴的發現
page 3	美國大豆輸出激增偽滿大豆輸出困難
page 3	振委會員長許世英發表談話本年救濟用款二千餘萬努力在後方開闢墾殖區
page 4	對天津存銀問題我國態度堅決任何一部分不容轉移郭大使訪英外次說明日方又圖以小問題向英示惠
page 4	土地震災區遼闊死亡十萬以上土總統親自主持救護王外長昨特馳電慰問
page 4	美議員擬建議禁廢鐵運日非經總統簽字批准一律禁止運輸出口
page 4	張伯倫定期發表演講
page 4	明興炸彈案與戈林有關塔布衣夫人所述如是被擄英軍官下落不明
page 4	英國製造軍械速率大見增加
page 4	古廟戰笳聲日宣布禁止放映謂係應印僑要求
page 4	中國和美國蔡幼梅
page 4	土耳其重視蘇芬糾紛各報仍持緘默態度
page 4	荷比磋商經濟合作荷經濟部長赴比
page 4	法總理達拉第論英法合作和平無保障決不停戰法參院通過軍費預算
page 4	墨索里尼與義參謀總長舉行重要會議
page 4	駐義德大使遄返柏林
page 4	　期滿在即　焦灼萬分緊急訓令東鄉向蘇提建議日人偷攝美要塞照片被押
page 4	英法海空軍擊沉德潛艇兩艘法單桅帆船建殊功
page 4	蘇援軍開抵前線蘇芬將有激戰芬蘭向美發出呼籲要求購買軍用飛機
page 4	日本之手忙腳亂
page 4	一椿不經濟的事
page 4	對天津存銀問題我國態度堅決任何一部分不容轉移郭大使訪英外次說明日方又圖以小問題向英示惠
page 4	土地震災區遼闊死亡十萬以上土總統親自主持救護王外長昨特馳電慰問
page 4	美議員擬建議禁廢鐵運日非經總統簽字批准一律禁止運輸出口
page 4	明興炸背時案與戈林有關塔布衣夫人所述如是被擄英軍官下落不明
page 4	英國製造軍械速率大見增加
page 4	古廟戰笳聲日宣布禁止放映謂係應印僑要求
page 4	土耳其重視蘇芬糾紛各報仍持緘默態度
page 4	中國和美國蔡幼梅
page 4	荷比磋商經濟合作荷經濟部長赴比
page 4	墨索里尼與義參謀總長舉行重要會議
page 4	法總理達拉第論英法合作和平無保障決不停戰法參院通過軍費預算
page 4	駐義德大使遄返柏林
page 4	　期滿在即卽焦灼萬分緊急訓令東鄉向蘇提建議日人偷攝美要塞照片被押
page 4	英法海空軍擊沉德潛艇兩艘法單桅帆船建殊功
page 4	蘇援軍開抵前線蘇芬將有激戰芬蘭向美發出呼籲要求購買軍用飛機
page 4	日本之手忙腳亂
page 4	一椿一經濟的事
page 5	粵北戰事猛烈我反攻進展順利粵路日軍繼續增援野心未戢我機再度出動收穫重大戰果
page 5	粵南沿海各地形勢仍緊張張炎對抗戰前途表示極樂觀各游擊區將領均已分別委出
page 5	國貨運銷馬來亞十月份又見增加
page 5	日軍增兵龍泉企圖進窺古井江門市郊我游擊隊活躍新鶴江佛兩路戰事膠着
page 5	中央航空會在桂林招生
page 5	西南剪影六雲南麗江到中甸所見李霖燦
page 5	宋哲元輓吳佩孚
page 5	節約儲蓄粵分會將成立
page 5	廣西的民意問津
page 6	沙頭角深圳間沿邊日軍開始撤退沙頭角日軍昨撤回深圳撤退原因料為增援粵北
page 6	萬生和記牛欄昨晨遭賊搶刼刼去現款首飾四千餘元販牛客商與抗被刺受傷
page 6	徵收所得稅研委會報告下月底可發表
page 6	航行者注意
page 6	金屬油類等不得擅運出口申請出口者須填表呈貿易編制專員昨日公佈
page 6	煤氣鼓與火油倉戰時保障辦法在附近地方架高射砲電燈電話亦嚴密保護
page 6	按季徵收水表租費計算法憲法規定報公佈自明年起實行
page 6	九針島海面海賊截刼貨船舵工斃命幸遇漁船來援三賊被擊斃一賊被生擒
page 6	琴齊書社成績展覽
page 6	馬頭涌孤軍營改作貧民救濟所亞皆老街新營建築完成孤軍日內即可遷移完竣
page 7	南華南先輸後贏光華卒遭淘汰五比二佛爺勇取三關
page 7	伯南杯排球義演中大勝南華三比一黃毛表演出色今日有球賽三場
page 7	至堪注目的下屆全運會
page 7	雛鳳最後努力二比一贏九龍
page 7	澳中聯小球隊興兵犯港下馬首戰永南
page 7	暹匯牌價縮六咽其餘匯價均上漲英匯沉寂申匯美匯俱略淡
page 7	八九金市沉寂交易依然停頓
page 7	過去一週間股票尚稱堅挺因假期影響成交不多各低價股票日漸上漲
