page 1	社評從香港看中國的經濟計劃與經濟行政
page 2	開封危殆城內巷劇烈豫東隴海線上又告緊張
page 2	旅京豫人請願兩度赴總統府請派兵援汴
page 2	中國航空公司東海人員撤退
page 2	燕大校長易人由愛華德斯暫任
page 2	江海關怠工潮僵持員工所提要求悉遭拒絕
page 2	浙海緊張
page 2	我們對反扶日運動基本的認識
page 2	長春樹葉貴每磅卄萬元
page 2	台北監獄人滿已判人犯移解台南
page 2	浙贛路八月可全線通車
page 2	簡貫三談生活指數認與實際情形相去甚遠主由五院代表參加審計
page 2	華北軍事情勢
page 2	史蒂爾曼等到株州看了機車廠並轉萍鄉看煤礦曾訪王東原談湘省建設問題
page 2	民青入閣問題談商告一段落
page 2	平警局通告各校必要時派人搜查不為救濟糧食堵塞嘴巴燕大學生已退回配給證
page 2	美援款項問題裘德又開支票他說如果用得妥當明年一月還有得來
page 2	省營報紙聯會今天在京開幕
page 2	粵境武裝走私猖獗走過私的隊部已經北調現駐的部隊又有人走私
page 2	宋子文政績如何參議員發表意見淩維素說他的支票未兌現楊家凡說他和人民太隔膜
page 2	肺病可怕聯合國專家昨在穗說中國肺病者有千多萬
page 2	桂糧三十萬擔抵粵各江沿岸早造有問題田糧處方面表示憂慮
page 2	暹續捕我僑胞五日來捉了六十一人
page 3	美援外款項終於決定兩院通過撥六十億元援歐四十億援華仍減為四億
page 3	扶助日棉毛織業美參院通過撥款
page 3	美軍事援歐熱情已冷了
page 3	美援物資外運上週數量最多
page 3	視察託管諸島美將組派委會參院通過一項議決案
page 3	美國會授權總統可下令武裝漁船
page 3	美共和黨舉行全會總統候選人競選熱烈互相以政治手腕鬥法
page 3	多瑙河會議月底在南都舉行美接到蘇聯照會
page 3	美龐大的預算國會將法案送白宮總數逾三百四十億
page 3	捷頒大赦令政治犯亦獲赦
page 3	日不會改幣制一銀行家說尚非其時
page 3	西歐不安謠言多義共領袖到捷京又傳共黨開會議
page 3	土耳其的外交政策
page 3	東西德將隔絕蘇禁一切行人車輛入管區美打算採同樣行動作報復
page 3	西歐各國工潮方興未艾倫敦碼頭工人決繼續罷工法各工會紛紛要增加工資比利時全國總罷工醞釀中
page 3	法國照會英美遵守六國協議
page 3	美在日建空軍基地重新配備舊飛機場麥帥與兩營造公司訂好合同
page 3	美下午報易名日小說家慘死
page 3	馬來局勢尚未澄清霹靂錫礦工人要求加薪鑛主指他們是配合暴動
page 3	聖城停戰會議猶人決將出席
page 3	菲總統明智之舉否決勞工菲化法案
page 3	菲擬管制進口議會將考慮政府法案
page 4	星洲考慮限制日貨香港廠商飛電聲援陳作新電星請抵制日貨
page 4	反對美國扶日政策趙耀華提七項意見
page 4	五個月來香港工業
page 4	牛馬生涯的末路
page 4	謙士和暢談漫遊日本觀感廣島漸呈繁榮狀態日人並無凍餓之虞婦女解放不靠男子
page 4	九龍無牌小販聯合自謀出路擬請港府撥地設立市場
page 4	在小輪賣物兩男子被控
page 4	住屋置業會星期五開會
page 4	高等乞丐騙錢每日可得廿元穿西裝阻街向人要路費
page 4	新派七君子忙於新工作
page 4	周氏宗親昨日大會
page 4	灣仔午夜血案五六大漢襲擊一青年呼援無應終傷重倒地
page 4	香港保良局下月初賣花
page 4	取締釣泥鯭九龍行新法
page 4	白樂高爵士將陞調要職
page 4	小車翻下山一女孩受傷
page 4	業主串通二房東開煙格收回租權
page 5	我國僑匯究有多少一般估計全年約一億八千萬美元
page 5	僑匯逃港主要原因
page 5	今年四月份紐約佔首位
page 5	拱北關實施紗布出口簽證關稅減讓部份暫緩
page 5	經濟要談
page 5	緬需我棉織品願輸出皮革礦產
page 5	行局匯率今起修正
page 5	長沙漲風瀰漫銀元價達九十五萬機米牌價六百萬元
page 5	武漢物資暴跳五成米價升千六百萬
page 5	你不相信廣告的力量嗎
page 5	無證到埠貨品收購告一段落
page 5	印大使演說希望中印貿易進展彼此交受其利
page 5	官價外匯改照牌價
page 5	廣州商情一週金鈔價又暴漲了
page 5	日棉織品銷星印花紗籠最多印人搶先圖利反吃虧
page 5	金融管理和黑市 
page 5	穗物價起落微廈紗布生油揚梧百貨價格穩
page 5	新結匯辦法實施了
page 5	漢口金管局檢查行莊結果勒令停業的二家移送法院的十家撤換經理十五家
