page 2	改進國民教育
page 3	揭陽近郊日軍受挫浮岡一帶在激戰中偽軍不堪壓迫紛紛起而反正
page 3	行都分區舉行紀念
page 3	上海各界沉痛誌哀
page 3	粵省府撥鉅款賬濟中山難胞幹訓團科目名額規定省黨部統一青運機關
page 3	桂綏署提倡增加生產遣歸一部游擊隊俾令其從事春耕
page 3	汪派嘍囉又一人被砍傷
page 3	滬租界當局嚴懲投機奸商決定採用國府所頒法規
page 3	外部組織稍有變動內部共分七司
page 3	傀儡趣聞浦東偽法院印信竟被竊
page 3	日自吹自唱米內今日發表宜言汪行蹤已成謎
page 3	楊杰大使昨返抵昆明日內飛重慶向當局述職對本報記者談歐局觀感
page 3	民教館長二期訓練班日內即將開學
page 3	粵勞軍團向高要駐軍獻旗
page 3	國家至上
page 3	奮發蓬勃
page 3	浪費最少
page 3	國民月會
page 3	經濟榨取
page 3	實際改進
page 3	勝利光明
page 3	任何情形
page 3	三民主義
page 3	建國工作
page 3	幾個要點
page 3	必能澈底
page 3	不欺不苟
page 3	一件兒戲
page 3	這種異象
page 3	三個要點
page 3	實事求是
page 3	不屈不撓 
page 3	加緊奮鬥
page 3	國民精神
page 3	殺敵致果
page 3	整整一年
page 3	精神總動員週年紀念蔣會長廣播演說檢討過去樹立森嚴精神壁壘振奮未來負起革命建國責任
page 3	總理逝世十五週年中樞舉行紀念會林主席勗國人恪遵總理遺教實踐精神總動員綱領三目標 
page 4	蘇芬談判即將揭曉焦點在漢哥島芬代表傳已離莫斯科攜回條件請國會表決
page 4	張伯倫宣布準備援助芬蘭但迄未接獲芬主呼籲
page 4	瑞外長庚塞否認向芬忠告英報責瑞典膽小畏事
page 4	韋爾斯在英酬酢忙英干涉美郵政航運事曾向英提出委婉勸告
page 4	英挪商約簽字提早恢復兩國常態
page 4	日報論對美關係前途難樂觀恐美將領導各國積極行動美重建世界計劃獨對日未送通牒
page 4	德外長遄返柏林傳教皇曾責德虐待教徒
page 4	克利浦昨由港抵滬
page 4	對蘇妥協空氣日圖恫嚇英美蘇日間歧點難於消除日方又宣傳蘇機越境
page 4	蘇伊商務協定日內在伊京簽字
page 4	偽軍大隊長在豫北被擊斃
page 4	米內將發言
page 4	再談須磨之樂觀
page 4	不愉快與不友誼
page 4	芬蘭代表回國
page 4	昆明通信滇緬行六
page 4	芬外長唐納發表談判情形蘇聯條件日間可披露
page 5	中山戰事成膠著八區我軍固守斗門
page 5	北山吃緊灣仔戒嚴反攻江會各路激戰
page 5	粵北戰區調查經過高團長談沿途所見可歌可泣琶江民氣最堪欽佩
page 5	經過事略
page 5	粵僑總會將成立在韶僑胞紛紛登記
page 5	對汪兆銘說
page 5	總理彌留時兩個偉大的指示為總理逝世十五週年紀念作
page 5	一點觀感
page 5	南僑慰勞團越南代表選出
page 5	中蘇的友誼
page 5	革命的前線
page 5	我們的出路
page 5	為反抗侵略
page 5	民氣蓬勃
page 5	九縣地方 
page 6	昨日本港各僑團隆重紀念總理忌辰羅旭龢主席以奉行遺教相勉鄭港年葉恭綽報告總理事略
page 6	會場佈置極為素潔
page 6	海員黨部勗海員書
page 6	漫協港分會主辦漫畫研究班開課培植新幹部發揮宣傳戰現仍可報名額滿開新班
page 6	中山青年紀念總理
page 6	港法國婦女界舉行賣物遊藝會定於四月六七兩日舉行各種衣著飾物均極名貴
page 6	漫畫是新藝術主流
page 6	漫畫不是一件商品
page 6	澳門救災會服務團明日招待各界
page 6	民族文化書院投考者踴躍十七日考試所聘教授多為著名學者
page 6	市政衛生局昨日舉行例會
page 6	手車工人互助社分社開幕
page 6	香港澳洲間貿易之過去及將來上
page 6	新劇秦檜太平後晚上演
page 6	大好市場
page 6	港貨運澳
page 6	一代名花中央戲院今日起映
page 6	美髮工會一仙運動月全體行友踴躍參加
page 6	航行注意船政司通告
page 6	一個尖兵站在前線
page 6	港當局將解決雙層巴士問題調查研究迄今已將一載據悉日內即可獲得結論
page 6	鄭葉兩氏出席演講
page 7	港澳埠際賽期近澳代表將產生理想戰線頗堅強未容小視港方今日開遴選會議
page 7	大生杯排球頒獎未有期
page 7	世界著名拳手湯美化入海軍放棄拳賽大好機會
page 7	男子公開籃球賽後日開始報名記者公會辭書記職邀准比賽小組會明天開會議
page 7	美匯牌價再縮市況繼續趨緊申匯牌價不動市況仍穩定
page 7	八九金市續見好轉美匯趨緊價格步漲
page 7	溫故知新錄六南華隊初遊澳洲
