page 2	社評政治團結與軍事統一
page 3	英美加強遠東防務新加坡開到大批空軍步砲隊美將撥款加緊充實菲島國防
page 3	第二屆國民參政員名單全部公布國府明令修正組織條例
page 3	我突襲十里鋪毀日軍倉庫日揚言擴大沿海封鎖
page 3	渝賀年信簽名大會林主席致訓詞全日簽名逾二十萬人
page 3	中樞紀念週陳樹人掃告
page 3	本多赴南京擔任新導演
page 3	楊全宇槍決軍委會公布楊等罪狀投機者慄慄危懼
page 3	湘省兩會議
page 3	東方文協定期舉行會員大會
page 3	中國名畫家圖贈美總統慶賀三屆連任美使代表接受
page 3	中菲國民協會代表分謁林主席蔣委長獻旗致敬並呈獻頌詞勝算在握一戰功成
page 3	上海零訊
page 3	中央社擴充業務籌設紐約分社盧祺新將赴美
page 3	泰戈爾電蔣委長表示敬意
page 3	實施新縣制由印花稅提成補助
page 3	孤島之內幕在米價高壓下暴露了許多秘密
page 3	教育部促僑校立案陳教長視察樂山教育
page 3	戴院長即將返國戴氏訪晤甘地詳記
page 3	野村出發朝鮮將赴東北及其他侵佔區預定下月二十三日赴美
page 3	海外部長吳鐵城將赴泰宣慰僑胞星緬僑胞踴躍捐募擬各獻載重車百輛
page 3	日議會將開幕近衛拉攏議員以便通過龐大總預算案
page 3	如此上海屍骨載道嬰骸特多
page 3	豫省農產積極改良普遍種植良棉徵集小麥優種
page 4	英閣改組正式發表艾登重任外相哈里法克斯調任美使
page 4	法對泰表示願恢復談判日對泰領土早垂涎三尺竟不憚煩互換尊重條約
page 4	美沒收外輪議將請國會授權蓋達文恫嚇美國
page 4	北非英軍準備完成將繼續猛攻里比亞
page 4	義大利間諜活躍羅馬電台廣播謂已捕獲首兇
page 4	希軍保持主動沿阿海岸挺進
page 4	法德空氣依然在緊張中傳德要求再起用拉伐爾維希政府堅持兩項原則
page 4	蘇報論歐戰英國實力雄厚英海空軍依然強大德登陸企圖將難逞
page 4	英機首次飛襲威尼斯遠跨歐陵一千六百哩創空襲飛行距離紀錄
page 4	美海部續訂購大批補助艦總值二萬八千餘萬元
page 4	英閣改組
page 5	粵加強護僑工作整頓東江交通力求安全便利招致歸僑投資興辦各種實業
page 5	粵南政治動態
page 5	廣州日軍燃料缺乏派人往增城強伐森林由日商洋行高價專賣
page 5	中山八區形勢尚緊我編組民眾院抗日團
page 5	澳門存米充足米價回跌
page 5	股票漲勢稍挫昨成交總值七萬餘元惟市底仍甚穩定
page 6	國展第二日觀眾極為擁擠今晚展覽時間延至十二時止遊藝區亦延長時間
page 6	回教儉婚會在港九擴大宣傳公開講演並舉行座談會參加集團結婚者已數對
page 6	日機襲葵涌投彈約二百枚
page 6	模型飛機協會昨舉行第三次理事會議議決訂定徵求會員辦法
page 6	偷竊糞桶糞業會建議加鎖
page 6	溫莎餐室聖誕大貢獻
page 6	聖誕假期郵局辦公時間
page 6	華僑教育周尚先生一席談
page 7	港滬埠際足球賽滬隊中止來港總會接得上海正式來函報告月底開會編配新年足球秩序
page 7	滬國際杯足球賽中華勝英軍最後五分鍾義臣一脚定勝局萬餘觀眾笑哈哈
page 7	傑志足球隊明晨征澳預定比賽四場
page 7	新春足球義演華聯定期選人巴那比犯規案廿七審理
page 7	小球友誼賽記者戰黑星
page 7	協會陸運預賽成績優良明晨舉行決賽
