page 1	社評美國選舉戰正式開始
page 2	蔣總統離京飛徐鄭等地開封大火空軍出動猛炸守軍仍在龍亭一隅之地苦鬥
page 2	程潛主湘陳儀主浙劉瑤章長平市孫渡主熱政院臨時會議昨天通過
page 2	郵資又要加價平信一封兩萬元
page 2	廣州通信美援與粵漢鐵路的復興
page 2	八市將設警備旅
page 2	白報紙進口傳將取消限制
page 2	劉不同談美援美方如提條件應當拒絕不能飲酖止渴斷送民族前途
page 2	凱士本在京談話配售米並非津貼
page 2	張厲生任政院副院長內政部長由彭昭賢繼任
page 2	黨化教育何時終止被捕學生那天釋放粵省參議員抨擊教育現狀對姚寶猷的報告熱烈質詢
page 2	大水捲去生命財產
page 2	閩湘災情慘重福州洪水橫流當局束手洞庭湖畔災民面臨死亡
page 2	不要美國救濟品清華教職員八十人參加美籍教授溫特也在其中
page 2	監院六次會議通過同意權行使辦法
page 2	賣官鬻爵你知道嗎倉丁舞弊你知道嗎黃秉勳也被質詢一番
page 2	廣九路機工怠工潮平息
page 2	粵各江水退今年大概不會鬧水災了四邑等地急振開始辦理
page 2	對我官司方人士談話香港政府方面的反響無意拖延中港協定的全部實施對改變香港地位一點感覺興趣如我方主張入境領照也可照辦
page 2	沒有錢談不到建設謝文龍答覆參議員
page 2	縣長應當民選否則談不到改革縣政
page 2	韶關練兵處將遷到廣州要編訓三個美械師
page 2	張黛琳不食是間歇性的醫生初步檢查報告
page 2	梅縣城郊機場下月內將修復以便解決運鈔問題
page 3	美共和黨擬好競選政網代表大會即將開始討論外交政策項目佔重要地位
page 3	戰爭與和平史達林的想法蘇聯不會發動新戰爭如遭攻擊決全力作戰
page 3	共和黨大會前夕真像跑馬不知誰跑第一看樣子範登堡杜威最有望
page 3	將有兩種馬克出現東德也擬改革幣制蘇佔領當局召開經濟會議蘇京廣播否認封鎖邊界
page 3	戴高樂又演說也是為十月選舉增加資本
page 3	國際勞工組織考慮日再入會
page 3	英法比工潮將平息談判後資方接受了要求罷工工人日內可望復工
page 3	美屢說支持聯合國怎不肯借錢建會址聯合國官員大感失望可能將會址遷去歐洲
page 3	再會吧印度蒙巴頓返英
page 3	菲勞工菲化法國會還未死心
page 3	華萊士抨擊杜魯門說他妄自尊大不能勝任職務
page 3	盛傳九國共黨會議據說要向馬歇爾政策進攻
page 3	霍奇飛東京與麥帥商談
page 3	英國有剩餘婦女二百萬他們不肯嫁十二種男人
page 3	日生絲出口量達戰後最高峰
page 3	馬來在恐怖中各地團體曾被警局搜查一日之內捕了三百多人
page 3	菲內戰完結了游擊隊領袖飛到馬尼拉與季里諾作和平的握手
