page 2	社評美參院通過租借法案
page 3	美加緊援助民主國參院通過租借法案預料總統今日批准後即實行
page 3	倫敦泰晤士報力斥日陰謀利用泰越糾紛從中漁利排演偽裝的仲裁怪劇
page 3	共黨參政員缺席問題蔣委長說明政府態度
page 3	滇緬鐵路工程積極進行中明年德爾菲即可通車
page 3	對松岡訪德事赫爾拒絕批評
page 3	畑後六囈語
page 3	泰越和約尚待畫押
page 3	余漢謀撥款振濟災民並派員前往慰勞
page 3	黔省呈請政院提高桐油價盡量收買以防資日
page 3	美紅會贈我碎米八千包即由美輪運到
page 3	滬貧民搶米
page 3	參政會請政府興築新公路由西康直通印度及緬甸
page 3	共黨參政員所提兩度條件之內容
page 4	南路日軍被迫撤退在各地縱火聲稱目的已達
page 4	美國陸軍加緊擴充添置飛機訓練人才機械部隊陸續成立
page 4	荷印訂購大批閃電戰車已與福特廠訂立合同
page 4	美農業計劃八週年紀念美總統廣播準備以糧食供給民主國華萊斯亦發表演說
page 4	西約翰親王作復位準備晉號為巴希隆那伯爵
page 4	英西貿易英以小麥橡膠換取大量水銀
page 4	法屬摩洛哥德軍又增一批監督實行休戰協定
page 4	德國又施神經戰略
page 4	話說當今英格蘭六輿論廣播宣傳三民治精神的測驗倫敦一月八日航信
page 4	大西洋暴風雪美東北部大雪
page 4	德機又襲英投下重量炸彈
page 4	蘇聯軍隊調防加強黑海防務駐希德使照會希總理強調聲明望終結戰事
page 4	民主國之時機
page 4	德國對南逐漸蠶食
page 4	英伊在埃談判兩國外長皆出席歷數小時始完畢
page 4	蓋達狂吠攻擊美國
page 4	蘇盛大紀念婦女節農工職業婦女三千萬人參加
page 4	英艦轟沉義國潛艇另游擊船一艘亦被俘
page 4	東非英軍活躍穩紮穩打進迫阿京各線空軍異常活躍
page 4	目的已達
page 4	富人應多盡力
page 4	羅國經濟依附德義
page 4	德方尚否認助日南侵謂德義技術人員不在南進日軍中
page 5	日軍竄擾南路經過目的在掠奪物資陽江電白水東均遭重大損害
page 5	日本經濟力的透視二黃馮明譯
page 5	粵促進職業教育教廳分令各校切實辦理撥款補助成績優良學校
page 5	粵徵收屠宰稅撥作地方自治及建設之用
page 6	本港各界昨日追悼朱子橋募集紀念朱氏事業基金杜月笙錢新之各捐五千
page 6	大嶼山開發委員會明日前往視察李佐臣談開發該島計劃難民得其所糧食可自給
page 6	婦女節售花成績頗佳
page 6	崇正濟難會響應春禮勞軍撥款二萬元匯呈蔣委長又二萬元捐助各地善團
page 6	粵救委會聯救隊電港請求援助
page 6	警察偵探總長談保衛團本週出勤先由中區開始次及各區訓練完竣者已有二百名
page 6	華僑文員會婦女團徵求團友
page 6	厦大校友懇切慰留陳嘉庚再電陳氏繼續籌振工作並請林主席蔣委長勸慰
page 6	台山廣海等地難民逃抵本港據談日軍進犯經過甚詳我軍奮勇抵抗斃日甚多
page 6	清華同學昨晚聚餐籌備紀念卅周校慶
page 6	新運婦女會換物遊藝會
page 7	南華會春風得意五比一勝光華德祺碩友活躍合演雙翼齊飛聯賽錦標形勢愈穩定
page 7	德權鼎聯賽英美得利昆侖輸一球
page 7	督憲杯足球賽華聯今天選人
page 7	香港會率師苦戰輸士葛兩球高路特機警兩番建樹賓琪守大營勞苦功高
page 8	站穩我們的戰鬥崗位紀念三八而寫
page 8	國際婦女運動回顧與前瞻怎樣紀念一九四一年的三八
