page 1	社評法幣的前途如何
page 2	副總統選舉今天投票于右任孫科呼聲較高
page 2	國大會場又是一幕活劇討論永久機構提案秩序大亂代表免費用交通工具案通過
page 2	高聲喊打卻怕人看名字
page 2	美援物資來了首批米棉價值五千萬美元明天由萊克斯輪運抵上海加拿大飛機軍火成批湧到
page 2	許多人喊下來下來
page 2	有些代表不走跑到主席台上
page 2	昨晨國務會議國代立委糾紛一併解決所用辦法不外增加名額
page 2	難民紛紛逃上海告貸無門難生活有位大人勸大家別施捨他說這樣難民就不來了
page 2	上海又捕工人其中一個名叫吳國楨
page 2	手工業玉碎記續
page 2	中大學生發表罷課宣言院系聯合會昨成立
page 2	陳誠反躬自省搜集別人批評他的意見
page 2	打倒祝紹周南京遍貼這樣的標語
page 2	風雨飄搖出版業最大障礙是沒有言論自由蘇州的書店只敢賣線裝書本報滬版開座談會討論
page 2	張資平審結判刑一年三月
page 2	桂永清將赴穗還要去海南島
page 2	王懋功抵靖港
page 2	一切為了軍事粵省將架設有線電話網東南公路弊線積極動工
page 2	粵公務員待遇確定四月分照新標準發九成一價領公糧數額照上月辦理
page 2	新聞處招待記者胡善恒報告財政
page 2	宋子文返穗
page 2	濰縣解圍應縣垂危臨汾激戰共軍入關跡象漸顯                                                             
page 2	連日風風雨雨旱象已成過去
page 2	人權保障保出人來警察局說確是強盜滬市參會人權保障會作的事
page 2	築堤工作加緊進行堤工米金調整十足發給
page 2	傳韋瓞初脫險他的家人還未證實
page 2	反對公用事業加價粵穗參議會採一致態度粵參會請撲滅廉江湛江鼠疫
page 2	禁賭令具文而已穗街頭劈拍不絕製賭具商人居然請領牌照
page 3	義兩院議席分配已定政府黨未能絕對控制參院共黨不用暴力游擊隊解散
page 3	義兩大左翼政黨傳將被宣布非法社會黨表示決武力抵抗
page 3	義普選揭曉杜魯門滿意
page 3	英國清共記
page 3	各地有小騷動一共黨黨部被搗毀
page 3	義選舉後新動向要加入西歐同盟
page 3	美人話蘇聯軍火生產力超過戰前本年國防預算六十億
page 3	協助援歐計畫實施哈里曼任巡迴大使
page 3	美軍部又索軍費國防部防部長要求擴大陸軍請國會增撥四億八千萬贊成空軍擁有六十六個大隊
page 3	蘇聯雖非黃金國去年積存黃金多
page 3	成功湖畔舌戰未已巴力斯坦血戰又起美國託治計畫未提付表決
page 3	南北韓聯合會議開幕四十六政治單位代表到會首要議程是檢討政治局勢
page 3	英國法官幽默妙判日本工人色膽包天
page 3	美洲集體反共多國在泛美會議中提議通過議案譴責共產主義
page 3	驅逐歐洲勢力美國不願參加
page 3	甘地自傳下月問世
page 3	美棉貸日六千萬元將借出
page 3	柏林撞機責任未明英蘇均要對方賠償蘇並要求實行航空新管制
page 3	英國轟炸機隊將赴星洲演習
page 3	鑾披汶新內閣獲暹議會信任
page 3	韓人拒讀日本書不肯送子女入日本學校東京韓僑學校照常上課
page 3	星洲選舉行引起不滿英國議員提出質詢認為馬來亞人民完全反對憲法
page 3	馬冷毀於砲火僑胞損失慘重
page 3	聲光化電
page 3	新聞自由會議通過條約多項
page 4	中華廠聯請求撥地港府覆函允予協助所撥地段用來建築工人宿舍
page 4	統一售貨合同廠聯將予討論
page 4	雨落知多少
page 4	紀念勞動節工團分別籌備
page 4	沙田別墅被劫
page 4	徐繼莊案昨續審何嘉裕出庭作證百樂門舞廳司理亦被傳
page 4	英人注意香港機場保守黨議員在下院議論殖民地大臣將有所聲明
page 4	買匯帳過戶經過
page 4	賣汽船清償債款
page 4	二路巴士撞著電桿一人吐血一人斷腿
page 4	米麪與糖可作包裏寄
page 4	號稱五百年堂忽遇眼前厄運相命先生被劫十元軒鯉詩道警察出動
page 4	董事長是否孫科
page 4	由香港到海南島
page 4	日本貨滾滾來將在本港舉行樣品展覽
page 4	中航運請客乘坐新機旅行港穗
page 4	西裝婦人藏劍被拘
page 4	經濟壓迫下一青年自殺
page 4	萬福士劫案獲疑匪五人
page 4	因勒索嫌疑幫辦抓稽查
page 4	人力車減租問題勞資今舉行談判
page 4	麗池花園開放日昇工廠停工
page 5	黃金市場空多鬥法前日搶購黃金數千兩昨日拋出黃金萬餘兩
page 5	運金飛機在印被扣
page 5	內匯全面徐升申匯最高八○五元省匯最高七七五元
page 5	期鈔價格高逾現鈔
page 5	股市成交九十四萬
page 5	美匯靜寂貢紙疲　
page 5	英鎊區美元漏洞正擬訂堵塞辦法
page 5	美元漏洞兩條途徑英鎊區美元的漏洞
page 5	碧瑤世界稻米會議經過二
page 5	白銀一批輸往美國
page 5	香港出入口署發表上月對外貿易數字入口一億七千萬餘元美國首位出口一億一千萬餘元英國第一
page 5	輸英冰蛋六批洽妥
page 5	豬鬃行市
page 5	來源稀成本高港地米價回漲
page 5	外匯管理收效不多
page 5	西藥市價回落新貨陸續到達
page 5	東北流通券通匯地點可能增加
