page 2	僑胞資金的安全問題論節約建國儲蓄運動
page 3	英美集中注視遠東美將加強東方政策松岡抵賴謂同盟非對付美國
page 3	華北美國僑民迭受日人欺侮
page 3	滬日人在租界內連日續捕我同胞
page 3	西南聯大仍將遷川昨日開始上課
page 3	滬法租界工潮又起公共交通完全停頓法文報華員亦罷工
page 3	滬汪機關報又發現炸彈
page 3	越北日軍續向桂南撤退戴古與日軍部隊長聯歡
page 3	蔣委長雙十通電勉國人節約儲蓄多節一分浪費多培一分元氣多儲一分現款多增一分實力
page 3	桂省民食可望無虞糧價將予平抑湘米週內可到
page 3	日機窺滇見我有備遁去
page 3	粵港青年會隨軍服務團已抵桂林將赴前線
page 3	國慶紀念日各國紛紛祝賀滬市民眾熱烈慶祝
page 3	美水兵被毆案告一段落滬日方向美道歉
page 3	國慶紀念日國府授勳
page 3	所謂上海市長被僕役砍斃朱升逃逸搜查無著
page 3	聯合一致
page 3	遠大眼光
page 3	永久和平
page 3	黃帝子孫
page 3	崇高敬禮
page 3	外來阻力
page 3	兩種阻力
page 3	國慶紀念
page 3	錦繡山河
page 3	革命主義
page 3	民國二十九年國慶林主席勗勉國民抗戰使命重大應奮鬥到底繼續先烈遺志以完成革命
page 3	創業維艱
page 3	松岡的膽怯表示唯恐美對日作戰
page 3	英眾院議員主張對日禁運軍用品
page 4	德國佔領全羅保土希邊境形勢吃緊蘇聯態度仍然緘默
page 4	美停付羅國存金召回駐德義代辦
page 4	美菲官員考慮充實菲防務賽雅曾與海陸將領長談一切應變準備尚待推進
page 4	遠東局勢醞釀中泰徘徊瞻顧對法擬重提要求繼續談判一面在東北邊境集中大軍
page 4	美國增強夏威夷空防砲隊千餘人候輪出發加強防軍亦在考慮中
page 4	日外交界續有調動二見任駐泰公使召回巴城總領事
page 4	美向荷印搜購橡皮
page 4	古巴總統正式就職
page 4	建川美次昨啟程赴蘇謂必改變彼此性情方能與蘇成立親善
page 4	東鄉茂德將離蘇返日
page 4	高爾抵非洲此行殊饒意義
page 4	白副參謀總長談視察六省觀感前後方軍民均朝氣奮發各方面建設有長足進步
page 4	荷政府開徵自動所得稅將撥稅款大部充實荷印國防
page 4	挪德當局沒收挪人武器包括刀劍與槍砲
page 4	對日要強硬
page 4	空心湯圓
page 4	鄂中我迫進荊門臨安東展開激戰皖南蠢動日軍被擊潰
page 4	蘇聯研究旋風氣候
page 4	英援華會紀念我國國慶郭大使各國認識中國握東亞命運在我不在日
page 4	美製機廠將日夜工作加緊製造軍用機
page 4	貝當臚列法新政策不締結錯綜盟約不模仿外國政權
page 4	蘇聯紅星報評論中日戰局各地華軍隨時機動出擊日本勢須從事二次戰爭
page 4	北歐著名軍事家撰文論歐戰德義兩國求和心切繼續作戰未見樂觀
page 5	南華迎戰香港會光華遭遇米杜息大小告山奴投奔九龍會
page 5	南華逢香港
page 5	雙十節萬人空巷爭看華聯勝西聯癲馬首開紀錄黃毛八面玲瓏老惠連取兩關阿輝扶創建功
page 5	海軍鬥九龍
page 5	場邊花絮
page 5	球壇見聞
page 5	田徑對抗比賽港大壓倒嶺大
page 5	域多利會中西渡海泳陳震南打破廿六年前舊紀錄
page 6	普天同慶前日全港僑胞熱烈慶祝國慶國旗飄揚各界休假一日聯合大會參加者數千人
page 6	各界聯合慶祝
page 6	婦女界升旗禮
page 6	華商總會慶祝
page 6	勵志社聚餐會
page 6	回教徒慶祝會
page 6	防禦鐵料被竊當局注意防範沙輔頓警司昨發表談話希望市民警察通力合作
page 6	居民密報當獲重賞
page 6	羅文錦談儲糧有備無患並非謂本港入緊急狀態對移民例當為僑胞著想
page 6	商店警察通力合作
page 6	培英中學
page 6	教聯會常委參觀堅民公司工廠
page 6	中化分會演講會九日晚請韓組康氏演講我國西南部工業狀況
page 6	帝航機遇風
page 6	對英獻金
page 6	地質學家
page 6	霍亂疫症埠
page 6	法大使
page 6	防空壕洞
page 6	病症統計
page 6	新總統船
page 6	兒童劇場理事會今晚開會
page 6	重九雙十花絮
page 6	破壞防禦罪不容誅
page 6	勸大同學大會
page 6	贈旗成績報告
page 6	圖書館開幕禮
page 6	港九廠商聚餐
page 6	九龍各校體操
page 6	模型飛機比賽廿七日舉行昨開始報名本報捐贈永久銀杯一座
page 7	桂林踴躍捐募寒衣代金突破原額四倍總數可達十四萬餘元
page 7	中山三塘日軍全部撤退
page 7	日軍登陸後烏石港哀鴻遍野負傷平民百數十人存鹽數千擔被　去
page 7	張群對戰地同胞廣播上收復失地是抗戰目的 
page 7	桂參議員徐培等十三人當選
page 7	海外部長吳鐵城離馬尼拉赴南島十日轉往南洋群島
page 7	綏西民眾自動參戰英勇故事王大虎兄弟抗日馮彪隻手繳三鎗
page 7	汕頭海面日艦雲集日台人紛紛落船
page 7	美匯牌價略縮申匯市況微淡
page 7	昨日股票市況穩靜成交四萬餘元
page 7	國幣價格昨略下降
