page 2	社評整頓學風
page 3	美總統向國會報告對華援助將更積極增強運輸力量代華訓練空軍軍事代表團已由美啟程來華
page 3	美海軍出動護送物資運英範圍包括美洲與冰島附近如遇軸心艦艇即予消滅
page 3	美眾院議長賴朋談話白宮曾討論修改中立法問題總統將提出租借擬款案
page 3	美參戰軍人會開會羅斯福致辭美為安全與自由之象徵應不計犧牲維護其信仰
page 3	列寧格勒外圍展開空前血戰大雨傾盆德軍給養愈困難中路紅軍仍猛烈反攻
page 3	美中立法效力縮至最小範圍美船隻將運載軍用品赴英國本部外之屬地
page 3	美軍事當局檢查電訊交通但無意檢查新聞
page 3	阿根廷議院譴責德大使
page 3	格拉第抵印度討論礦產運美問題
page 3	芬閣員表示願對蘇休戰謂達到目的即放下武器
page 3	英大量坦克車運赴蘇聯前線
page 3	努德森氏演說呼籲增加生產
page 3	伊朗王退位由太子謨罕默德繼位德僑問題伊處境困難
page 3	輿海空軍威脅美洲美海部幫助辦之演說
page 3	美議員促政府擴充菲島防務使成為美國之新加坡並主在聖誕島設根據地
page 3	經緬運華貨物免納過境稅美國已獲得通知
page 3	馬達維亞停閉汪逆兩報
page 3	美兩院聯會同意徵稅案
page 4	郭外長重申我信念繼續抗戰到底爭取正義和平德夫古柏謂遠東民主國陣容強盛
page 4	外匯管委會組織大綱
page 4	鄂中我軍奇擊敵向沔陽潰退江南我軍向宜興外圍襲擊
page 4	我首任駐洞澳公使徐謨遞國書中澳關係闢新紀元
page 4	粵文化界舉行國民協會
page 4	吳鐵城歡宴羅慕洛
page 4	英大使飛星
page 4	張嘉璈返渝即到交部辦公
page 4	在張先生靈前本社新機構告成設立董監事聯合辦事處綜攬渝港桂三報館事務
page 4	行政院會議決定褒揚張季鸞派于浚吉為國勞會代表
page 4	美赴蘇代表團團長里曼抵英即將轉赴莫斯科
page 4	日設國防司令部目的在對付美蘇我軍事發言人之分析
page 4	軍事負責人宣布福州整肅方針因地處海防之最前線應置於軍事管理之下
page 4	短評美中立法變質
page 4	肅清　　
page 5	桂謀肅清煙毒組織煙禁檢查隊定十月間出發負責澈底巡查務使六年計劃不致半途而廢
page 5	季鸞先生哀思錄
page 5	中國史上之大教育十二
page 5	第三屆美術節全國美術會在陪都慶祝中宣部將設藝術宣傳處
page 5	外部次長錢泰談離比情景認美日談話難有結果
page 5	粵西鹽務局公布新稅粵南西江桂境稅率分別規定原日場岸正附各稅一律取銷
page 5	貴陽動態
page 5	渝市點滴
page 5	上海敵僑人數竟突破九萬名共計三萬七千七百餘戶居住閘北虹口為數最多
page 6	颶風昨午掠過港由港南十數哩轉襲澳門水雷流入港內渡輪停駛
page 6	張季驚先生逝世華民司慰問本報
page 6	公務員加薪研究委會調查工作完成計劃擬定呈英當局核准
page 6	明日紀念九一八
page 6	山頂警察被風吹下
page 6	港口海內發現水雷
page 6	慶祝雙十
page 6	普益商會表示反對戰時強迫保險制度存貨每月繳保負擔過重將意見通知商會呈政府
page 6	平糶會售菜已收效果平糶會前日會議
page 6	官米局衛生米改期明日發售昨日因風關係籌備未妥公共飯堂購食者仍擁擠
page 6	希特勒的傑作九一八公演籌賑傷兵金山王瑩等名劇人主演
page 6	警察當局實行新例肅清煙賭破獲煙窟業主亦被起訴字花字膽仍有秘密開設
page 6	庫務當局取締拖延繳交差餉發現有故意取巧事宜將協同警察拘捕控案
page 7	雙十節足球義賽今日開會討論對抗隊伍陣容即將可產生裁判小組會同日舉行
page 7	全港冠軍游泳賽正選名單公布五十碼自由式泳將引人注目女子勵進實力甚強橫
page 7	運動與疲乏
page 7	標準田徑測驗展望
page 7	廣東省加緊籌組省際體育訪問團
page 7	港僑校際水運會廿四開始預賽報名學生可免費到居聯練習二十晚截止報名
page 7	鐵城杯今晚如無風雨將有兩幕比賽
page 7	四角游泳對抗改期舉行
page 7	華雄田徑隊約戰星島將作偉大對抗
page 7	體記聯誼會五元券極暢銷
page 7	外匯牌價俱無變動美匯沉寂申匯仍穩
page 7	颶風襲港影響股票市況靜穩昨成交總值四萬餘元
page 7	滬標金市先跌後漲
page 7	國幣市況略形鬆馳
