page 1	社評東南亞的糧食問題
page 2	總統就職典禮明晨舉行政院昨例會後提出總辭新行政院長人選廿一日提出
page 2	立院開始正式大會昨天討論議事規則草案同意權問題議而未決
page 2	揮淚話農村
page 2	甘乃光使澳
page 2	公教人員本月待遇分區支給標準決定第一區指數四十六萬倍
page 2	會場花絮
page 2	民青兩黨還在掙扎
page 2	陰雨連綿長江水漲武漢人民擔心水患
page 2	張群過生日便餐招待友好
page 2	臨汾應縣都在惡戰
page 2	老河口國軍撤守熱境激戰國軍越古北口馳援
page 2	布列特昨返京宋子文曾和他密談數次開發華南事有具體決定
page 2	筑杭聯運第十第二兩運輸處合辦
page 2	馬鴻逵馬步青自蘭州抵西寧與馬步芳有所會談
page 2	安置上海難民最好送贛開墾滬社會局有此打算
page 2	粵當局增加稅收地價重新估定按卅五年原價提高五十一倍省務會議昨天決定
page 2	穗民營工廠配煤不夠用廠家叫苦連天
page 2	省立學校職員聽說也要裁汰
page 2	旅客帶黃金被非法扣留穗憲兵不懂金融管制法規
page 2	蘇浙沿海風雲南匯縣一鎮長率部譁變在三灶港下海揚帆南去
page 2	廣州配米質劣無比有的霉爛發黑有的混了泥砂商人退回的有十一萬四千斤據說六月分配米都是好米了
page 2	化學術語名詞編譯館已編就
page 2	謝保樵抵曼谷
page 2	廣州增城間客車被洗劫
page 3	史達林聲明願與美調協接受華萊士建議為談判基礎表示兩國問題可以和平解決
page 3	華萊士聞訊感奮認為蘇真誠議停止冷戰盼華府適應世界人民要求
page 3	南京四十九教授發表對新政府的意見
page 3	從事冷戰到底美政府不作聲對史達林聲明絕對緘默
page 3	世界最大航艦美國在建造中
page 3	義喀斯貝里內閣一改再改未改好
page 3	原子管制休矣原子能委會決議停止工作
page 3	美國給錢援助有條件將要求各國貨幣貶值
page 3	美作示威性的宣布試驗原子武器成功
page 3	英工黨開年會討論草擬下次競選計劃
page 3	辛威爾當主席致大會開幕詞
page 3	暹政府懸鉅賞追尋被劫黃金下令停止黃金貿易
page 3	搜尋日掠奪我機器我代表團頗有發現數週來找到千二百餘件
page 3	被劫銅幣萬噸我要求日歸還
page 3	美力圖削減日賠償陸軍部建議減至一億六千萬由美獨斷獨行不管遠東委會中蘇既得國外資產抵銷算數
page 3	布疋交換羊毛日澳成立協定
page 3	耶路撒冷激戰阿軍兵臨城下迫降猶軍反擊攻入阿古城亞克
page 3	蝴蝶專家樂死漫畫聖手被控
page 3	蘇承認猶太國土耳其表示將支持阿人
page 3	硫磺可治痲瘋電耳能聽心聲
page 3	美向安理會提建議頒發聖地停火命令斷定巴力斯坦局勢危害和平
page 4	華商總會今天開會高庭不發制止命令選舉是否合法尚須由庭研究
page 4	警署不作特別戒備
page 4	明日燃放爆竹辦法港府憲報昨日發表
page 4	今日議程
page 4	今日下午舉行大會參加者可達二千人
page 4	四百多個會員籲請息事寧人並不承認訴訟費用
page 4	古索和保大連日會商復辟事
page 4	總統就職慶祝日程
page 4	婦女習藝所二期縫級班結業開始招收第三期
page 4	廠商會再電在英代表請要求英政府防止日貨傾銷
page 4	英國工展會上港貨頗受注意各地商人注意港產織品
page 4	襲擊沙頭分卡原來預埋地雷
page 4	西營盤警署又破毒窟
page 4	偷來九百元立即換新裝查出判刑三月
page 4	肥田料又到一批
page 4	法庭昨審元朗綁案鍾生供述被綁經過
page 4	港九人力軍租糾紛雙方談判毫無結果同意仍請勞工處解決
page 4	騎劫巴士匪三人被判刑
page 4	六個蒙面賊劫金戒衣服
page 4	中山一記者在港跳海圖自殺說是為了生意失敗店號倒閉
page 4	兩人藏煙分別判刑
page 4	國語進步的改些長蛇出現警士圍剿夏季發財最後機會
page 4	歸僑帶槍赴穗車站上被查出步槍三枝手槍一枝子彈七百餘顆連人扣留
page 5	貨物走私內運劇增走私路線各有不同通常先運東江再轉廣州分發各埠
page 5	本港工業界提高品質減低成本俾與日貨競爭南洋市場
page 5	試論我國化學肥料工業的前途下
page 5	全經會議定原則新設行莊開放京滬等重要都市除外惟資本額已特別提高
page 5	美匯盤穩金價揚息去九分交收萬餘兩
page 5	桐油收價前日調整
page 5	南京金鈔繼續上升受外匯調整刺㦸
page 5	穗市行莊廿日休息
page 5	滬銀根緊勢依舊國幣內匯看齊
page 5	國際救濟糧食我獲四十萬噸上半年先撥廿四萬餘噸
page 5	黃金市場晨漲午回
page 5	滬米麵平人絲紗布挺穗紗布米麵一齊上揚汕頭米回麵升紗布漲
page 5	出口商輸入所需原料憑許可證結匯不受貨物抵埠提證限制
page 5	近週上海市況一言蔽之大漲小回
page 5	政院訓令滬警局禁止糧食運出不准輾轉買賣提單
page 5	星洲豆類售價下游香港來途日旺
