page 2	社評民主勢力的分析與展望
page 3	象山港外發生戰事我軍在佛渡山堅守粵各路續勝閩江口外轉沉寂
page 3	桂省慰勞團定期出發工作將赴渝向蔣委員長致敬
page 3	葉劍英談我軍新戰略前線反攻Ｘ後牽制Ｘ軍進展極感困難
page 3	鼓島工部局拒絕Ｘ要求自來水供給將被斷絕糧食問題仍極感恐慌
page 3	邊境衝突聲中蘇日戰鬥力的檢討續
page 3	Ｘ軍俘虜供出厭戰情形
page 3	桂林獻金總數達三萬元
page 3	浙境我軍在各地縱橫創Ｘ
page 3	滬一槍殺案屍體被Ｘ方運走
page 3	蒙自治會下月舉行會議
page 3	河口設僑務局何伯祥任局長
page 3	蔡寧主教今日離渝飛滇
page 3	滬難民蘆棚多被颶風吹毀
page 3	高鑫寶前日已被釋放
page 3	統一繳解捐欵獻金辦法國民政府明令公布
page 3	豫鄂皖游擊戰我創勝利紀錄在各地殲Ｘ甚多
page 3	菲島團體電蔣致敬願以經濟協助
page 3	東北我軍襲Ｘ建功破壞天寶山銀礦斃Ｘ官兵三百名
page 3	美國教會擬募捐五百萬救濟中國難民
page 3	蘇蒙軍渡河進攻
page 3	倫敦方面觀察汪逆無法登場繆逆斌對汪揶揄備至願與汪共服從王道
page 3	北路慰勞團向蔣鼎文獻旗參加民眾五千餘
page 3	桂省學校限用國語教學
page 3	馬鴻逵獻金百萬作犒賞將士之用
page 4	對未來東京談判英國態度持重對主要問題決不妥協輿論亦促授採堅決立場
page 4	日對談判原則仍圖擴大範圍
page 4	各地反英風潮繼續高漲不已
page 4	英政府西慈再發新訓令日內將繼續談判澄清所餘各難點
page 4	英政府公布三項追加預算陸軍最多達七千餘萬鎊空軍及供應部為數較少
page 4	美國民意的轉變二
page 4	英法德義間小糾紛迭起義驅逐南泰羅爾外僑含有政治及軍事性質
page 4	英簽兩商約分別貸欵希羅
page 4	英法議員談話討論援華制日對我英勇抗戰表敬意英空軍日內將再飛法
page 4	今日法國國慶英衛隊旅及海軍將參加軍事遊行
page 4	英各地商會定十七日在倫敦舉行十五屆大會
page 4	羅斯福注意中立法問題傳即將有所動作正與赫爾會商中
page 4	日德勾結日本財實兩界亦派代表赴德
page 4	英法議員的正論
page 4	Ｘ方之自供
page 4	英加緊擴軍
page 5	Ｘ軍無力大舉小股竄擾中山沿海民房客車不斷遭Ｘ焚擊當局厲行清奸並訂賞則
page 5	潮安陷落記
page 5	Ｘ艦艇封鎖竹排沙
page 5	壯丁檢閱團黃公柱談粵成績好
page 5	連縣分區土地登記
page 5	郭永鑣談增從線我軍戰果四五兩月斃Ｘ千餘攻入增城收復兩墟
page 5	芒街幫長捐款救濟祖國難民國府振會致函申謝
page 5	澳門徵募藥品
page 6	燈火管制廿七日晚演習政府將頒燈火管制法例居民悉須遵守違則處罰
page 6	學生賑濟會七七獻像成績尚在收集中約逾二千元因當考期未能大舉出動
page 6	申報停刊全體同人今晨開會
page 6	泉州輪運來魚蔬為數無多市價仍貴
page 6	報界工潮發生經過
page 6	售花欵已逾一萬元
page 6	美賓省大學贈嶺大女生學額
page 6	社會秩序警探嚴密維護輪船碼頭檢查加倍嚴厲港澳旅客輪船均受影響
page 6	購債運動週成績僅七萬餘元
page 6	學賑會改收會費將派員赴各校徵收
page 6	地久天長皇后平安今日開映
page 6	古鼎華代表招待各界呼籲援助藥物救濟傷兵難民
page 6	大潭灣海面軍用機失事墜海飛行過低因避懸崖而墜兩飛行員不及逃生溺斃
page 6	救濟學生委會補助學生二百六十餘名學年即將開始繼續登記
page 7	去週棒球不歡事件裁判員職責檢討問題中心應研究球證退出是否合理聯會向報界發表書面報告
page 7	皇后會網球追記克拉姆出風頭印選手在決賽中無生望力格斯曾淨輸兩個光盤
page 7	輕重量級王位戰昨夜舉行
page 7	梅窩新泳場明天揭幕
page 7	小型球
page 7	華體排籃球賽待秋涼後舉辦
page 7	游泳之意外及救生三
page 7	全港水球賽兩華媾和結果一比一
page 8	外匯牌價無變動申匯市況仍屬穩定匯豐渣打吸進申鈔七十萬華商銀行續大量吐出申電
page 8	英格蘭銀行購進金條共二千餘萬鎊平衡紙幣額
page 8	股票續趨穩健買户給價仍低成交有限全日交易僅五萬五千元
page 8	八九金市仍屬穩靜買賣稀少價漲半仙
