page 1	要使工業能生存
page 2	憲政促進會續開會行憲法規將付審議立院已完成各法規立法程序
page 2	關於五院組織司法行政部仍隸屬於行政院立法院內增設十七個委員會取消最高法院改設民刑兩庭監察使及各地使署亦均取消
page 2	行政院組織法全文
page 2	日本半月六大可憂慮的賠償問題
page 2	美金債券發行事宜積極進行中財政部委託央行辦理基金監理會組織規程公布
page 2	共同施政綱領即可公布民社青年兩黨名單尚未提出雷震留滬續與兩黨人士接洽
page 2	我向美借款截至去年底近二億
page 2	準備接收大連趙家驤即謁蔣主席請示龔學遂將於最近赴東北
page 2	日戰犯兩名在平判處死刑
page 2	魯境國軍分路續攻泰安陝北延川附近仍有激戰
page 2	本年度田賦續徵實各地配額較去年度增加
page 2	渝破獲販毒案主犯在逃三從犯押訊中
page 2	湘粵購糧糾紛
page 2	李承晚即由美啓程來華
page 2	水豐電廠產權與蘇方交涉尚無結果
page 2	榕市民主報被搗毀該報招待同業報告經過
page 2	聯總運華機車首批昨運抵港
page 2	榕市緊急措置禁止遊行罷工
page 3	馬歇爾推動外長會工作力主集中討論德國問題美可能在賠償方面對蘇讓步希望蘇對德政權能表示妥協
page 3	杜史舉行會議清除美蘇間歧見美國一議員如是主張美艦將遊弋北歐
page 3	法蘇聯歡賈德魯招宴蘇外長
page 3	談南洋保僑問題
page 3	英蘇會談討論修正同盟條約英國希望在外長會議閉幕前結束延長盟約有效期之談判
page 3	土耳其總理發表反共演說
page 3	美國人反共
page 3	招降遊擊部隊期滿希政府將下令總攻美民意測驗贊同援希計劃
page 3	杜德喀尼斯島今日交還希臘
page 3	巴叛軍進迫京城離亞松森四十哩
page 3	英國財政困難今年將借債三萬萬鎊
page 3	美海長贊成援希政策稱海軍隨時準備作戰
page 3	埃京英軍全撤調蘇彝士運河駐防埃表示不延長運河讓與期
page 3	魯爾區罷工蔓延桂特蒙德城遭波及
page 3	蘇聯名將安葬
page 3	蘇聯糧荒法官員之觀察
page 3	法越準備談判殖民部長發表聲明波拉特離印飛越南
page 3	下屆泛亞洲會議可能在中國舉行印尼代表飛印出席大會
page 3	立院會議昨通過立委選舉罷免法
page 3	國際食米會議五月間在印度舉行邀請中美等八國代表出席
page 3	印回衝突不已五省均有騷動
page 3	聯合國召開特別會議阿拉伯國家表示反對祕書廳非正式徵求中法蘇意見
page 3	日眾院今日解散新選舉下月開始
page 3	美國關切遠東普林斯頓大學校慶討論遠東文化問題
page 3	美境煤礦爆炸百餘工人活埋
page 3	對日和會在東京召開盟國駐日官員之主張
page 3	英國人口停止縮減生死相抵
page 4	日麗風和春來上海女人們都換了春裝南京路上的柏油和青年們一樣敏感
page 4	郵件分區編號制度四月一日起實行請市民合作上海郵政局將設立行動郵局
page 4	兒童健康比賽舉行體格檢查
page 4	聯總本地職員要求加薪限分署於今日答復
page 4	中國藥學會明日召開年會同時舉行展覽
page 4	楊蔭溥演講當前金融概況
page 4	本屆滬市運動會體育表演辦法擬妥公佈
page 4	季朱聯姻本報又一喜事
page 4	鉛印業工會昨成立選出理監事等共十七人
page 4	戈林畫展明日最後一天
page 4	行總棉花供配紗廠本週內即可實行
page 4	滬康定路三盜行劫搶去現款鑽戒手鐲等物
page 4	青年自殺吃DDT救治不及已殞命
page 4	吉普車肇禍同濟學生受傷
page 4	中醫進修班畢業無檢覈資格
page 4	市長盃足球賽青白淘汰蘇聯
page 4	大學足球賽同濟獲冠軍
page 4	滬江今日繼續罷課不滿學校當局答覆
page 4	大學院系教部討論調整
page 4	舞女大班漸告絕跡
page 4	體協籃委會今日拔選中美賽代表
page 4	聞蘭亭開刀經過情形良好
page 4	羊毛類限額太少毛紡織業製定統計表今呈輸管會請求寬放
page 4	藥品供應將屆旺季製藥工業需要原料
page 4	新疆和平局面上下都具戒心迪化遊行鬥毆事件平復本報記者南京迪化間飛行視察記
page 4	黃河堵口合龍後開封味蒓樓有鯉魚大會淮河水淺蚌正輪船停航
page 4	西壩武劇工人向台上拋石武生對台下擲桌
page 4	工程物料合龍萬歲文有錯實存之數誤實用
page 4	著匪廖炳南又入太湖騷擾
page 4	警員強姦婦女吳涵天被拘送法院
page 4	交際電報電信局訂新辦法可隨電代辦　券
