page 2	社評國聯會與援華
page 3	鄂中掃蕩皂市重光京鍾路上日有勝利紀錄天門之Ｘ仍在我包圍中
page 3	放開口袋捉老鼠鄂Ｘ中計受創計被殲兩聯隊以上預定企圖完全粉碎
page 3	晉南偽軍續有反正者
page 3	晉南我軍勝利土門克復Ｘ軍心動搖
page 3	津造幣廠Ｘ人的徵發所勝負的測驗器
page 3	我軍進迫杭州筧橋機場起火延燒
page 3	齋藤隆夫寫給兒子的信禱告神佛祈求平安厭戰情緒溢於言表
page 3	桂參議會昨日開幕
page 3	滬偽機關月薪改發偽幣偽員多感不安
page 3	寧波被炸蔣匯欵救濟
page 3	延安各界舉行精神總動員宣誓參加三萬餘人情況熱烈
page 3	粵參議員金曾澄等抵韶
page 3	生產會議宣言開發農林工礦交通乃經濟建設之主體
page 3	粵動員會設法根絕Ｘ貨在各縣市區組會辦理
page 3	媚Ｘ下場豫北偽軍數百被Ｘ繳械擊斃
page 3	國聯行政院開幕將討論我國申請英援華會發表重要宣言
page 4	英法閣員談話結果甚為圓滿雙方意見已趨和諧日內瓦將繼續會商
page 4	鮑爾溫演說贊助政府政策反抗侵略之偉大力量決非黷武國家所能敵
page 4	德義軍事同盟定今日簽字義外長齊亞諾昨抵柏林德方加意招待故示友好
page 4	阿富汗公使過港赴日履新認我必獲勝利
page 4	靜靜的安寧河續西康踏入記
page 4	但澤德人暴動襲擊海關搗毀房屋專員車夫亦被毆打
page 4	帝國航空日各地舉行航空表演全國民眾熱烈慶祝
page 4	加拿大慶祝英王生辰金氏設宴款待
page 4	墨索里尼演說虛張聲勢自誇自大之言祇能麻醉人民
page 4	真理報著文稱蘇海軍強大戰艦日在增加中兵員技術亦猛晉
page 4	荷蘭女王明日抵比報聘各方甚為重視
page 4	蘇航空家抵法大受歡迎
page 4	荷屬東印度華僑愛國情殷努力為祖國捐募款項迄今總額達一千萬元
page 4	Ｘ對歐局態度內部意見分歧加入德義軍事同盟事陸海軍當局爭辯甚烈
page 4	美陸部定購大批轟炸機為世界最新式樣
page 4	日圓慘跌即自造其因當自食其果
page 4	德立商約已正式簽字
page 4	德羅兩國已同意對商約實行予以補充
page 4	Ｘ外相報告鼓島事件解決
page 4	海參崴大學藏書豐富以中國百科全書為其中最名貴者
page 4	華北鐵路屢被我軍破壞
page 4	Ｘ人的毒化政策
page 4	侵略者的悲哀
page 5	克復篁莊杜阮鄧部乘勝進攻江門會城我仍三面控制殘Ｘ西江下游Ｘ軍尚圖蠢動
page 5	川滇東路八百里三脚踏車週覽記
page 5	汕頭當局情報鼓浪嶼形勢仍緊Ｘ艦集中四十餘艘英美法海軍亦增援
page 5	中山小欖善後
page 6	港九澳中華義學今日開始報名下月三日考試中旬開課三區報名地點三十餘處
page 6	洋務工會舉行國民宣誓昨晚十時分三區舉行同時舉行第二次焚債
page 6	霍亂症今年已死十五人本港每年夏季霍亂
page 6	港九小學生故事演講比賽今日報名截止明日抽籤廿五廿六分在港九舉行
page 6	陶淑女中
page 6	學賑會慰問隊昨冒雨慰問深圳難民捐助食物並表演歌劇
page 6	洪流劇團
page 6	筲箕灣西半山山泥傾瀉埋沒小屋慘劇一老婦兩女童慘遭生葬般含道平地昨突然低陷
page 6	食水全日開放擬於今日實行十九日至廿日得水四寸預測今日仍將繼續落雨
page 6	黃花崗義演盛況歐陽予倩親自登台致謝所有壽禮今日送賑聯會
page 6	英國名記者貝特蘭抵港
page 6	新新職工
page 6	中國救亡劇團名劇義演期近民族萬歲保衛祖國台兒莊之春佈景服裝道具偉大逼真
page 6	本港救世軍在九龍籌建新會舍
page 6	本港無線電話裝設計劃擬就但有若干細節尚待研究港府與關係方面磋商中
page 6	英淺水砲艦
page 6	太平戲院
page 6	郭蘭馨昨招待文藝界
page 7	中法台杯賽尾聲許承基發揮威力力戰四盤卒擊退名將貝脫拉何仁軒究遜一籌不敵比沙利
page 7	台杯錦標預言二却令治週澳洲遇美國勝負關鍵繫於雙打賽
page 7	南華對干和艦改今日再戰南征人選今晚可決定
page 7	星洲中華足球隊征越三勝一和一敗克服南圻甲戰績彪炳
page 7	夜戰西聯平分春色
page 7	中華女子籃球粵港英雌分道揚鑣
page 7	盧振暄案解決被判停賽兩年
page 7	公開棒球聯賽昨又因雨改期
page 7	過去四個月內港金融動態外匯市況屢呈緊勢八九金價創新紀錄
