page 2	抗戰經濟三問題
page 3	晉東南日軍受重創我軍乘勝進迫晉城豫北道清睡西段不斷接戰皖南犯至德日軍被我擊退
page 3	法新任駐泰公使嘉魯已抵曼谷西貢以西秩序漸恢複
page 3	渝桂昆饒無線電話已開放商用
page 3	長谷川清任台灣總督日本急圖南進徵象之一
page 3	以糧納稅聞中央將批准實行
page 3	上海米價繼續猛漲每石已達百元
page 3	德特使史塔馬傳又將赴日本上海未證實消息何多
page 3	日本人力恐慌努力增加婚姻
page 3	上海日憲兵侵入美學校迫改用課本美領已向日抗議
page 3	漢花旗銀行決停止營業
page 3	日退役海軍大將倡言對美開戰日報認美日關係危機重重對野村使美成就不敢樂觀
page 3	湖南耆老胡元倓逝世畢生盡瘁教育當局將予褒揚
page 3	日本已拿出法寶來了
page 3	甘振興水利
page 3	復興邕寧省府已派員計劃工程民眾歸來者絡繹於途
page 3	行政院會議任馬丕烈為青省財廳長取締囤積辦法修正審查
page 3	蓉各界歡迎張群到代表二千餘情緒至為熱烈
page 4	　軍被殲四師團將陷入大包圍希軍續進再佔要地阿人亦乘機反抗義人
page 4	高爾返英
page 4	所謂現代戰爭歐戰第二年頭消耗激增英每秒鐘須費一百餘鎊
page 4	英東方集團會議決加緊工業戰擴大生產互濟有無
page 4	巴拉圭發生閣潮內長陸長均易人
page 4	德機不斷襲英海峽又起砲戰
page 4	北愛總理將由安德里斯繼任
page 4	巴爾幹受蘇影響局勢漸趨向穩定保總理外長不赴柏林
page 4	匈商務部長瓦爾加抵義接洽商務新諒解
page 4	美財政援英赫爾表示應予切實考慮英大使再晤羅斯福商談
page 4	代墨索里尼算賬
page 4	英勞工領袖警告美國人民納粹有侵略西半球野心
page 4	亡國慘痛波蘭新舊教徒橫遭摧殘
page 4	抗戰資源中的鎢銻錫五
page 4	聖誕節不停戰邱吉爾在眾院之表示
page 4	英軍事專家論義希之戰義軍之敗影響軸心聲威德軍援義實際並非易事
page 4	阿爾巴尼亞境內簡圖
page 5	黃旭初視察龍州夏威談日軍潰退原因邕寧縣府開善後會議
page 5	粵二期節儲額逾二百廿萬年底可超過千萬元
page 5	甘肅旅渝同鄉歡迎谷正倫
page 5	昆明防空節我機飛翔市空機聲雷動民眾興奮以觀祿國藩周鍾嶽蔣夢麐有重要演講
page 5	江東楊雲史贈詩李伯豪
page 5	良口戰役有功民眾獲獎粵省府會議通過給予獎金二百元
page 5	澳門僑胞準備疏散
page 5	西康日記二一二第十編神秘的木裏
page 5	陳玉潛抵韶籌設東江辦事處
page 5	張翹柳部開抵江會作戰各界紛紛慰勞
page 5	重慶點滴
page 5	四川橫斷記
page 5	中新交通又告斷絕
page 6	日機轟炸鯊魚涌日軍在大亞灣登陸人數不詳我軍曾予抵抗大鵬輪昨仍開往鯊魚涌
page 6	虛傳日軍侵入淡水
page 6	竹崗我軍奮力抵抗
page 6	中華民生工業社舉辦出品展賣會下月十八日起會期三日女華民司任展賣會主席
page 6	立法局明日會議移民法例將提出二三讀羅文錦談減低證費一層將痛陳利害請政府考慮
page 6	中國文協文化講座昨晚舉行開學禮
page 6	李浴日由韶飛港粵糧食問題解決
page 6	本港市民營養不足者多肺癆等症死亡數字激增司徒永覺定期公開演講
page 6	移民局增設新辦事處在利舞台對面
page 6	粵救護分會徵藥委會將發表告各界書
page 6	婦慰會農植訓練所首期開始報名下月二日起隨到隨考限於經費僅取五十名
page 6	港越貨運間接維持經由澳門轉運
page 6	本港製革工業
page 7	全港公開陸運會耶誕日在加山舉行
page 7	南華陸運前瞻
page 7	培英後勁充足西南苦戰敗退初級組賽保羅力克英皇學界籃球今日仍有四場
page 7	西南對南洋
page 7	南華會主辦桌球讓賽下月二日開始
page 7	協會修章案六團體函覆協會
page 7	美菲荷匯牌價回縮英匯沉寂申匯微淡
page 7	國幣市況依然穩定
page 7	四四金市仍屬靜寂
page 7	股票市況靜寂昨日成交一萬餘元
page 7	女子體育表演今晚在中青會舉行
page 7	仿林戰南華
