page 2	社評美國援英法案與孤立派
page 3	中美友誼益見增厚蔣委員長表示欣慰我抗戰勝利後絕對實行憲治國內團結緊密今後更無問題
page 3	英重視泰越糾紛日操縱泰國威脅英利益侵越日軍與越南政府磨擦日甚
page 3	英國各大學專設講座演講中國問題
page 3	綏省厲行三字禁令贓官以六十元送命
page 3	筑報界發起獻機運動各報舉行義賣
page 3	緬記者定期廣播在蓉備受各界歡迎
page 3	國府明令褒揚陳烈
page 3	日軍侵華之懸崖九嶺光復是役日軍死亡逾四千重睹天日民情振奮
page 3	英著名雜誌論中國債券
page 3	對美國擴軍日惴惴不安各報重視美艦改編石村論英美有合作可能
page 3	慰勞總會發動大規模勞軍運動望各地同胞一致響應
page 3	熱心可嘉王春光慷慨獻穀何九淑捐款有功
page 3	費吳生氏訪問滬孤軍
page 3	孤島雜訊電車增價日醫遇刺
page 3	日海軍又圖犯浙東舟山島一帶激戰中平漢南段日兵車觸雷
page 3	蘇真理報申明蘇立場採取和平友好政策
page 3	川省五區行政會議十三日在渝開幕
page 3	改進西北畜牧農部在蘭設改進處四川生絲輸出日增
page 4	地中海戰事新階段德方宣稱空軍首次參加作戰北非英軍加緊進攻擴大勝利
page 4	英空軍把握北非制空權
page 4	德機火襲倫敦圖毀金融區投下燃燒彈數千枚樸資茅斯亦遭猛襲
page 4	納粹統治下的歐洲各國現況一
page 4	澳陸長抵新加坡作廣播演說日本已與英國敵人結盟在國防上澳新益覺重要
page 4	自由法國艦隊擁有軍艦達三十艘
page 4	馬爾泰島空防鞏固
page 4	溫莎公爵將赴美參觀空軍演習
page 4	伊拉克擬派使駐美現僅駐有名譽領事
page 4	美派代表赴英商根據地問題細則議定後即可正式簽約美艦將可使用遠東英屬地加將在西部建立空軍據點
page 4	英對德義加緊封鎖壓迫達爾頓之堅決表示
page 4	日內瓦屢次發出警報
page 4	紐約一美輪突告起火輪上載有援英物品或非故意縱火所致
page 4	蔣委員長談話
page 4	德加入地中海戰事
page 4	英泰關係
page 4	比利時將告糧絕麵粉供應告竭
page 5	桂招致旅馬僑胞獎勵投資墾殖劃也荒地九處可設十二墾區當局協助進行並予一切便利
page 5	日軍杉山帥團開抵中山日艦砲轟　涌一帶
page 5	江南淪陷區內人民生活愁慘日人嚴厲統制物價飛漲煙賭遍地鄉間盜賊如毛
page 5	南路重要公路著手興工修復各縣市加緊防空設施
page 5	桂林簡報
page 5	申守眞談桂省司法現狀若干地區擬增設法院監獄設置亦將謀改進
page 6	我駐英大使抗議港實施移民法例
page 6	飛機郵船試行檢證
page 6	廣州來港者人數日增市面不安物價激漲
page 6	鯊淡途中
page 6	准許社團擔保客商
page 6	代領證處限期撤銷
page 6	港留日同學會會員大會昨日選舉二屆職員金曾澄十五人當選
page 6	外勤記者會昨日舉行大會進行籌募經費
page 6	我留學埃及學生繞道過港返國係奉我教部令回國服務港回僑準備舉行歡迎會
page 6	嶺大師生籌募古桂芬獎學金基金額一萬二千五百元息金設農院獎學金兩名
page 6	華廈別墅東方小天堂
page 6	崇正總會在鯊淡路設立臨時救傷醫院派救傷隊一隊前往服務並挖掘辦公防空洞三個
page 6	我海關再申前令禁私帶貨幣出入口超過二百元可沒收充公須事前向海關聲請登記
page 7	淒風苦雨中作戰南華敗走愉園三比一星島會力克勁敵從此錦標前途重露曙光
page 7	戰後觀感
page 7	協會乒乓賽在孔聖會擧行
page 7	光華吐氣揚眉警察喪師花墟二比七造成空前慘敗
