page 1	社評第三勢力在法國
page 2	隴海路國軍兩路迫開封白沙蘭封等地戰事激烈劉茂恩孟昭瓚等據傳已殉職
page 2	立法院今天祕密會議何應欽報告河南戰局財政金融委會修正財產稅法俞大維申訴國營交通的困難
page 2	政院忙於編造預算希望月底前送交立法院政務會議通過五市續配售米中山交通等三大學校長易人
page 2	張群抵平週後返京
page 2	北平通訊故都雜綴
page 2	總統咨文監院提出司法考試兩院人選
page 2	反對美國扶日川湘鄂學生都有行動川大教授電政府呼籲
page 2	對日問題政府將有聲明
page 2	美國飛機零件賤價賣給中國值一元者只收兩分
page 2	保衛內河航權五個航業團體開會商量必要時不給美國船領港
page 2	蘇州獄吏目無法紀尅扣囚糧亂打犯人
page 2	南遷之風頗盛東京方面有此傳說
page 2	司徒抵平傳將辭職
page 2	事實勝於雄辯評美駐日政治顧問的聲明續完
page 2	宋子文出席粵省參會提出施政總報告並答覆質詢參議員對施政情形有所指摘
page 2	漢奸不該上台物價為何狂漲
page 2	宋氏答覆保安團即將訓練好兩萬精兵即可運用
page 2	徐景唐受圍攻任用縣長標准無能第一政治風氣太壞何不改善
page 2	空頭支票沒有用金字招牌要收起
page 2	宋子文幹了些甚麽對老百姓痛苦置諸不顧對民營工礦事業不扶植
page 2	何來豪門資本這是共黨口號
page 2	粵省軍情如何參議員十六人問黃鎮球對他說的戰果很是懷疑黃氏承認共軍越打越多
page 2	與美秘密談判應該停止省府黑市顧問用途何在淩維素書面質詢
page 2	滬關員復工
page 3	美國決定擱置對日和會不願蘇參加又不敢拒蘇參加今年不想召開了明年也難說
page 3	美國對日花樣多麥帥又有新主意想把日本變為亞洲的瑞士
page 3	日本如此整肅千餘人中只有一名被懲盟總整肅處宣告結束了
page 3	新德里通信印京六月冰雹
page 3	競選共和黨候選人杜威希望激增說服馬丁讓給幾十張票
page 3	裕仁的前途蘆田諱莫如深
page 3	費城一片罵聲罵民主黨罵杜魯門罵羅斯福罵蘇聯罵共產主義
page 3	澳洲與日本想多做買賣貿易代表團赴日
page 3	美共和黨討論政綱通過外交政策項目范登堡的國際主義派勝利
page 3	馬亞騷亂未已新事件又有廿九人喪命英總司令召集軍事會議
page 3	立國未及兩月猶人竟作䦧牆之爭政府軍與伊爾根軍火併
page 3	原子能委會蘇反對結束否決美國計劃
page 3	不甘共和黨辱駡民主黨反唇相稽
