page 2	社評如何修明政治
page 3	北非英軍閃電進攻闢新戰場實際援蘇里比亞德軍受創敗退五十里
page 3	滬美軍所遺防區由工部局警衛淪陷區英僑候輪撤退
page 3	戰場狂風暴雨泥沙坦克齊飛
page 3	平準基金會工作範圍擴大注意供給後方商業外匯
page 3	敵輪一艘被我截獲敵兵一網成擒
page 3	美日談話與中國民意致紐約時報的一封公開信
page 3	澳生力軍續抵星洲
page 3	參政會電慰領袖並慰問東北同胞
page 3	各組審查員名單
page 3	敵機散放鼠疫細菌
page 3	贛北我軍活躍襲擊南昌外圍中牟殘敵仍作困獸鬥
page 3	日臨時議會結束宮澤直言竟指為犯罪
page 3	黔省推動滑翔運動
page 4	寇里傳將再度來華美日談話無進展中美英密切接觸
page 4	越當局甘為虎倀盜取我電線日艦南駛威脅泰越芳澤談話油腔滑調
page 4	維布親德撤換魏剛美國提出警告對法關係將重新決定
page 4	納粹荼毒歐洲處死十三萬人
page 4	美日談話與中國民意
page 4	美煤礦工潮事件總統作最後呼籲要求繼續生產提付仲裁
page 4	一週之間美艦五艘下水較原定期間提前數月
page 4	美第一艘武裝商船週內即可出海三四後一切商船武裝完畢行駛太平洋商船亦配置大砲
page 4	美飛鷹機隊參加英空軍
page 4	德軍八師拚命進攻蘇京北部吃緊伏洛加蘭斯克血戰中克里米亞蘇軍已退出克爾治
page 4	高加索之大門羅斯托夫激戰
page 4	目議會閉幕
page 4	美墨換文一切縣案冰釋煤油爭執問題解決兩國另成立兩經濟協定
page 4	威爾斯親王浩蕩過角城
page 5	越南敵不斷增加大批米糧被搶運回國我僑民財產損失重大
page 5	瓊游擊隊英勇襲敵
page 5	柳州點滴
page 5	曲江擴大籌募教育經費基金
page 5	平準工作之檢討下
page 5	粵南破獲偽造關防妨害役政案陳生表示決依法嚴辦全案現在嚴密審訊中
page 5	桂省呈請創辦國立師範學院
page 5	敵軍在滬法租界逮捕兩俄婦傳與間諜活動案有關
page 5	海康鹽商捐款購機
page 5	黃荳運銷粵省減半徵稅
page 6	港府擬在必要時徵用一部學校校舍以充戰時各種機關辦公警方昨向校長徵詢意見
page 6	旅美洪門領袖司徒美堂抵港即將返國任行政院參議代表洪門向蔣委長致敬
page 6	花紗業商會呈請政府撤銷花鈔統制認為所定公價虧蝕過鉅停止出倉影響工業生產 
page 6	郵差獻機游藝節目豐富
page 6	夏利臣總統輪駛滬接載防軍該輪昨起發售赴滬頭等位票嘉蘭號續東來經港赴滬
page 6	港府公共食堂二十三所完成
page 6	港童軍會年會港督昨日親臨觀禮頒獎全部童軍人數達千餘名
page 6	馬會全體馬伕昨晚宣布罷工要求增加工資至三十元全部馬伕共有八百餘人
page 6	青山道發現製機槍機警探供述破獲詳情兩處有機槍零件廿四挺拘獲十人昨日審訊完結
page 6	光華同學會今晚舉行聚餐
page 7	督憲杯糾紛解決下月七日舉行各華會不放棄參加比賽義務華聯隊選拔權仍歸協會負責
page 7	鐵城杯三角對抗中青戰南華下午七時半在青支球場南華如得勝利穩得錦標
page 7	加軍多能人進行接洽各項友誼賽貢獻體育好身手
page 7	學界籃球賽下星期頒獎
page 7	網球籌賑會繼續開會各方捐助踴躍
page 7	乒乓埠際賽澳代表來港
page 7	中青冬泳團旅行新界星期日出發
page 7	撫恤黃翔遺族義賽男女健兒選定籃排球好手全被邀請改廿六廿九兩晚舉行
page 7	大公排球隊上山遇勁敵處女戰一比三敗於南方李生演出博好評
page 7	滬星籃球隊約戰星島
page 7	國幣價格尚稱穩定
page 7	股票市況仍無進展
page 7	滬標金價先漲後降
page 7	申匯市況靜穩美匯仍乏生氣
