page 2	Ｘ閥之最後掙紮
page 3	粵南空氣益見緊張北海民眾開始疏散海口鈴亞灣等處Ｘ艦集結廉北遭轟炸繁盛區成灰燼
page 3	豫Ｘ無進展擬確保已佔據點我軍乘機進襲中
page 3	英輪被炸英方發表宣言向Ｘ要求賠償
page 3	張發奎余漢謀等通電聲討汪逆黃炎華胃合力奮起撲殺此獠破Ｘ毒計
page 3	戰地心影錄一昨日本報桂林電稱軍風紀視察團團員王造
page 3	上海四郊Ｘ兵散發反英刊物
page 3	中英信用協定雙方正在磋商
page 3	桂慰問團向委座獻旗典禮莊嚴肅穆領袖親臨致詞
page 3	陳部長痛斥汪兆銘賣國喪盡天良媚Ｘ求榮顛倒黑白極堪痛恨
page 3	長沙孤女取名水仙英船員募教育費
page 3	世界和平協會援助我國抗戰致函國民外交協會報告最近重要決議
page 3	滬租界當局商穩定米市
page 3	大北公司職員在滬遇刺斃命Ｘ報誣其曾扯下偽旗眾疑被殺與此事有關
page 3	祝宗樑袁漢俊自承刺程兇手ＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸＸ
page 3	美名記者今晚在渝廣播
page 3	華僑青年紛紛過桂從軍
page 4	德國野心益顯明英法決心援波和平會議不能無波蘇德故弄玄虛不足重視
page 4	英波協定將簽字各項問題均獲同意英國負無限制義務
page 4	德波代表談判中解決雙方各項懸案經濟問題亦在商討
page 4	島國縮影
page 4	匈外長在德活動極詭秘官私方面消息互相矛盾又傳昨午已飛羅馬
page 4	對身體狀申請英法院允發傳票英國對法幣存銀問題決不與日本單獨解決
page 4	外匯黑市之長期穩定對策四
page 4	英教育界擁戴邱吉爾聯名電張伯倫請邀邱氏入閣
page 4	羅匈邊境衝突羅兵二名被擊斃已向匈政府抗議
page 4	英法土協定現已完成即可簽字
page 4	美財長行抵瑞典將赴芬蘭一行
page 4	西班牙南部恢復總督制
page 4	斯比爾案日方審判無期斯氏所受待遇極惡劣缺乏運動健康受影響
page 4	一碗飯運動美國援華救濟會十月底將再舉行
page 4	美國廢品Ｘ徬徨無策祗得靜觀局勢演變
page 4	法國轟炸機三次突擊倫敦市民仰觀極為興奮
page 4	關於上海謠言
page 4	羅匈發生糾紛
page 5	Ｘ偽軍萬餘人沿廣九路北犯樟木頭平湖展開激戰
page 5	西線Ｘ軍調動頻繁我反攻軍事積極
page 5	從七七到八一三五
page 5	萬縣難民總站半年來難民進出統計
page 5	避免Ｘ機荼毒嚴密防護設備行政院指示應付辦法粵省府飭屬切實改善
page 5	桂省改進農業推廣實驗縣
page 6	中英邊界緊張英軍已嚴密戒備兩艦出巡維持領海主權增派陸軍分佈邊區警戒Ｘ機十二架飛過港領空
page 6	魚販不甘落後定期舉行義賣商會獻金台昨日已結束無名氏老乞丐獻金十元
page 6	熊貓
page 6	聖約翰同學會明日遊覽清水灣上海聖約翰大學同學會
page 6	戰地攝影員皇后平安今日起演
page 6	冠蓋往來
page 6	今天請買一朵花多買一朵花多救一條命
page 6	航訊一束
page 6	香港澳門學校概覽如期出版內容豐富
page 6	惠屬同鄉昨歡送黃伯才
page 7	國際棒球錦標賽決定廿六日開幕比賽採用淘汰制下月二日即可結束岷甸奴艦來繼續兩場補賽
page 7	米杜息調防明日足球改期比賽
page 7	游泳賽第二日陳震南出風頭八百八十碼壓倒羣雄百碼自由式競爭最烈
page 7	日光浴不用錢的健康劑
page 7	籃球義賽青支再戰思思
page 7	光華整頓軍容兩隊新兵下月初開始向友隊挑戰招兵買馬鄒文治將出山
page 7	瑣事記
page 7	英美滙市均靜寂申滙牌價略漲市況穩定
page 7	八九金市仍穩但靜買賣不多價少起落
page 7	股票仍乏生氣時局影響買戶多存觀望全日成交總值十二萬元
