page 2	社評上海外匯黑市問題
page 3	格魯豐田會談頻繁若杉日內即將返美日對外商務幾全部陷於停頓滬傳近衛又將發表空洞聲明
page 3	邱吉爾宣布防日進一步侵略英美有具體商定
page 3	蔣廷黻招待中外記者暢談我政治新猷統一財政為行政上大改革
page 3	美名作家發起移稿費援華已有賽珍珠等六十餘人參加
page 3	訪緬團返國在緬備受朝野熱烈歡迎為對我人民友誼之表現
page 3	澳洲的力量三
page 3	澳首任公使談話讚揚我國抗戰不屈不撓之精神尤為澳人所敬佩
page 3	美總統代表格拉第抵荷印盛讃泗水海軍根據地
page 3	援華貨物經緬免徵過境稅緬官方正式宣布
page 3	張先生逝世前病狀的經過肺病而外罹肋膜炎氣管炎敵機炸汪山使病體益不支
page 3	大量原料由英運赴蘇聯美國對蘇加緊經濟援助
page 3	美日傳將商妥交換撤僑辦法
page 3	英大使卡爾訪晤郭外長
page 3	外部常次錢泰視事
page 3	贛北戰事激烈宋埠失而復得我殲敵三百正尾隨追擊中豫東敵軍向毫縣潰退
page 3	芳澤使越日閣例會決定
page 3	德夫古柏昨抵星洲
page 3	教部創辦國立女子師範派江學珠為校長
page 3	英國徵聘操華語英人調往緬甸服務
page 3	唁電續誌
page 4	中路紅軍大勝殲滅德軍八個師團列寧格勒迄未被包圍
page 4	德軍攻蘇不利民氣大受影響
page 4	冬季即將來臨戰事結束無望
page 4	月色皎潔下柏林成火場德報忿怒發出悲鳴英機損失達二十架
page 4	美貨輪鋼航號在紅海被炸沉羅斯福總統將有表示
page 4	德國對土正加緊壓迫巴本與希特勒長談又圖迫土加入軸心
page 4	美國國策的檢討主動攻勢與被動守勢二
page 4	伊朗接納英蘇兩國要求允將德僑交與英蘇撤軍界線亦已商定
page 4	德將再度發動大西洋之戰英首相在眾院報告德將不惜敵對美國
page 4	英挪聯軍佔領斯俾茲伯根島
page 4	該島礦藏甚豐且具軍事價值
page 4	英國又一主動步驟
page 4	美國商船一批將下水航運問題可迎刃而解
page 5	粵成立邊政指導會訂定三年計劃調查全省邊族徵集文獻文物推廣保健教育培植邊教人才
page 5	全菲華商團體開代表大會出席單位百餘代表二百餘人楊總領事演講加緊抗建工作
page 5	中國史上之大教育家六
page 5	韶市物價無理增漲當局嚴密注意防止
page 5	粵湘桂三省發展農田水利四行繼續貸款千萬元農本局籌設機器紗廠
page 5	韶關桃色事件陳水雲案朱興樹不服上訴高四院定期公審
page 5	幾度遷址披荊斬棘中山大學近況調查
page 5	粵停止納金緩役頒布辦法限期結束
page 5	清遠城北猛虎為患採樵婦母子被害
page 6	防止不良分子入港領入境證限制加嚴規定保證人資格七項
page 6	平糶會售　飯決定十五開始該會調查港九飯店情形所定標準較飯店者為佳
page 6	中蘇文協港分會今日下午四時開籌備會會長孫科東請名流參加
page 6	職業婦女會昨舉行兩週年糾集會
page 6	赴印考察團定於下月四日出發南僑閩考察團過港
page 6	軍事演習今日結束登陸敵軍悉被殲滅防軍實力充足固守邊陲
page 6	打不平的文化交流起來紀念中蘇文協香港分會成立
page 6	保良局定週末售花
page 6	防空工程續審審查馬士文公司各賬目注意建築防空洞之費用
page 6	總統輪駛滬載美僑返國大部係由日撤退者
page 6	一元獻機常委會昨選定各組負責人林培生生辰費節約捐輸華南汽車學校首先響應
page 6	勞資糾紛仲裁委會昨開首次會處理的士司機案委員名單昨日正式發表
page 7	星島會足球隊今日約戰海軍下午五時三刻在銅鑼灣球場劉祖儒孟義良試脚頭
page 7	中國棒球老將軍祖父梁扶初提倡棒球運動不遺餘力成立青年棒球團學子百餘人
page 7	鐵城杯新青對吐倫居聯戰友聯
page 7	青泳團對抗星島隊有精采表演
page 7	體育家脚中
page 7	足球義賽五元名譽券體育記聯會預售
page 7	銀牌賽揭幕民大破居聯
page 7	中華水球決賽今晚頒獎又字隊對新隊
page 7	東方足球隊昨向總會登記
page 7	尖事記
page 7	外匯牌價仍無變更美匯沉寂申匯微淡
page 7	股票轉趨活躍人心好轉需求大見增加昨日成交達十八萬餘元
page 7	國幣市况稍趨下游
page 7	滬標金市起跌稀微
page 7	滬匯黑市仍無交易
