page 2	從有田報告說起
page 3	桂南日軍不斷增援有沿鬱江東犯企圖邕賓線山地險要均在我手中浙東加緊圍剿日軍傷亡甚重
page 3	英國援華會致電蔣委員長表示積極援助我抗戰促政府不承認汪政權
page 3	川專員會議昨日在蓉開幕
page 3	一元法幣運滬五百萬元應舊歷年需要
page 3	畫家張善予蘇州舊宅被搶劫所蓄老虎亦不見
page 3	英國對華政策不變仍遵守九國公約原則對日汪密約正注視中
page 3	論實行憲政之時期與國民大會之性質
page 3	滬又一槍殺案妙齡女朗被人擊斃
page 3	西南邊疆教育考察團由桂出發深入傜山
page 3	滬西問題解决工部局偽市府合設警局共同維持界區之治安
page 3	達賴轉世禮改二十四日舉行
page 3	川省府計劃發展絲業三年內植桑在百萬株
page 3	厦兒童劇團南路工作隊出發前線服務
page 4	美參院外委會將討論對日禁運問題華盛頓不滿有田演詞認美日關係無法改善
page 4	郭大使訪英外次談英遠東政策英使館昨發表宣言更正上週外間謠傳
page 4	日本議會重開米內有田等均有報告外交唱自主經濟無辦法
page 4	天津日軍屢圖滋事英日交涉糧食問題
page 4	日蘇劃界問題日自承棘手劃界委會宣言發表日對蘇仍竭力防範
page 4	日本煤荒軍輸用煤大增工業最受影響
page 4	史泰倫堡任法軍步兵中尉
page 4	巴爾幹會議今日開會德要求各國闡明態度土南外長均發表意見
page 4	張伯倫演說述海軍功績主自由貿易赫爾認為與美觀點脗合
page 4	法軍前哨突破德軍戰線德方軍事調動頻繁或為大舉進攻先兆
page 4	我的奮鬥新版已在柏林出售反蘇言論未予刪改
page 4	英瑞會商援芬芬代言人論蘇軍戰略
page 4	美兩年建艦計劃眾院海委會已同意預算約為六萬萬元
page 4	英法注意羅油運德問題油公司多由英法資助德因羅不履約表不滿
page 4	桂南的沉寂
page 4	應有的質問
page 5	粵今年施政方針黨政役三方面盡量興利除弊目前要政救濟粵北戰區
page 5	瓊崖我軍出擊三路襲大林衝入市內發生巷戰
page 5	陽江沿海情勢稍告寧靖
page 5	顧翊羣談粵金融穩定省券準備金充足日偽陰謀決難逞
page 5	粵省公務員提高薪俸
page 5	桂三青團發動春聯義賣籌款慰問征兵家屬
page 5	椰風蕉雨中荷印的前途下
page 5	江會日軍調動頻繁中山濟難會赴荷塘散賑
page 5	南路行署各部人員委定
page 6	歲暮劫案頻生居民須注意防範總偵探幫辦談賊黨伎倆事事謹慎使其無機可乘
page 6	藝術觀賞會決定每月舉行昨日參觀者共約千餘人下月展覽馮已千氏珍藏
page 6	農曆新年開放食水六日起至十二日止
page 6	二次白晝防空演習擬本月底舉行地點擬在東區筲箕灣十餘萬人購防毒面具
page 6	女子駕車失慎墜入九龍水塘幸遇兩英軍官駕車經過見義勇為入水救之出險
page 6	粵省府招考二期計政員由廣州大學代辦
page 6	港大入學試六月舉行報名者六百餘人
page 6	同立成雜貨店由津運到大批年貨
page 6	學賬會舉行慈善遊藝換物會定廢曆年初二三四舉行港九各校擔任徵募物品
page 6	學賑服務團電影義映今日假東樂舉行
page 6	出版消息
page 6	大地晨鍾中央戲院今日起映
page 7	征滬埠際足球隊今晨動程北上大告統領一行十五人
page 7	滬華聯代表陣容昨產生
page 7	大生杯排球賽漢中出兵明日迎戰英皇
page 7	跑的藝術
page 7	瑣事記
page 7	光華改佈新陣週末迎戰警察
page 7	協會乒乓團體賽頒獎日期延擱足球部定今日下午開會
page 7	英美匯市況呆滯申匯牌價略漲市況續淡
page 7	股票市況不振買賣稀少成交僅萬餘元
page 7	麥基倒霉
page 7	八九金市仍乏生氣
page 7	本港去年度各種物價指數糧食與五金漲勢最勁疋頭價格則微見下降
