page 1	有關政府威信的一件大事
page 2	陝北國軍迫近延安濟南外圍共軍發動攻勢國防部發言人否認泰安收復
page 2	張垣綏區檢討會閉幕傅作義談北部國防綏署約邀專家開經濟會議
page 2	中央銀行業務之檢討
page 2	平行轅會議商平古線防務
page 2	平市機聲隆隆
page 2	民社黨建議書昨日由蔣勻田攜京將提交政府張君勱談該黨對時局主張
page 2	畢書文由南通來滬轉京
page 2	魯境難民逃京難救會商救濟方策
page 2	中全會昨晨檢討外交中委提出質詢會場空氣激烈今晨第四次大會將檢討軍事
page 2	黃河堵口工程合龍全會通過去電嘉獎
page 2	財政界人士談話改變幣制尚非其時全會提案中雖提及改革幣制審查時多數中委均表示反對
page 2	張治中抵迪化
page 2	中國民主促進會發表對時局宣言
page 2	渝市游資奔向上海
page 2	對莫洛托夫之建議貝文提出答覆同意對履行關於中國之莫斯科宣言事交換情報惟反對任何會議即非正式者亦不可
page 2	反對國際干涉我內政京市學生昨日遊行各地團體繼續有所表示當局已電各地勸阻學生遊行
page 2	平郊一工人被美兵射殺
page 2	財部告誡行莊不要參加投機
page 2	赴日記者團昨由滬抵京
page 2	美國關切大連問題國務院發言人重申美國態度希望該港立即交還中國管理
page 2	林斯賢被傳訊
page 2	陳逆皋無期徒刑首都高院昨宣判
page 2	白崇禧訪問台省參議會將赴基隆台中中南視察
page 2	白崇禧在台北茶會招待各界
page 2	中央航空公司定期試航中暹線中國昨派專機飛漢調查貸機失事真相
page 2	京實物配售明日可實行
page 2	美農部發表聲明論中國貨幣政策
page 2	贛垣鼠疫蔓延施行水上檢疫
page 2	晉省新村制定五月實行
page 2	江杓繆秋杰曾向財部呈請辭職
page 3	杜魯門定今返華府美對中國及巴爾幹政策國會有力議員要求詮釋
page 3	四外長討論德經濟統一美英與蘇聯間發生爭執史達林皮杜爾會談法不同意美英計劃
page 3	天主教在中國的現階段
page 3	莫洛托夫提出蘇聯對德計劃
page 3	莫洛托夫宴請外賓
page 3	德境難民問題馬帥發表文告
page 3	英下院討論希土問題國務大臣就援助情形答問
page 3	希臘與土耳其上
page 3	恢復對日貿易英渴望早實現
page 3	駐希英軍司令易人
page 3	希臘為表謝忱將派駐美新使美艦將訪問克利特
page 3	巴拉圭戰事擴大革命戰爭已延及巴西邊界傳有憲兵一團將加入叛軍
page 3	最小的電力馬達直徑一英寸十六分之三
page 3	巴西實施戒備
page 3	安理會波蘭代表望速開始裁軍工作
page 3	義南兩國均願恢復外交關係
page 3	比共產自由兩黨拒絕參加聯合政府
page 3	荷印衝突未已東印總理向荷抗議
page 3	印度旁省衝突日內可望結束
page 3	直接稅署抽貼用印花稅票在滬查獲違法憑證一百餘件
page 3	天津行情
page 4	實施實物配售制承銷公糧米店已核准廿三家物價評議會本月底或可成
page 4	偽特工刺嵇鯤生案昨日在中正路表演
page 4	重建和平之神市長考慮英僑建議
page 4	新亞廠解雇工人勞資已成立協義大華利解雇爭議尚未解決
page 4	商務書館糾紛勞資意見漸接近社局積極調處中
page 4	三西服店工人已復工
page 4	義警利用職務代人包運毒品薛良被捕昨送地檢處
page 4	開除工人充內線圖劫未遂被破獲盜匪七人昨送地檢處
page 4	上月刑事案竊盜罪最多
page 4	舊西湖路改稱北翟路
page 4	冬令救濟會定月底結束
page 4	姘婦賣淫度日姘夫慚愧自殺
page 4	同濟教職員發表護權宣言
page 4	私校請配給品政院批復不准小教聯繼續爭取中
page 4	暨大學生會聲明
page 4	汕隊勇猛昨又挫恩卡斯
page 4	大學體育競賽彙報
page 4	輸入輸廣會昨日開會
page 4	登記存貨逾期不報自行負責
page 4	鞍山鐵俟商定價格即可出售
