page 2	社評何謂局部的和
page 3	桂南我軍沉著前進日圖固守邕寧外圍邕欽路民眾大舉破壞交通
page 3	鄂南繼續告捷攻入賀勝橋進逼咸寧贛北我軍猛襲星子中
page 3	晉南全面出擊浮出日軍動搖
page 3	美國今後遠東政策
page 3	粵省府決定戰區善後計劃將派大員出巡督導
page 3	粵省烟禁不受軍事影響分別限期戒絕
page 3	從化縣長抗日有功粵省府傳令嘉獎
page 3	桂省當局嚴防奸宄通飭桂西各縣限制人民出入
page 3	內地日貨絕跡各省貿易較前進步
page 3	粵新仕版翁源花縣縣長易人
page 3	陳立夫由筑返抵重慶
page 3	桂省府三廳長視察南部各縣省抗日會電後方各分會設茶粥招待所招待傷兵
page 3	某軍事負責當局辯正外電誤傳晉新兵一批違抗軍令為維持風紀早已解決
page 3	滬西警權問題傳將成立妥協辦法
page 3	中央積極推進節建儲蓄運動蔣委員長夫婦以身作制
page 3	蘇州日紗廠月初全部被焚損失百餘萬元
page 3	雲南區主教甘有為抵滇就任談教皇對我關懷
page 3	湘省加緊民訓工作
page 3	汪梁王三人又傳明日在青島會議
page 3	蔣委長嘉勉紅會救護隊
page 3	豫彰德英僑遭日軍壓迫所有財物被劫一空英使向日抗議無效
page 3	美大使抵滬應美艦隊司令邀下週初乘輪赴漢
page 3	阿哈線通航
page 3	庸人自擾偽縣長被殺後無錫搜查仍緊
page 3	東北同胞受盡苦難
page 3	佛教訪問團在仰光備受歡迎啓程赴加爾各答
page 3	日本軍事外交難以打開僵局梁寒操對本報記者談話
page 3	模範國民蓉市民馬澤安親送獨子投軍
page 3	閩寧參議會先後開會議決要案
page 3	北平兇殺案偽商會會長妻被人槍擊斃命
page 3	巴縣小學教員電蔣委長致敬
page 4	畢德門將向外委會提出禁運法案紐約時報又發表正論謂日如不變對華政策美日關係無改善可能
page 4	蘇聯態度緘默對有田聲明不予批評
page 4	瑞典總理韓森表示維持中立瑞芬關係不容外力支配桑德勒主張收回奧蘭島
page 4	摩蒂演講義外交政策法西斯仍持不妥協主義對戰爭態度非永久不變
page 4	歐戰通信之五巴黎戰時新年一一九四０年元旦巴黎航信
page 4	北歐嚴寒蘇軍攻芬受阻東戰線蘇軍突後撤挪境奇冷牛乳成冰
page 4	靜岡大火餘燼未熄天氣轉寒災民更苦
page 4	波拉病危突患腦沖血症
page 4	德軍進攻空氣益濃荷比准備不懈荷政府截獲德軍重要文件新任駐比美大使提前上任
page 4	聯軍封鎖結果德經濟愈窘金屬原料大感缺乏德蘇運輸仍有問題
page 4	羅在邊境構造工事蜿蜒凡數百哩
page 4	德科學家新發明紫外光線能放射微光
page 4	美擴充海軍案駱賓森表示擁護
page 4	一個誇張的謠傳
page 4	德荷空氣轉緊
page 5	粵北捷報頻傳我繼續南下掃蕩軍田殘日已陷入重圍花縣我軍向龍口挺進
page 5	江會日蠢動犯杜阮竹園被擊退順德我遊擊隊活躍
page 5	昆明籌設華僑公寓招待返國僑胞不日即將開幕
page 5	閩著匪張雄南惡貫滿盈勾結日偽陰謀伺機蠢動圍剿四月卒死亂槍之下
page 5	罪惡的滬西曹家渡盜賊如毛愚園路烟財風行
page 5	八一九樂山被炸釀成空前浩劫延燒三畫夜損失二千萬當地行政人員難辭其咎
page 5	西康日記四六
page 5	粵北公路交通陸續恢復今後並將加強養路
page 5	梁寒操抵粵北視察政訓談粵北勝利原因
page 6	預防天花症蔓延當局行將派員逐戶檢查患者須入醫院違者處罰
page 6	農曆新年將屆賣年貨地點規定廿九日起至二月七日止本港在灣仔九龍有三處
page 6	廠商聯會理事例會議決要案四項
page 6	中賑會撥三十萬元設漁民工合社分設香港仔筲箕灣等處業務分為生產消費兩種
page 6	保良局討論疏散婦孺問題
page 6	新教育則例施行辦法有疑問可詢教育司
page 6	僑務委員會設立僑民教育函授學校改進僑民教育增進技能本月九日起已開始招生
page 6	難童工藝救濟院擬籌辦慈善戲劇賣物會徐謙昨邀各界討論一切
page 6	旅客注意
page 6	保元國醫學院報名者極為踴躍
page 6	學賑會換物會農曆除夕舉行徵集部請各方報効物品目的為救濟傷兵難民等
page 6	萬世師表皇后今日優先獻映
page 6	港漁船被擄統計漁協會發表三年來總數失蹤漁民一千九百餘人
page 6	楚姬下嬪太平明後兩晚獻演
page 6	百新書店新鋪面開幕盛況
page 7	西貢南圻足球隊電告派隊來港農曆元旦開演港越埠際賽記者籌款賽月底舉行
page 7	跑的藝術姿勢和勁力
page 7	我派籃球歌劇隊前赴仰光表演藉以聯絡中緬邦交感情
page 7	麗華杯文員人選發表
page 7	平山排球隊約戰漢中今日在何文田
page 7	旭和杯第一戰海軍輸得慘五比一陸軍輕易獲勝霍士神勇獨力克五關
page 7	重量級拳戰二月九日舉行
page 7	美菲荷匯牌價續縮申匯市況仍屬穩定
page 7	股票市仍堅穩青洲英坭依然獨佔鰲頭全日成交總值逾廿萬元
page 7	桐油來源暢旺售價略跌
page 7	八九金市昨日價格略漲
