page 2	論汪精衛
page 3	粵贛鄂晉我軍反攻中條山前我再獲捷新街江門發生爭奪戰
page 3	對汪精衛舉一個例的進一解續
page 3	粵省府紀念週李主席勉勵所屬振起精神除惡習
page 3	華北某戰區Ｘ軍傷亡統計共達十一萬三千餘名
page 3	偽皇協軍一部在汾南反正
page 3	滬義兵行兇英法美水兵受傷
page 3	被扣葡輪續有兩艘駛滬
page 3	英大使今日可抵港
page 3	滬又除一奸席時泰被擊殞命行刺兩青年後逸去
page 4	東南歐風雲日亟英法加緊準備海軍集中於地中海壓迫義國放棄野心
page 4	英議會明日開會討論歐局
page 4	法閣昨舉行會議準備應變
page 4	義大利召集後備兵入伍人數約共二十萬名義視科孚島為禁臠
page 4	傳義向法將有新行動宣傳義僑受虐待指責法煽動反義
page 4	傳義向希臘提切實保證尊重希領土完整希總理安定民心
page 4	阿國軍民賡續抵抗義王允兼任阿國王將赴阿京舉行加冤
page 4	波蘭當局仍積極準備駐華波公使在滬演說波有備無患不畏侵略
page 4	英國保守黨女議員阿斯特女爵訪問記三月廿八日倫敦航空信
page 4	英法美三國貨幣協定暫不加以修正
page 4	南民眾反義報紙輿論亦猛烈抨擊認南國海岸將被關閉
page 4	加芬科返羅京關於韃靼納爾協定問題德方宣傳土國不願參加
page 4	美參議員擬具援助民主國計劃與各國互相交換原料羅斯福與赫爾商歐局
page 4	義國侵阿引起回教憤怒倫敦回教領袖開會議決與義停止合作
page 4	美參院通過巨額款項建海軍飛機根據地關島築港案被否決
page 4	荷蘭守中立邊境軍隊奉令準備首相呼籲國人安心
page 4	匈首相外長週末訪羅馬並將赴柏林向德献媚
page 4	吳稚老之文
page 4	津滬的鋤奸
page 5	Ｘ昨犯寶安已擊退南頭城又被Ｘ放火學校民房延燒頗烈損失不明殘Ｘ昨午六時尚留赤灣未退寶安縣長梁寶仁在深圳對本報記者談抗戰經過
page 5	反攻江門軍事在棠下激戰我軍夜襲新會奏凱傳海晏Ｘ派兵登陸
page 5	范展鵬任粵交通處長
page 5	粵省黨部清理獻金限十日內公佈數目
page 5	汕頭Ｘ艦圖劫鹽船與英輪發生紛擾英艦駛至嚴重交涉Ｘ仍蠻橫迄無結果
page 5	中山撥款賑災
page 6	各界賑聯會撥款四千元購辦防毒器具俟鄧軍長來電後進行開會法定人數減為十三單位
page 6	滬旅港實業界在澳考察實業與當地領袖酬酢甚歡一行定今晨由澳返港
page 6	慰問飛將軍
page 6	張瀾洲等由澳返港昨向四邑工商總會報告澳門難民近況
page 6	港督昨檢閱警察頒發各有功員警獎章守衛邊境員警均受賞
page 6	杭立武已抵港準備參加港大特委會對港督之遠見表欽佩
page 6	澳門考察團明晨出發參加者共七十人由葉蘭泉領隊
page 6	中大崇正救護隊日間出發東江昨舉行授旗禮
page 6	粵Ｘ粉飾太平欲使某大酒店復業派人來港勸誘股東
page 6	廣東號輪昨日出塢現正進行修理房艙定二十日開往上海
page 6	兒童保育會舉行二次募捐運動中國戰時兒童保育會香
page 6	中青服務團團員試驗揭曉
page 6	四萬擔柴昨晨到港
page 6	徐謙等合組難童工藝學校籌備就緒即將開始徵收名額百人施以工學訓練
page 7	星期日國際盃決賽中華逢戰葡萄牙雙方人選已定英祺調任前衛我軍陣線齊整不難奪得錦標
page 7	東方征越第三戰和河內選手隊總結果五比五造成四次平手昨天前往西貢將作比賽二場
page 7	海外球聲
page 7	本年台杯網球中國前途樂觀
page 7	昨日公開草地網球賽德孚組終告敗北李汝榮何家鎏二比一力克勁敵
page 7	本屆世運秩序
page 7	今天足球五營砲兵對米杜息爭奪乙組聯賽亞軍
page 7	今晚籃球賽港大對警察
page 7	香港曲棍球隊橫掃滬濱
page 7	外匯牌價無變動英美匯市均沉寂歐局緊張投機家多存觀望申匯市況穩定買賣俱不多
page 7	米市疏俏外商仍多採購
page 7	復活節假期後股票殊乏生氣又因歐局緊張人心更感不安全日成交總值不過五萬餘元
page 7	八九金市極為堅挺買戶眾多價格再漲
page 7	二次地方金融會議經過續財總招待外記者報告
page 7	英金不動英銀俱平
