page 2	荷印問題展望
page 3	豫鄂殲滅戰漸完成殘日狼狽向南潰竄被我切成數段正分別消滅中
page 3	海員特別黨部電委座祝捷再接再厲驅逐暴日
page 3	日兵厭戰偽兵反正
page 3	鄂北被俘日兵聯名發勸降書請我轉致正在敗逃中之日軍
page 3	桂省專員全體宣誓就職
page 3	日化學兵團幹部五百人抵寧將盡量利用毒氣
page 3	十餘團體在桂向蔣委長等獻旗由白主任黃主席代表接受
page 3	蘇聯報紙著文對照中日青年一則為國效忠萬死不辭一則生活苦悶自殺風盛
page 3	榮譽軍人全國傷兵機關一律改易名稱
page 3	我與多米尼加簽訂友好條約 
page 3	哥國大總統電謝林主席
page 3	阿部抵寧迄今仍一籌莫展時受在華少壯軍人警告汪兆銘一腔熱望將落空
page 3	上海物價飛漲工潮轉趨嚴重
page 3	天水桂林兩行營同時辦理結束桂林改設軍委會辦公廳副主任林蔚由前線抵桂
page 3	于斌在筑演講美國對我認識最清友誼最摯人道正義終有制裁強暴之日 
page 3	國民大會代表婦女競選會向各機關請願
page 3	利物浦僑胞通電討汪
page 3	上海錢業退出票據交換所
page 3	甘加緊禁煙通令如限戒絕
page 3	龍章紙廠年內在渝出貨
page 3	滇省四行分處籌開農貸會議擴大貸款強化農村經濟
page 3	張善子繪虎募款美僑胞慷慨捐輸
page 3	艾沙抵渝
page 3	新任吉林省主席鄒作華訪問小紀
page 3	皖贛我軍續進同蒲交通中斷
page 4	荷比戰局轉穩德攻勢雖猛進展甚少
page 4	比國總理廣播戰事進展經過
page 4	法西斯極端派續作反英運動反英親德論調愈露骨法義邊境加緊築工事
page 4	美報著論斥野蠻主義以炸彈擊毀大城市無辜平民飽受威協
page 4	荷女王儲偕兩幼女安抵倫敦
page 4	英國掃除第五縱隊對他國僑民施行警戒 
page 4	英眾院全體通過新內閣信任案邱吉爾發表激昂演說誓為爭取勝利而奮鬥
page 4	閣員名單陸續發表
page 4	日南侵野心仍熾內閣緊急會討論荷印問題英關懷荷印現狀維持
page 4	比王電美總統籲請援助
page 4	還有何說
page 4	全體對零
page 4	日政黨反對各黨聯合主張
page 4	工黨召開全體大會
page 4	荷印的風雲
page 5	新鶴路戰事猛烈我連克重要據點會城情形混亂商店紛紛停業日陰謀壟斷四邑航運
page 5	瓊州海峽日艦演習我加緊出擊粉碎日陰謀
page 5	粵工商團體健全組織省黨部訂定進行計劃 
page 5	粵南第八區施行禁政合浦海康等四縣煙民登記已完竣
page 5	推進地方自治之基本義務三蔣總裁對川行政幹訓班訓詞
page 5	西康日記九十
page 5	旅行的準備
page 5	檀香山華僑墾殖區地點擇定連陽茶田
page 5	粵青年團招考第二期工作訓練班
page 5	浙全省壯丁開始調查七月起舉行總抽籤
page 5	韶關鑄造奸像一月內可竣工三水舉行討汪鑄奸大會
page 5	執法以繩
page 5	一定很多 
page 5	倚勢招搖
page 5	私仇私怨
page 5	保甲制度
page 5	良法美意
page 5	不敢負責
page 6	本港織造業謀開拓國內市場擬請政府規定補助辦法本港工業頗受歐戰影響
page 6	海外部贊助
page 6	港工業前途
page 6	對荷印貿易 
page 6	希利街昨晨大火大方電器店被焚損失約一萬元已保火險原因不明警方正查究中
page 6	火神突至狼狽逃生
page 6	事後調查損失逾萬
page 6	九龍倉劃為禁區商旅多感不便兩項規定頗覺重複麻煩碼頭公司收費應予訂定
page 6	警局查究起火原因 
page 6	經濟學社決組香港分社
page 6	荷輪復航芝沙丹尼離港北開
page 6	歐戰發生後港製漆業愈蓬勃英國漆數月來已無運港港漆市場伸展南洋各屬
page 6	文協與藝協下週歡迎林語堂
page 6	容龍別墅青山灣消遣良所
page 6	藝術觀賞會第四次今日舉行地點仍在馮平山圖書館展覽嘉樂園主人之瓷器 
page 6	展品名稱
page 6	名窯介紹
page 6	暹羅內幕
page 6	太平戲院
page 6	李思浩六十壽辰許世英賦詩祝壽
page 6	長沙會戰復映日期仍有待
page 6	成和道離奇竊案午夜酣睡夾萬失蹤事後尋回銀物已空
page 7	足球總會年會下月中旬舉行上屆收入獲利約二萬餘元征貢隊歸後商決義賽日期
page 7	菲選手赴東洋船位解決日本有意拉攏
page 7	介眉杯小球賽上行第一黃儉翊頒獎品
page 7	港協會小球隊蟬聯三屆錦標三比二戰事異常激烈港九隊敗於澳區 
page 7	賈幼良舒士耕昨日來港
page 7	學界排球比賽英皇巧取皇仁初級組皇仁勇克保羅小童組育才敗於英皇
page 7	學界籃球賽南大告捷美爾頓敗北
page 7	銅鐵價格猛漲不已本港存貨僅敷數月之用
page 7	荷印與本港貿易概況年來貿易日增關係密切歐戰範圍擴大前途堪虞
page 7	培青校運會成績優良張仁風獲冠軍
page 7	公開棒球聯賽本星期六開幕
page 7	東方週末約戰軍聯
page 7	提倡步行運動
