page 2	社評汪兆銘永除黨籍感言
page 3	紀綱丕振勝利象徵
page 3	中央元旦臨時會議汪兆銘永除黨籍有決議文昭告全國堅定不移奮鬭不屈
page 3	中國國民黨開除汪兆銘黨籍決議文
page 3	賞罰分明國府獎忠懲奸功在國家者悉受褒揚甘心附逆者嚴懲不貸
page 3	我機神勇
page 3	滬慰勞團
page 3	中華民國成立紀念典禮林主席演詞說明二期抗戰的重要性Ｘ人絕對不能征服中國
page 3	中宣部政治部發重要聲明汪兆銘違反黨紀抗戰前途無影響
page 3	慶祝元旦同胞咸抱必勝信念狂熱歡迎新歲降臨
page 3	沈寂局面打開南潯線首傳捷報我連克要地Ｘ受重創
page 3	白崇禧主任談華南戰局各路已佈置就緒將嚴陣以待Ｘ人
page 3	林主席壽鼎轉獻國府紀念
page 3	晉西Ｘ軍積極窺吉縣閻錫山前方坐鎮我軍士氣極旺盛
page 3	檢閱部隊對眾訓話
page 4	美政府照會日本表明強硬態度否認日有權建立新秩序日本關閉門戶美不能忍受美準備談判修改條約
page 4	德增築潛艇案柏林談判尚融洽德將對英提書面答復法各報評論德國意嚮
page 4	西叛軍佔古貝拉政府軍失主要交通線節節後退被俘萬餘人
page 4	英法義德戰鬥機的比率明興協定前義德所有超過英法兩國達六倍
page 4	羅斯福宣布白銀價格不變每盎斯仍六角四分餘收買期間延至六月底
page 4	德報陳述新年展望不知發生何種事件仍有要求行將提出
page 4	畑俊六被我空軍射傷現在南京療養
page 4	詹森抵仰光昨日飛往倫敦
page 4	渝除夕新運會蔣委長訓詞提倡正當娛樂振奮精神移風易俗達到國基鞏固
page 4	飛機失事機上四人罹難原因尚未查明
page 4	捷駐英公使馬沙里克離英赴美講學
page 4	黃旭初主席詳述桂省施政勉民眾準備犧牲爭取最後之勝利
page 4	達拉第起程巡視屬地
page 4	英首相訪義將拒談法義問題已向法政府提供保證法對義態度更形強硬
page 4	西康新省府誕生團結空氣洋溢禮堂慶祝儀式簡單隆重
page 4	菲島僑胞擁護領袖抗戰
page 4	黔寒衣捐
page 4	王外長專諭陳述國際形勢之發展世界列強均同情我抗戰
page 4	褒揚忠貞
page 4	國府紀念週
page 5	粵省府新委元旦在連縣就職李漢魂表示有劍及履及之精神吳鐵城即日偕歐陽駒乘車赴渝
page 5	澳門僑胞領袖電賀張李就新職籲請迅克廣州救濟難民
page 5	丘譽來港籌賑南洋惠僑捐惠屬災民決定以工代賑舉辦小本貸款收容難童
page 5	澳門教職員響應還債運動即席獻金共十餘元各校元旦賑災賣花得欵千餘
page 5	粵東積極反攻從增間均有斬獲餘漢謀決擁護抗戰
page 5	美國的同情浸信會函揭場教會贊同禁運軍火赴日
page 5	響應一地還債中山縣元旦實行Ｘ機掠境幸未被炸
page 5	Ｘ在潿洲焚漁船二十餘艘被Ｘ截燒兩處登陸均遭擊退
page 5	江門穀船被劫
page 5	瓊山警局易長
page 5	寶安賑災剿匪
page 6	元旦市面活躍僑團還債運動熱學賬會換物成績優良教聯會獻車情形熱烈
page 6	帝航新機昨日抵港汛美機昨脫班
page 6	消防隊員火中行竊陳劍雄判入獄三月
page 6	鵬程號除夕揚帆赴星將續駛往美國
page 6	越童軍服務團國內工作經過團員九人光榮犧牲返越補充再赴前綫
page 6	海軍檢閱明日在跑馬地舉行
page 6	漁船勇抗Ｘ艦擊沉Ｘ艇四艘Ｘ大肆焚燒十餘人壯烈犧牲橫瀾海面漁船被劫四千餘元
page 6	惠僑救鄉會電賀李漢魂
page 6	新界厦村難民繼續遷往深圳收容人數增至千餘文錦渡站全部結束
page 6	鄺光銀招待報界
page 6	大羅仙酒店被雪困住迫遷移
page 7	特別銀牌甲組賽聖約瑟淘汰海軍結果三比二海軍隊先勝後敗
page 7	星洲中華足球隊下月首途來港春節中舉行埠際比賽預定三場節目已排出
page 7	一場惡戰機至不歡而散雛風戰和東方雙方各獲兩球尚待再决雌雄彼此舉動過勇失却賽球重心
page 7	昨日足球義賽正規勝遊擊結果一比零生意清淡
page 7	本港往年度股票市情況春間開派股息價格大漲秋間歐局緊張股價狂跌
page 7	過去一年內本港金融動態
