page 2	社評郭新外長將返國
page 3	浙東我軍續克瑞安溫州沿海完全肅清日軍受創甚重一師團長被殲
page 3	美議員主張以強硬手段對日倘若日不退出軸心美應準備將其消滅
page 3	日企圖借用智利海島說赫爾謂並無所聞
page 3	赫爾明白表示拒絕松岡訪美
page 3	中英美德義日軍事力量比較
page 3	川康建設擬定開礦計劃投資逐步實施交部發展西南電話交通
page 3	荷印對侵略者作斷然表示荷外長向荷印人民廣播闡述英美荷之密切聯繫
page 3	法日經濟協定東京發表內容一斑
page 3	德日侵略活動竟遠南冰洋
page 3	菲島實力加速增強中菲總統謂美有參戰可能要求撥款以備救濟平民
page 3	宋子文任全美助華總會中國委會委員長
page 3	汕日台灣銀行被劫損失奇重
page 3	滬正言報因刊謝團長畫片竟被罰停刊兩週
page 3	對非法華董決不承認王曉籟電滬聲明
page 3	詹姆士羅斯福盛讚中國士氣並謂美國援助將更增加
page 3	郭泰祺與胡適訪晤奧曼斯基郭氏與赫爾再度晤談
page 3	盟主大發怒松岡曾捱罵
page 3	日糧荒嚴重實行統制麥類
page 3	滬孤軍營恢復日常工作
page 3	滬法租界居民被綁事租界當局解釋理由謂係據日方要求
page 4	英伊戰事相持中土埃出任斡旋傳巴勒斯丁亦起衝突
page 4	伊機大部被毀德無鮮明表示
page 4	英用經濟力量厭迫伊人就範
page 4	美眾院海委會主席主張實施護航美海軍政治專家聯名要求維持英國在大西法之航運美陸長將有重要表示
page 4	論蘇彜士之戰三
page 4	美記者柏格勒氏獲本年榮譽獎金紐約時報獲特別獎
page 4	美認大西洋戰事將愈趨激烈必要時英將放棄近東以便全神貫注西戰場
page 4	英油船九十艘將開抵墨西哥
page 4	蘇格蘭中部被德機投彈
page 4	加拿大海空軍力增強擁有軍艦百八十艘空軍戰士達五萬人
page 4	瑞典報紙論美德關係認德尚無意向美挑釁
page 4	法德談判復活達蘭赴巴黎雙方諒解空氣濃厚
page 4	德機進襲克里特島亞力山大亦被襲
page 4	英眾貴兩院將舉行辯論會除表決信任政府案外勢將展開激烈之辯論
page 4	南非總理演說論美准備參戰
page 4	美國新機洛克希三八式試航橫絕太空瞬息影逝
page 4	土埃出任斡旋
page 4	達蘭又赴巴黎
page 5	論統銷貨品收購價格問題二
page 5	日機滋擾粵北韶關緊急疏散中居民每日均須依時離開市區並分期舉行勸導與強制疏散
page 5	粵省戰區官兵集團宣誓入黨余漢謀代表中央監誓
page 5	華僑企業公司在渝開創立會
page 5	李漢魂返韶關報告赴渝經過中樞嘉許粵省上下苦幹精神在湘商洽糧食成績亦稱圓滿
page 5	韶關物價日漸高漲白米每擔百元以上
page 5	滬當局自運港米足敷全市需要奸商故意搗亂拒絕合作西報評論應予嚴厲制裁 
page 5	澳門總督戴思樂定期拜會港督郭睦英葡邦交談商貨運互濟
page 5	日軍犯厓門不逞　軍出擾隊長喪身
page 5	三三戰役中台山受害最慘傷亡九百餘人毀屋五千餘間大批米麥運抵台山散振
page 6	孫夫人等發起全港一碗飯運動擬銷飯券萬張每張二元華商總會決定協助進行
page 6	東亞之光在馬尼拉獻映羅明佑往主持
page 6	馬步芳電覆港回僑團報告捐產興學趣志分在各市鄉設小學平校竭力提高回民教育水準
page 6	鄺炳舜離港前暢談返國觀感祖國領袖英明軍民堅毅正向建國復興之途邁進
page 6	遠東風雲雖緊港各外僑工作如常美僑過港返國者甚眾赴美飛機輪船均客滿
page 6	某通訊社長被小姨傷害似係桃色糾紛
page 6	開發大嶼山計劃經費籌措困難傳當局放棄進行屬不確十六日督轅行會議
page 6	關於國人入境問題輔政司發表談話持有我護照者可免簽證但只限於純粹之中國人
page 6	港鑽石價飛漲從事投機及收購者日眾當局加緊防範偷漏出口
page 6	婦女團體今日歡迎吳菊芳
page 6	王曉籟等電滬工部局不承認非法華董代表租界全體納稅華人聲明不受其決議之拘束
page 7	東方足球遠征隊今晨動程征澳陳福愉任領隊秋涼即作歸計黎兆榮因請假不准恐難成行
page 7	加山友誼足球戰南華頭鬥蘇軍下午五時半開始交鋒全力上陣預料精采多
page 7	居聯田徑組開隊務會議
page 7	廣州灣足球賽赤坎揚威紅白黑隊受挫
page 7	滬善琨杯小球賽三星榮膺冠軍一比零擊退文濱隊賽畢由陳燕燕給獎
page 7	學運籌振會代表會議今晚七時舉行
page 7	美圓價格昨日微跌申匯市況略見好轉
page 7	國幣市況先穩後漲
page 7	股票市況不振買賣益形寥落
