page 2	社評日本保持漁約的代價
page 3	美國對蘇熱烈伸手願在遠東積極合作以援華為共同致力之出發點韋爾斯向蘇駐美大使正式聲明飛機汽油禁運今後對蘇不適用
page 3	對松岡之演詞美國印象惡劣認為兩國立場距離愈遙遠赫爾國務卿拒不批評
page 3	野村今赴美
page 3	英注意緬甸防務遠東軍總參謀抵仰光東京英使館再勸僑民速撤
page 3	日圖十涉泰越糾紛小池訪戴古有商談法泰談判正在進行柬埔寨北部戰事仍烈
page 3	戴傳賢移俸勞軍
page 3	日俘虜悔過
page 3	蘇州車站一汪卒遇刺
page 3	日本議會毫無生產議員僅准點頭鼓掌預算案已提出數字驚人
page 3	河田烈報告對外貿易悲觀加緊增發公債
page 3	日本各報對松岡演詞之反響
page 3	宜昌附近激戰兩日北犯日軍全線潰敗浙長興日軍被殲千餘
page 3	滬法租界逮捕日人流氓與強使汪紙有關
page 3	日本妙想天開強迫人民生子
page 3	黔省植棉將再推廣
page 3	桂上金縣長建功獲獎
page 3	日機襲川滇
page 3	上海所聞新四軍解散經過
page 4	北非英軍又進一步多布魯克攻下里比亞義軍益感孤危
page 4	羅馬尼亞情勢混亂鐵衛軍叛變傳已失敗
page 4	德義經濟會議已在羅馬開幕
page 4	美國東北部舉行防空演習一連四日規模宏大公民動員擔任守望
page 4	日本翼贊議會的經濟難題二
page 4	美眾院通過法案增強海軍空防甘納第陳述意見主授權總統美將設立機關充實經濟國防
page 4	倫敦捷克學校成立艾登致詞英王亦致書貝奈斯
page 4	李海上將分訪法當局詳細解釋美國政策並曾與顧大使晤談
page 4	威爾基明日可抵倫敦英相致電歡迎
page 4	蘇聯共黨人數統計
page 4	英共黨報紙被迫停刊因觸犯國防法規
page 4	美總統代表晤保國當局
page 4	英國船隻捐失減少本月第一週祗二萬餘頓
page 4	代松岡解答
page 5	粵桂兩省公路本年將力求改善積極培養工作增強運輸力量樂西桂穗兩線限期築竣通車
page 5	江南淪陷區內人民如處水火各地烟館賭窟到處林立日人為善不足
page 5	桂省推廣種植白油果樹可供榨油燃燈之用
page 5	桂兒教院添設中學職業部郭德潔定期赴渝
page 5	韶推動節儲勸導商人利用溢利購儲分發春聯勉勵民眾
page 5	急景殘年中澳門商情冷淡各行營業均感不景氣年貨上市銷路亦呆滯
page 5	嘉獎僑胞捐款平糶
page 5	連環圖畫桂省嚴加取締
page 5	粵省銀行利便僑匯增設分支行處改善匯款手續
page 5	滬西賭風變本加厲租界當局决心禁絕
page 5	粵訂定辦法掩埋遺屍無人認領時立即掩埋
page 5	粵省救濟農村提高農貸數額今年預算可達四千萬元
page 6	粵省府組織旅港粵僑購糧會組織章程寄到委員聘定鼓勵僑胞投資購米回鄉
page 6	協同和機器廠參觀記
page 6	馬里安號輪被日艦解往台灣該輪華籍船員業已返港巴拿馬領事向日提抗議
page 6	保兒會工作報告救濟貧童三千名
page 6	本港移民局增設西區辦事處由副局長李氏負責管理擔任各小輪之移民檢查
page 6	廠商聯會昨歡宴國展會職員
page 6	花展狗展今年暫停舉行
page 6	廠商會等請我當局在南洋設商務參贊
page 6	保衛團警方與商會商妥改善各待遇辦法
page 6	中央整飭僑教取締冒用立案名義立案暫行標準現已施行駐港人員頒發章則表格
page 7	南華會足球隊廿九拔隊征澳預定在該地比賽兩場麗華杯賽門票在謀得利預售
page 7	滬慈善籃球第二戰華星再奏捷卅三比卅二擊退美軍老包建功卒平反危局
page 7	大戰經過
page 7	女籃球最後一幕平正慘敗南華五十七比十七成一面倒
page 7	滬西青籃球賽梁溪敗北
page 7	外匯牌價俱無變更美匯淡靜申匯尚穩
page 7	國幣市況仍穩但靜
page 7	股票市況活躍昨日成交十八萬元
page 7	四四金市仍極沉寂
