page 2	社評中英兩國之友誼基礎
page 3	嶺東我軍克復潮陽乘勝攻入潮安巷戰在進行中Ｘ又揚言將向粵閩海口侵擾
page 3	一週戰況自七月九日至十五日軍事委員會發表
page 3	李漢魂巡視東江發動黨政協肋潮汕抗戰警局裁併限本月底辦竣
page 3	邊境衝突聲中蘇日戰鬥力的檢討續
page 3	被掠漁船集結浙江沿海
page 3	以上接第二版社評
page 3	戰時監察工作監院製定實施綱要國府命令頒布施行
page 3	貴池Ｘ兵又圖進犯未逞
page 3	華北大雨成災Ｘ軍運輸困難
page 3	滬繅絲廠Ｘ方嚴密統制
page 3	滬法租界又搜查民居被綁架華人尚留捕房中
page 3	日輪一艘沉沒
page 3	蔡寧抵昆明
page 3	贛東可慶豐收
page 3	汪逆撲空偽織組仍難產
page 3	儲存難民金飾銀幣粵振濟會舉辦
page 3	北路慰勞團前日離陝東下
page 3	蘇報刊載地圖指日方挑釁被俘日空軍查明
page 4	英眾院熱烈討論加強經濟援華欲保護英在遠東權益必需協助中國之勝利
page 4	有田克萊琪昨日首次會談意見參商明日繼續舉行英政府堅持原有之態度
page 4	日本新聞界發反英宣言
page 4	滬市郊發現反英標語
page 4	波蘭今日的歧途
page 4	英政府新仕版郝斯伯魯第一任女官甘貝爾被任新駐法大使
page 4	柏林將舉行防空演習
page 4	日反英風潮仍繼起未已
page 4	弗朗哥表示西班牙願守中立現正埋頭於復興工作故需要長時期之和平
page 4	日軍艦一艘秘密下水倫敦獲得消息詳情無法證明
page 4	尼赫魯談游華早有此心近期恐難成行
page 4	維斯福致文國會力請改訂中立法赫爾重申六點原則要求取消軍火禁運
page 4	德密佈間諜網英法不約而同破獲秘密組織
page 4	埃外長由希返國巴爾幹之行告終
page 4	美南極探險團定十月間啟程
page 4	東京談判開始了
page 4	失敗的必然性
page 4	晉南我軍又勝
page 4	希特勒預定今日演說傳無政治性質
page 4	印度發現新煤油礦
page 4	邁斯基赴蘇格蘭遊歷
page 5	Ｘ在中山試探失敗當局加強沿海封鎖反攻江會大軍仍在推進
page 5	廣西民教廳長接事後發表談話
page 5	張炎關懷瓊崖難童建築保育分院
page 5	疊石劫塵上
page 5	海上慘劇縣長太太帶走三萬元被Ｘ騎劫殺斃十餘人
page 5	粵省派員指導開建植棉首期貸款二萬
page 5	遂溪縣長受訓
page 6	來源短少糧食蔬菜愈昂貴淡水魚斷絕來港昨缺市各種蔬菜漲價十分三四
page 6	憲報公佈燈火管制則例各種燈火在管制時熄滅輪船須遵海軍所發命令
page 6	英艦娥號定期試砲二十日實彈演習
page 6	業餘劇人聯合獻演劇目為女子公寓
page 6	學賑會獻像成績一部捐款僑團昨已公佈仍有尚未將像款繳回者
page 6	果販義賣
page 6	張谷雛畫展許世英陳策昨參觀
page 6	粵衛生人員登記者百餘人醫師之登記者寥寥無幾截止期已延至本月底止
page 6	油蔴地小輪公司招待各界遊銀礦灣沙幼水潔夏季游泳最宜當局發展該島將建碼頭
page 6	果販義賣完成萬罐目的明日出發九龍
page 6	藝術圖案社圖案展售會
page 6	戰爭與科學問題林桓在留德同學會演講
page 7	今日公開棒球賽中華重鬥友啤隊次場南華出馬迎抗岷甸奴連台好戲預料戰情必緊張
page 7	南華在棉蘭第一戰六比零痛擊蘇聯軍
page 7	足球總會值理首次會議廿四舉行
page 7	下馬威饗客鴨蛋六枚
page 7	西洋六比五力擒美水兵
page 7	力格斯賽球態度冷靜尤過柯顯笑口常開比賽當為兒戲英軍沒落剩奧斯丁一人
page 7	笑哈哈球迷
page 7	昨夜籃球頒獎戰冠軍隊均獲勝三場表演精彩滿人意
page 7	尖消息
page 7	荷匯昨縮半咽其餘牌價無變動英美匯市況仍屬沉寂申匯尚穩定買賣頗多
page 7	八九金市仍穩但靜昨上午本港八九金市況
page 7	英金微跌銀價無變動孟買銀稍漲
page 7	港茶葉價高漲溫福兩口來貨暫告斷絕惟大批新茶由新線運港
page 7	一週間港股票市況尚屬穩定全週成交僅七十萬元昨貴價股票頗有成交
