page 2	社評邱吉爾演詞
page 3	邱吉爾氏發表演詞嚴厲斥責日本侵略侵華無結果又伸魔手於南洋英決與美合作共起予以制止
page 3	大批英空軍昨開抵馬來亞為年來最強大之增援部隊印軍亦開抵新加坡
page 3	英相嚴厲警告日本美國表示感慰對美日談判一事未發表意見英與論一致擁護援蘇
page 3	日官方拒不批評各報反響雜亂日日新聞謂英美聯合干涉等於懸掛日本腦門之利劍
page 3	郭外長談話論英首相演詞認為警告日本最後之一言但日閥決無革面洗心之望
page 3	日集大軍陰圖侵泰英相警告正合時宣新加坡對邱氏演說之觀感
page 3	裴佛布羅克自美返抵英
page 4	英蘇軍隊開入伊朗採取主動步驟消弭納粹陰謀聲明對伊朗之獨立決不破壞
page 4	中區蘇軍作戰得力鐵木辛科傳令嘉獎
page 4	南烏克蘭激戰蘇軍反攻獲勝羅步兵一師團被殲滅德宣稱佔領奧查科夫
page 4	日佔越南後的南洋二
page 4	邁斯基讚揚英空軍戰績
page 4	菲島日僑繼續撤退
page 4	林雄吉竟返滬日本縱容犯人
page 4	上海謠言又熾傳日將封鎖租界敵軍正在界外構築工事
page 4	松岡訴病悽怨悱惻
page 4	我財部發言人談資金解封問題商民正當用途需用外匯中央銀行規定供給辦法
page 4	滬公共汽車又發生工潮
page 4	克羅西亞反義示威傀儡王亦受警告
page 4	晉豫我出擊奏捷鄂南敵蠢動受創
page 4	黔威寧草海農林部調查團擬訂開墾計劃
page 4	四行聯合辦事處工廠普查竣事工業貸款正發放中贛省擬定三年建設計劃
page 4	美正考慮徵發菲島大麻生產
page 4	英蘇軍入伊朗
page 4	松岡訴病
page 4	敵機肆虐百餘架分批襲湘
page 5	四邑邊防鞏固我團隊紛起襲擊江會混亂矽門敵移動我軍又擊沉敵艦一艘
page 5	桂市教育生力軍七個中學巡禮共有高中四班初中十八班招收新生可達一千三百人
page 5	我國合作事業的演進四
page 5	中正中學在桂林設分校
page 5	澳衛生局發表霍亂統計共發生九百餘宗
page 5	清華大學公費留學生定期在昆渝考試
page 5	川各地八月份糧價再跌糧戶餘穀均紛紛出售每市石下跌一百餘元
page 6	國幣匯額限制撤銷平準基金委員昨日會商中英美銀行領袖多參加
page 6	港一部分中小學續行增加學費學童失學年來續有增加教師子女亦多無力入學
page 6	官立英文學校招考新生下月三日考試
page 6	蔣委員長電勉各地推進戰時公債運動
page 6	美公路專家三人視察滇緬公路完竣改進計劃書已呈遞當局美工程師五十人即來華
page 6	周啟剛昨晚離港飛渝
page 6	南開校友中澳協會招待徐謨公使校友會中高談校中舊事協會席上暢論中澳邦交
page 6	柴商呼聲如不操縱柴價營業只有虧損
page 6	港中澳協會招待徐謨公使中坐者為徐氏
page 6	衛生局長嘉利談取締小販新意見中區小販實不應再存在研究小販會議準備開會
page 6	中國旅行社招待文化界月底遊覽銀礦灣
page 7	鎮和紀念足球賽二次大戰期近港滬兩軍兵馬準備再見高下鄭洪年昨午歡迎三華遠征隊
page 7	樂斯杯籃球賽星島逢鬥居聯譚進杯金銀出戰正社銀牌賽今晚截止報名
page 7	賽馬會明年賽馬日期全部編定公布
page 7	溜冰在澳門
page 7	服役團獻金證贈品待領
page 7	港九澳小球大戰港區贏澳區二比一澤佳永強建功港隊昨晨奏凱歸
page 7	埠際乒乓賽十一月間舉行
page 7	外匯牌價俱無變更美匯仍靜申匯穩定
page 7	股票轉趨沉寂昨日成交僅八千餘元
page 7	國幣市況尚稱堅穩
