page 1	法國民主政治的又一勝利
page 2	今日第四屆青年節蔣主席勉全國青年促成國家統一致力建設
page 2	青年要努力求學作建設工作準備
page 2	日本半月五教育與文化急劇變化中
page 2	總統及國大代表選舉罷免法制定增加邊疆及僑民國大代表
page 2	魯境國軍各路進展進駐肥城費縣大汶口將包圍沂蒙山區共軍
page 2	陝北國軍攻迫延川
page 2	代表罷免聲請改為選舉人百分之十
page 2	總統選舉罷免選舉改百人連署提出龍免改六分之一連署
page 2	蔣主席接見埃使
page 2	參政會駐委會陳誠報告軍事謂魯中戰事現已好轉
page 2	蔣主席將返奉化一行
page 2	政府改組實現之後美國貸款可再商談
page 2	大連局勢
page 2	趙家驤今日由瀋飛京
page 2	吉倫新職美陸軍部參謀長今日飛京辭行下月返美
page 2	韓駐美代表李承晚將訪華
page 2	政府希望即提名單民社黨態度慎重重視共同施政綱領之實行派員入京商妥後再提名單
page 2	憲政實施促進會今舉行首次會議
page 2	張君勱函覆梁漱溟
page 2	紀念革命先烈中樞今日開會
page 2	顧翊群將返國
page 3	外長會議僵局難打開馬歇爾反對蘇建議案
page 3	德境英佔領區糧荒激起工潮魯爾工人抗議糧食分配情形
page 3	巴拉圭內戰抉微
page 3	義殖民地問題法同意在倫敦討論
page 3	減低所得稅美眾院通過法案
page 3	美軍人要求原子秘密交還陸軍管理
page 3	伊朗政府軍與寇特族激戰
page 3	法駐越專員波拉特赴任
page 3	英希成立協定轉讓鉅額剩餘物資
page 3	安理會美代表解釋單獨援希必要並要求聯合國草擬援希計劃
page 3	柏德遜籲請國會通過援希土法案
page 3	四角關係下
page 3	英閣或將改組兩百工黨議員質問外交問題勢將被迫修改英美合夥政策
page 3	華萊士反對軍事援希
page 3	日本又一新政黨楢橋犬養健組政友會謂將居於左右兩派中間
page 3	麥帥致函吉田警告經濟措施
page 3	考驗日本憲法或將定期投票複決遠東委會訓令麥帥
page 3	存日黃金中義等國或可取回
page 3	美代表看泛亞會議認該會受蘇聯思想支配
page 3	越軍尊重華僑財產撤離南定未加破壞
page 3	三中全會通過經濟改革方案全文續完
page 3	巴拉圭革命軍續向亞松森城推進摩甯尼哥與內閣意見分歧
page 4	福利工作會昨閉幕接替行總工作成立決議蔣夫人勉注重現實觀點
page 4	特組徵集委會徵集黨史史料規定辦法三項
page 4	市長昨日茶會招待各界勸募同盟勝利公債各業認購三億餘元
page 4	十一路公共汽車今日開駛中正路外灘至臨青路
page 4	物價評議委會昨日成立分組評議六項物價
page 4	營業牌照兼顧兩用辦法加一執字他業可用
page 4	滬江仍未復課學生反對積點制度商學院亦表示響應
page 4	校董與校友將出面調解
page 4	罷課原因不滿積點制
page 4	發揚青年活力全日舉行體育活動
page 4	越野賽跑清晨越步三民主義青年團上海支團
page 4	國術表演在青年館
page 4	提籃橋衛生事務所舟山路添設診所診費低廉貧苦者免
page 4	積點制度校方認為有價值
page 4	足球表演康樂戰百樂門
page 4	中學籃球五場比賽
page 4	陳炳章來滬處理發行美金公債問題
page 4	園藝座談會明日下午舉行
