page 1	社評西康亂事感言
page 2	京中正待延安答覆雷震昨偕張君勱等入京
page 2	民社黨對和談意見實行還軍於國還政於民盼國民黨先從自身做起
page 2	綏靖區難民待救當局決撥發麵粉棉衣等並大量招訓失業失學青年綏靖區政委會將組視察團
page 2	鼓吹政治的心理衛生馬歇爾調解報告書讀後感
page 2	民盟宣言定後日發表
page 2	第三黨將改名今開幹部會議
page 2	曾琦等抵京
page 2	徐州外圍激戰共軍猛攻棗莊失敗
page 2	東北調處更難長春以北激戰進行中中共調處人員被監視
page 2	平美軍案昨日初審皮爾遜否認有強姦行為胡適何思源等曾列席旁聽今日續審沈崇將庭作證
page 2	索爾登病逝蔣主席去電至唁
page 2	長江水位低落輪船兩艘擱淺
page 2	參政員痛陳財政危機俞鴻鈞在駐委會報告財政
page 2	唐縱過漢返京
page 2	俞鴻鈞報告
page 2	飛機在滬失事主因尹述賢調查後返京談話氣候報告不確地面設備太差人事各種弊端亦須徹底改正
page 2	日本對我賠償物資首批即將拆遷運來政院賠償委會通過運輸辦法及程序共五十九萬餘噸運輸費用三千餘億
page 2	美對大連步驟慎重船艦搭載平民前往須經核准
page 2	顧使訪阿契遜商討日賠償問題
page 2	馬帥今日飛華府
page 2	賀國光返西昌
page 2	世奸生病交錢准保首都高院裁定兩起
page 3	四國外次會議賡續舉行廣泛討論對奧和約決定奧國得派代表列席陳述意見會議進行規則程序問題業已解決
page 3	南國照會外次會議對奧提出兩項要求
page 3	中國政府要求參與起草工作
page 3	英法關係入新階段將提早舉行同盟條約談判
page 3	和平工作一年間上
page 3	美國的看法英法同盟條約補足法蘇協定
page 3	蘇聯的態度將不反對英法締盟
page 3	法共表示冷淡慮罣煤觔問題
page 3	歐禮和與各方磋商傳邀勃魯姆組織新內閣人民共和黨內部有裂痕
page 3	奧在利的悲觀氣氛
page 3	法國願與越盟恢復自由談判
page 3	美陸海軍部合併杜魯門總統正式發表武裝部隊概受國防部管轄設立軍委會決定軍事政策
page 3	法新總統素描六十二齡之歐禮和為法國擾攘的政局之和事老他的斜眼向為政治舞台所熟悉
page 3	吉田面臨去就關頭組織聯合內閣工作失敗社會黨之左派反對聯合
page 3	斯匹茨伯琴條約蘇不強迫修改消息報僅稱在修改必要挪威國會考慮蘇方要求
page 4	年關逼近自殺多兩個服毒而死一個跳樓身亡
page 4	滬無限期發售煤球口質不合格者將受罰
page 4	勝利進行曲洪荒漫畫傑作定期舉行展覽
page 4	強迫資方簽協定永和職員將受嚴懲
page 4	娛樂場所春節不得加價
page 4	中國中央班機昨多停航今日看氣侯如何再定
page 4	勞協解僱職工要求速發欠薪
page 4	永安職工借薪雙方距離已近
page 4	改善煤氣限制以利工廠生產吳蘊初等建議四項辦法
page 4	復員工人失業至今將推代表晉京請願
page 4	科學演講明日上午舉行
page 4	分析化學師公會已成立
page 4	黃金一條望失主認領
page 4	手槍何多俯拾即是
page 4	烏師戲少女嬰孩一跌而死
page 4	汽油恢復供應漲價說絕對不確
page 4	滬二屆籃球賽華聯今日出場五時半起男女三場比賽
page 4	汾酒業不肖份子請標會騙錢置產被害者三百餘家損失十億元
page 4	農歷歲首進節天氣可能晴朗惟歲暮時或將陰雨
page 4	遣送歐洲難民海鷹號昨離滬
page 4	美海軍籃球賽港口敗海倫那
page 4	滬清華同學會今午舉行冬季全體大會
